candidate_id,target_bin,sampling_group,L1_nm,W1_nm,theta1_deg,L2_nm,W2_nm,theta2_deg,center_dx_nm,H_nm,nearest_bin_mode,Tx_mean,ratio_median,phase_err_at_452nm
LPML1A4_0196_B300_exploration_B300_H500,300,B300_exploration,130.0,70.0,30.0,100.0,70.0,120.0,180.0,500,300,0.153109,0.153982,25.473485
LPML1A4_0157_B300_exploration_B300_H500,300,B300_exploration,140.0,80.0,45.0,100.0,70.0,135.0,220.0,500,240,0.596152,1.525693,45.543915
LPML1A4_0049_B300_exploration_B300_H500,300,B300_exploration,150.0,110.0,45.0,110.0,70.0,135.0,200.0,500,120,0.412817,1.377731,178.091363
LPML1A4_0178_B300_exploration_B300_H650,300,B300_exploration,170.0,130.0,120.0,110.0,90.0,30.0,200.0,650,60,0.912648,1.006323,90.452269
LPML1A4_0093_B300_exploration_B300_H500,300,B300_exploration,230.0,70.0,60.0,160.0,80.0,150.0,220.0,500,180,0.779973,0.899749,111.201295
LPML1A4_0028_B300_exploration_B300_H600,300,B300_exploration,170.0,80.0,60.0,140.0,100.0,150.0,190.0,600,300,0.261044,0.412745,29.250068
