candidate_id,target_bin,nearest_bin_mode,Tx_mean,ratio_median,phase_err_at_452nm,anomaly_count,preliminary_status,runtime_sec
LPML1A4_0196_B300_exploration_B300_H500,300,300,0.153109,0.153982,25.473485,0,weak,292.043178
LPML1A4_0157_B300_exploration_B300_H500,300,240,0.596152,1.525693,45.543915,0,phase_wrong,321.265747
LPML1A4_0049_B300_exploration_B300_H500,300,120,0.412817,1.377731,178.091363,0,phase_wrong,336.702130
LPML1A4_0178_B300_exploration_B300_H650,300,60,0.912648,1.006323,90.452269,0,phase_wrong,396.400933
LPML1A4_0093_B300_exploration_B300_H500,300,180,0.779973,0.899749,111.201295,0,phase_wrong,376.182011
LPML1A4_0028_B300_exploration_B300_H600,300,300,0.261044,0.412745,29.250068,0,phase_wrong,336.226125
