candidate_id,target_bin,nearest_bin_mode,unique_nearest_bins,Tx_mean,ratio_median,matrix_error_median,phase_err_at_452nm,y_direct_leakage_median,leakage_yin_to_xout_median,leakage_xin_to_yout_median,old_preliminary_status,projector_gate,phase_gate,selectivity_first_class,use_as_next_seed
LPML1A4_0196_B300_exploration_B300_H500,300,300,240;300,0.153109,0.153982,3.296620,25.473485,0.488182,0.258744,0.286905,weak,fail,near,phase_near_but_nonselective,no
LPML1A4_0157_B300_exploration_B300_H500,300,240,240,0.596152,1.525693,0.968701,45.543915,0.363980,0.184256,0.157840,phase_wrong,fail,fail,high_Tx_but_nonselective,no
LPML1A4_0049_B300_exploration_B300_H500,300,120,120,0.412817,1.377731,0.905772,178.091363,0.121019,0.179333,0.043397,phase_wrong,fail,fail,phase_drifted_and_nonselective,no
LPML1A4_0178_B300_exploration_B300_H650,300,60,0;60,0.912648,1.006323,0.997636,90.452269,0.871888,0.060660,0.021244,phase_wrong,fail,fail,high_Tx_but_nonselective,no
LPML1A4_0093_B300_exploration_B300_H500,300,180,180,0.779973,0.899749,1.056853,111.201295,0.825546,0.042748,0.003043,phase_wrong,fail,fail,high_Tx_but_nonselective,no
LPML1A4_0028_B300_exploration_B300_H600,300,300,240;300,0.261044,0.412745,1.626343,29.250068,0.458557,0.204187,0.061483,phase_wrong,fail,near,phase_near_but_nonselective,no
