task_id,geometry_id,geometry_hash,polarization,wavelength_start_nm,wavelength_end_nm,wavelength_step_nm,material_contract,production_mesh_id,setup_status,entered,run_invocation_count,training_label,diagnostic_only,solver_authorized
K6HF_006_y,K6X_D125_D135_D150_D175_D195_D210,ba68207f7cbc118689cd26066f5c7ffe384d880c539cbbc9c6af112f2dc24d18,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_007_x,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_007_y,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_008_x,K6X_D110_D190_D210_D215_D220_D225,02a7beacb7a5e503de03a7aae4857727444d893b2052182e874bb2b2f32680e7,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_008_y,K6X_D110_D190_D210_D215_D220_D225,02a7beacb7a5e503de03a7aae4857727444d893b2052182e874bb2b2f32680e7,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_009_x,K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_009_y,K6X_D100_D105_D115_D120_D125_D130,929f0b81018a32b2c705664ed717b9a6e5d0c0b98cb35196f05747b6b565a528,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_010_x,K6X_D100_D130_D135_D165_D170_D230,01760c3660d3ba0cd0a5960d3899d61c6ce51c703445eb29e43fc16af24a4555,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_010_y,K6X_D100_D130_D135_D165_D170_D230,01760c3660d3ba0cd0a5960d3899d61c6ce51c703445eb29e43fc16af24a4555,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_011_x,K6X_D110_D120_D130_D220_D225_D230,1349c3d97f9e4cadcb81c54d0a5e5c1f184b70035d02e442c130543a2558cc35,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_011_y,K6X_D110_D120_D130_D220_D225_D230,1349c3d97f9e4cadcb81c54d0a5e5c1f184b70035d02e442c130543a2558cc35,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_012_x,K6X_D190_D195_D200_D205_D210_D215,2783d2e043b5c2adf0e3bd8e11f603689297d2d140a249c79932d99e0335166a,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_012_y,K6X_D190_D195_D200_D205_D210_D215,2783d2e043b5c2adf0e3bd8e11f603689297d2d140a249c79932d99e0335166a,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_013_x,K6X_D170_D195_D205_D210_D225_D230,be637e356d054ce4c000720c4fd65f91320b4dc8d9bf6140ae536acc492fda32,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_013_y,K6X_D170_D195_D205_D210_D225_D230,be637e356d054ce4c000720c4fd65f91320b4dc8d9bf6140ae536acc492fda32,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_014_x,K6X_D105_D115_D125_D135_D145_D150,c486ccec690462e55ec85915b6b8a30917e5fd7e501a9593a0aa01533cc16c72,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_014_y,K6X_D105_D115_D125_D135_D145_D150,c486ccec690462e55ec85915b6b8a30917e5fd7e501a9593a0aa01533cc16c72,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_015_x,K6X_D135_D160_D165_D205_D210_D215,a6d69bd20c0d465e33ff70a9f95436eb0cc9b8832bc5c48c41dcf5053df14e5a,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_015_y,K6X_D135_D160_D165_D205_D210_D215,a6d69bd20c0d465e33ff70a9f95436eb0cc9b8832bc5c48c41dcf5053df14e5a,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_016_x,K6X_D100_D105_D110_D115_D190_D230,28af39e140680f8a92b622e4f0dcc8436d1ad0021a7f35350015946e4bbc6ea3,x,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
K6HF_016_y,K6X_D100_D105_D110_D115_D190_D230,28af39e140680f8a92b622e4f0dcc8436d1ad0021a7f35350015946e4bbc6ea3,y,445,455,1,Native-M1,PENDING,BLOCKED_BY_PRODUCTION_MESH,False,0,False,False,False
