batch_id,candidate_count,target_bin_distribution,sampling_group_distribution,H_nm_distribution,expected_subrun_count,composition_label,diversity_score,contains_B240,contains_global_escape_lhs,contains_sixbin_balance,note
LPML1B2A_BATCH_02,6,300:6,B300_exploration:6,500:3;650:3,108,mostly_one_exploration_group,7,false,false,false,B300 continuation / statistical failure mapping
LPML1B2A_BATCH_03,6,240:5;300:1,B240_exploration:5;B300_exploration:1,500:1;600:4;700:1,108,diverse,13,true,false,false,remaining planned batch
LPML1B2A_BATCH_04,6,120:1;180:2;240:3,B240_exploration:3;global_escape_lhs:3,500:3;600:2;650:1,108,diverse,16,true,true,false,diverse next batch candidate
LPML1B2A_BATCH_05,6,120:1;180:3;300:2,global_escape_lhs:5;sixbin_balance:1,500:2;600:3;650:1,108,diverse,16,false,true,true,remaining planned batch
LPML1B2A_BATCH_06,6,0:2;120:1;180:1;60:2,sixbin_balance:6,500:4;600:2,108,diverse,16,false,false,true,remaining planned batch
