schema_version,selection_rank,candidate_id,route,status,selection_reason,missing_gate,anchor_candidate_id,primary_relative_target_error_deg,direct_gap_nm,periodic_gap_nm,source_stage,automatic_execution,source_schema_version,v1_13_source_row_provenance,v1_15_source_row_provenance,v1_15_source_row_index
LP_ML_SCHEMA_V1.15,1,LP_H500_D0_CTRL_B120_J2LP05,D0_CONTROL,PRELIMINARY_NOT_AUTHORIZED,PROJECTOR_PHASE_GATE_PENDING,[],LP_H500_IFDOE_B120_J1D+00_J2L-10_J2W+10_G90_D200,22.432199079531586,90.0,117.0,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,False,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/preliminary_spectral_pool_v1_12.csv:1,stage_d0_preliminary_spectral_pool_v1_13.csv,1
LP_ML_SCHEMA_V1.15,2,LP_H500_D0_CTRL_B300_J2WM05,D0_CONTROL,PRELIMINARY_NOT_AUTHORIZED,CANCELLATION_DIRECTION_PHASE_PRESERVED,"[""projectorization_pass""]",LP_H500_IFDOE_B300_J1D-10_J2L-10_J2W-10_G60_D170,8.843239083189445,60.0,152.0,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,False,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/preliminary_spectral_pool_v1_12.csv:2,stage_d0_preliminary_spectral_pool_v1_13.csv,2
