schema_version,candidate_id,seed_family,seed_candidate_id,J1_primitive,J1_dimensions_nm,J2_primitive,J2_dimensions_nm,J1_rotation_deg,J2_rotation_deg,J1_center_x_nm,J1_center_y_nm,J2_center_x_nm,J2_center_y_nm,D_nm,directed_PSI_deg,common_translation_x_nm,common_translation_y_nm,target_direct_gap_nm,direct_gap_nm,periodic_gap_nm,direct_overlap,periodic_overlap,footprint,primitive_valid,fabrication_hard_pass,fabrication_preferred_pass,integer_center_coordinates,exact_geometry_hash,canonical_relative_geometry_hash,symmetry_equivalence_hash,equivalence_primary_candidate_id,internal_equivalent_duplicate,equivalent_to_existing_formal_geometry,existing_formal_data_available,source_existing_candidate_id,source_exact_replay_geometry_hash,source_canonical_relative_geometry_hash,existing_formal_classification_450,delta_J1_nm,delta_J2_L_nm,delta_J2_W_nm,changed_variables_relative_to_seed,H_nm,period_x_nm,period_y_nm,wavelength_planning_reference_nm,material,placement_grammar,eligible_new_geometry,selection_order_within_family,selection_rationale,planned_new_simulation,label_reuse_semantics,source_package,source_row_index,split_group,split_assignment,v1_7_source_row_provenance,route,manifest_order,source_anchor_primary,source_anchors,anchor_exact_hashes,anchor_canonical_hashes,anchor_symmetry_hashes,anchor_450_source_rows,probe_type,expected_repair_mechanism,physics_first_priority,auxiliary_model_rank,manufacturing_boundary_role,exact_variable_changes_nm,physics_configuration_hash,relative_dx_nm,relative_dy_nm,direct_closest_J1_nm,direct_closest_J2_nm,closest_periodic_translation_nm,evidence_tier,source_stage,execution_manifest_version,execution_manifest_path,execution_manifest_sha256,original_logical_manifest_path,original_logical_manifest_sha256,logical_candidate_id,candidate_instance_id,supersedes_candidate_id,center_grid_fix,common_translation_delta_x_nm,common_translation_delta_y_nm,runner_contract_version,execution_attempt_id,prior_failed_attempt_id,prior_failed_attempt_solver_calls,prior_failed_attempt_path,prior_failed_checkpoint_path,migration_schema_adapter_version,metric_schema_adapter_version,exact_hash_source_field,matrix_projection_error_source_field,v1_9_source_row_provenance,v1_9_source_row_index,v1_11_source_row_provenance,v1_13_source_row_provenance,plan_version,candidate_order,status,anchor_candidate_id,anchor_role,exact_variable_changes,expected_cancellation_mechanism,expected_rank_control_variable,expected_phase_or_Txx_compensation_variable,target_actual_bin_deg,target_separation_to_primary_deg,anchor_450_phase_deg,anchor_max_relative_drift_deg,J1_characteristic_dimension_nm,J2_length_nm,J2_width_nm,manufacturing_hard_status,manufacturing_preferred_status,duplicate_against_canonical_v1_11,duplicate_within_stage_d0,physics_claim_status,future_wavelength_nm,wavelength_nm,anchor_exact_geometry_hash,anchor_canonical_relative_geometry_hash,anchor_symmetry_equivalence_hash,anchor_450_source_row,anchor_450_source_path,anchor_450_source_sha256,anchor_phase_450_deg,source_schema_version,v1_15_source_row_provenance,v1_15_source_row_index,source_seed_id,source_anchor_id,projector_backbone_variable,phase_repair_variable,expected_mechanism,target_phase_deg,duplicate_exact,duplicate_canonical,duplicate_symmetry,evidence_neighbor_ids,evidence_ids,evidence_type,future_Jones,future_projector_pass,source_seed_exact_geometry_hash,source_seed_450_source_row,source_anchor_exact_geometry_hash,source_anchor_450_source_row,J1,J2L,J2W,gap,acquisition_class,duplicate_geometry_vector,geometry_distance_to_seed,trust_region_status,prediction_label,predicted_phase_deg,predicted_phase_uncertainty_deg,predicted_Txx,predicted_Txx_uncertainty,predicted_log10_Tyy,predicted_Tyy,predicted_log10_Tyy_uncertainty,predicted_log10_R_total,predicted_R_total,predicted_log10_R_uncertainty,predicted_rank,predicted_rank_uncertainty,probability_projector_feasibility,probability_phase_window,J2W_nonlinearity_risk,nonlinearity_uncertainty_multiplier,acquisition_score,candidate_origin,nearest_formal_neighbors,selected_phase_model,selected_Txx_model,selected_projector_models,future_physics_pass,model_version,training_data_hash,surrogate_predicted_phase_deg,surrogate_predicted_phase_uncertainty_deg,surrogate_predicted_Txx,surrogate_predicted_Txx_uncertainty,surrogate_predicted_Tyy,surrogate_predicted_log10_Tyy,surrogate_predicted_log10_Tyy_uncertainty,surrogate_predicted_rank,surrogate_predicted_rank_uncertainty,surrogate_probability_projector_feasibility,surrogate_probability_phase_window,surrogate_J2W_nonlinearity_risk,surrogate_nonlinearity_uncertainty_multiplier,surrogate_model_version,surrogate_training_data_hash,backbone_id,candidate_class,common_scale_delta_nm,compensation_delta_J2W_nm,gap_maintenance,evidence_pair_id,evidence_strength,integer_dimensions,half_grid_centers,canonical_v1_17_duplicate,internal_duplicate,original_plan_version,execution_plan_version,migration_row_index,periodic_gap_x_nm,periodic_gap_y_nm,periodic_gap_corner_nm,nearest_periodic_gap_nm,nearest_periodic_gap_direction,periodic_gap_formula_version,horizontal_formula_gap_x_nm,supersedes_plan_version,periodic_gap_metadata_source,common_mode_class,compensation_delta_nm,source_plan_sha256,source_contract_sha256,exact_geometry_hash_sha256,geometry_hash_sha256,canonical_relative_geometry_hash_sha256,symmetry_equivalence_geometry_hash_sha256,evidence_neighbor_ids_source_field,evidence_neighbor_count,migration_csv_path,migration_csv_sha256,common_mode_operator_version,common_mode_delta_nm,execution_order,evidence_source,planning_status,physics_label,prediction_status,J1_side_nm,period_nm,rotation_deg,authorized_subruns,inputs,mechanism_hypothesis,expected_direction,projector_behavior,spectral_authorization
LP_ML_SCHEMA_V1.17,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":110.0}",sharp_rectangle,"{""length_nm"":150.0,""width_nm"":70.0}",0,0,-95.0,0,95.0,0,190.0,0,0,0,60,60.0,112.0,False,False,"{""x_max_nm"":170.0,""x_min_nm"":-150.0,""y_max_nm"":55.0,""y_min_nm"":-55.0}",True,True,True,True,3cb863832a2409e233fa6a6fbba286639815b4f330d9f3058c85669c44faa443,2c1a22b5eefbdf2b4817e17787b20297682a2106e5a9df3855f6a447982072c8,818faf0122d171da8da1fd6619d33cb8891f4576e470acef437e3088ab7d8da5,LP_H500_IFDOE_B000_J1D+00_J2L+00_J2W+00_G60_D190,False,True,True,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,72a5d75d67e8169c2516bd09a3a020b7616ae8408adbd119c939d03b3bbdf63f,2c1a22b5eefbdf2b4817e17787b20297682a2106e5a9df3855f6a447982072c8,STRICT_PROJECTOR,0,0,0,"{""J1_size_delta_nm"": 0, ""J2_length_delta_nm"": 0, ""J2_width_delta_nm"": 0, ""target_direct_gap_nm"": 60}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,False,0,existing formal 450-nm seed baseline; retained for family anchor; no rerun,False,source exact/canonical provenance retained; normalized planning placement linked by canonical or x-reflection symmetry equivalence,INTERACTION_FIRST_DOE_SELECTION_V1,0,2c1a22b5eefbdf2b4817e17787b20297682a2106e5a9df3855f6a447982072c8,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,1,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":100.0}",sharp_rectangle,"{""length_nm"":140.0,""width_nm"":60.0}",0,0,-105.0,0,105.0,0,210.0,0,0,0,90,90.0,102.0,False,False,"{""x_max_nm"":175.0,""x_min_nm"":-155.0,""y_max_nm"":50.0,""y_min_nm"":-50.0}",True,True,True,True,161832d9ae7d93b10107544b9e04dcc4a16127cc30eaf87091e582d2eb66b398,ee5b7dcf83c0c4c0f74883754225d566b2fc83d1e023537c7b7ef6d74a7868b2,c39b86b7d988e77da828712194f46f18037a7f30a90ba2cde9223fa92e9745b4,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,False,False,False,,,,,-10,-10,-10,"{""J1_size_delta_nm"": -10, ""J2_length_delta_nm"": -10, ""J2_width_delta_nm"": -10, ""target_direct_gap_nm"": 90}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,1,family-balanced greedy maximin diversity rank 1; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,1,ee5b7dcf83c0c4c0f74883754225d566b2fc83d1e023537c7b7ef6d74a7868b2,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,2,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D-10_J2L+10_J2W+10_G90_D220,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":100.0}",sharp_rectangle,"{""length_nm"":160.0,""width_nm"":80.0}",0,0,-110.0,0,110.0,0,220.0,0,0,0,90,90.0,82.0,False,False,"{""x_max_nm"":190.0,""x_min_nm"":-160.0,""y_max_nm"":50.0,""y_min_nm"":-50.0}",True,True,True,True,e06c1eca0ec78a2e5e4357eef0cdb9468b5a9a8739916aea1033064374eacc19,cbf888c303f488850b0c5a4188cac685ac6744dccaeaad85fe3a023e55c0fce0,62e692081aeda9704be5bbfaca01de5c3e3f9d414d4191c0e9fd3d25e21d4dfe,LP_H500_IFDOE_B000_J1D-10_J2L+10_J2W+10_G90_D220,False,False,False,,,,,-10,10,10,"{""J1_size_delta_nm"": -10, ""J2_length_delta_nm"": 10, ""J2_width_delta_nm"": 10, ""target_direct_gap_nm"": 90}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,2,family-balanced greedy maximin diversity rank 2; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,2,cbf888c303f488850b0c5a4188cac685ac6744dccaeaad85fe3a023e55c0fce0,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,3,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D+10_J2L-10_J2W+10_G90_D220,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":120.0}",sharp_rectangle,"{""length_nm"":140.0,""width_nm"":80.0}",0,0,-110.0,0,110.0,0,220.0,0,0,0,90,90.0,82.0,False,False,"{""x_max_nm"":180.0,""x_min_nm"":-170.0,""y_max_nm"":60.0,""y_min_nm"":-60.0}",True,True,True,True,e237995ae4f7f0ee328359143e691e625932a5418d09b51b9e4b5da531a1f4c4,b8bede1738ac233b8110455a3efd4a95cc43ebdf11b4c3243e3d22d666abc63a,5ee2aff35406d374e3a5699ee81b93d5194b40e7555ec71158cafb995b33f4a9,LP_H500_IFDOE_B000_J1D+10_J2L-10_J2W+10_G90_D220,False,False,False,,,,,10,-10,10,"{""J1_size_delta_nm"": 10, ""J2_length_delta_nm"": -10, ""J2_width_delta_nm"": 10, ""target_direct_gap_nm"": 90}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,3,family-balanced greedy maximin diversity rank 3; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,3,b8bede1738ac233b8110455a3efd4a95cc43ebdf11b4c3243e3d22d666abc63a,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,4,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D+10_J2L+10_J2W-10_G90_D230,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":120.0}",sharp_rectangle,"{""length_nm"":160.0,""width_nm"":60.0}",0,0,-115.0,0,115.0,0,230.0,0,0,0,90,90.0,62.0,False,False,"{""x_max_nm"":195.0,""x_min_nm"":-175.0,""y_max_nm"":60.0,""y_min_nm"":-60.0}",True,True,True,True,bc00151ea39ee316fdfa9ced47ed187c092256f24ee6cfa16327b4429efcaf3a,fb737179583d8501bca80d1c6e6cf86f1f05422829f4d8793284492b80895e56,494679f257c7afddf7edacf2958ba8e9e87e3bac51d6186a7f404ae9f01823e5,LP_H500_IFDOE_B000_J1D+10_J2L+10_J2W-10_G90_D230,False,False,False,,,,,10,10,-10,"{""J1_size_delta_nm"": 10, ""J2_length_delta_nm"": 10, ""J2_width_delta_nm"": -10, ""target_direct_gap_nm"": 90}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,4,family-balanced greedy maximin diversity rank 4; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,4,fb737179583d8501bca80d1c6e6cf86f1f05422829f4d8793284492b80895e56,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,5,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W+10_G80_D200,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":100.0}",sharp_rectangle,"{""length_nm"":140.0,""width_nm"":80.0}",0,0,-100.0,0,100.0,0,200.0,0,0,0,80,80.0,112.0,False,False,"{""x_max_nm"":170.0,""x_min_nm"":-150.0,""y_max_nm"":50.0,""y_min_nm"":-50.0}",True,True,True,True,4124e8f2efef977f7ca4ca779312523d06bf4677a141d9e3b0394ed3fcda8a00,e34f8c3e0406ea6fe889f3c8442bcb2e36914dda46276eca924c0b50aab6fcd5,6b6588d9ed2a8d7faea1eeb1aec65b36f45cb387c4baf19b9c42ff5889820a57,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W+10_G80_D200,False,False,False,,,,,-10,-10,10,"{""J1_size_delta_nm"": -10, ""J2_length_delta_nm"": -10, ""J2_width_delta_nm"": 10, ""target_direct_gap_nm"": 80}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,5,family-balanced greedy maximin diversity rank 5; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,5,e34f8c3e0406ea6fe889f3c8442bcb2e36914dda46276eca924c0b50aab6fcd5,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,6,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D-10_J2L+10_J2W-10_G80_D210,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":100.0}",sharp_rectangle,"{""length_nm"":160.0,""width_nm"":60.0}",0,0,-105.0,0,105.0,0,210.0,0,0,0,80,80.0,92.0,False,False,"{""x_max_nm"":185.0,""x_min_nm"":-155.0,""y_max_nm"":50.0,""y_min_nm"":-50.0}",True,True,True,True,ab104e83e75625a75dfdea9e0bb990d66aacb0d4519fb403585d7a7c2159e0f1,ebde6ae87a2717186611c767ddf64b962ef7b5a3883b6256d982b84d92050d88,06163a4f03252ee995bfbdc89f1af47da234cb1512699d72fe5fbc23f559e4f7,LP_H500_IFDOE_B000_J1D-10_J2L+10_J2W-10_G80_D210,False,False,False,,,,,-10,10,-10,"{""J1_size_delta_nm"": -10, ""J2_length_delta_nm"": 10, ""J2_width_delta_nm"": -10, ""target_direct_gap_nm"": 80}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,6,family-balanced greedy maximin diversity rank 6; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,6,ebde6ae87a2717186611c767ddf64b962ef7b5a3883b6256d982b84d92050d88,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,7,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B000_J1D+10_J2L-10_J2W-10_G80_D210,B000,LP_S2_H500_LEGACY_B000_SQUARE110_J2L150W70_D190_PSI000,sharp_rectangle,"{""side_nm"":120.0}",sharp_rectangle,"{""length_nm"":140.0,""width_nm"":60.0}",0,0,-105.0,0,105.0,0,210.0,0,0,0,80,80.0,92.0,False,False,"{""x_max_nm"":175.0,""x_min_nm"":-165.0,""y_max_nm"":60.0,""y_min_nm"":-60.0}",True,True,True,True,233ec23927e63bdbb9a5fe5026dbc6380b5f16f81e7573f6f6d04dcd7d856b59,70dff5a4b9bb2a3d59301f80ea8f4800ac04d13e70995fc1d32a0373ca3f2451,b33a9dcc7ea3da70b026be3f9f0205382daf37e46e1bef95291b278f19ee0548,LP_H500_IFDOE_B000_J1D+10_J2L-10_J2W-10_G80_D210,False,False,False,,,,,10,-10,-10,"{""J1_size_delta_nm"": 10, ""J2_length_delta_nm"": -10, ""J2_width_delta_nm"": -10, ""target_direct_gap_nm"": 80}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,7,family-balanced greedy maximin diversity rank 7; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,7,70dff5a4b9bb2a3d59301f80ea8f4800ac04d13e70995fc1d32a0373ca3f2451,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,8,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_S2_H500_LEGACY_B060_RECT170W130_J2L150W90_D220_PSI180,B060,LP_S2_H500_LEGACY_B060_RECT170W130_J2L150W90_D220_PSI180,sharp_rectangle,"{""length_nm"":170.0,""width_nm"":130.0}",sharp_rectangle,"{""length_nm"":150.0,""width_nm"":90.0}",0,0,-110.0,0,110.0,0,220.0,0,0,0,60,60.0,52.0,False,False,"{""x_max_nm"":185.0,""x_min_nm"":-195.0,""y_max_nm"":65.0,""y_min_nm"":-65.0}",True,True,False,True,6c772cdef4777a2cf908fc716e07ca1f51ca4443a2d35553093e6c30af896c7f,0adbce8285de676934e5dc25c7766e381334d5ddc1c106593682030484a78294,95805d6808d25018964f98f633887f395728ad58da506bba2564cef05b701cd7,LP_H500_IFDOE_B060_J1D+00_J2L+00_J2W+00_G60_D220,False,True,True,LP_S2_H500_LEGACY_B060_RECT170W130_J2L150W90_D220_PSI180,9a0e7af88d9f2cf4f0f5daf2554c3b3300ffb147dc7665e99cc9dc192a41069d,fbe18b7e68a7dccd65c72ba0bd10ceac2fbfdbda855fcf026305855aace5c7b4,MIXED_RESPONSE,0,0,0,"{""J1_size_delta_nm"": 0, ""J2_length_delta_nm"": 0, ""J2_width_delta_nm"": 0, ""target_direct_gap_nm"": 60}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,False,0,existing formal 450-nm seed baseline; retained for family anchor; no rerun,False,source exact/canonical provenance retained; normalized planning placement linked by canonical or x-reflection symmetry equivalence,INTERACTION_FIRST_DOE_SELECTION_V1,8,0adbce8285de676934e5dc25c7766e381334d5ddc1c106593682030484a78294,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,9,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LP_ML_SCHEMA_V1.17,LP_H500_IFDOE_B060_J1D-10_J2L-10_J2W-10_G80_D230,B060,LP_S2_H500_LEGACY_B060_RECT170W130_J2L150W90_D220_PSI180,sharp_rectangle,"{""length_nm"":160.0,""width_nm"":120.0}",sharp_rectangle,"{""length_nm"":140.0,""width_nm"":80.0}",0,0,-115.0,0,115.0,0,230.0,0,0,0,80,80.0,52.0,False,False,"{""x_max_nm"":185.0,""x_min_nm"":-195.0,""y_max_nm"":60.0,""y_min_nm"":-60.0}",True,True,False,True,05b01a773c47288c67a18a0bc9ac9a75d1de64ae24f2a9b3f3cb2b7de11e259a,da1d9792eb569389c791d8d8af1d12ba329afd97c35e802f1ae94fe015fcba53,e01683b8ba01b76d8210cf33510700f59a07de6748baafb1ccb9063ffcbc169c,LP_H500_IFDOE_B060_J1D-10_J2L-10_J2W-10_G80_D230,False,False,False,,,,,-10,-10,-10,"{""J1_size_delta_nm"": -10, ""J2_length_delta_nm"": -10, ""J2_width_delta_nm"": -10, ""target_direct_gap_nm"": 80}",500.0,432.0,432.0,450,APCD_TIO2_NATIVE_M1,horizontal x-pair; J1 left/J2 right; common translation zero; no swap-order duplicate,True,1,family-balanced greedy maximin diversity rank 1; integer centers; hard fabrication pass; no static-pairing exclusion,True,none; new formal full-dimer label required,INTERACTION_FIRST_DOE_SELECTION_V1,9,da1d9792eb569389c791d8d8af1d12ba329afd97c35e802f1ae94fe015fcba53,UNASSIGNED,canonical_v1_5/geometry_master_v1_5.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canonical_v1_7/geometry_master_v1_7.csv,10,canonical_v1_9/geometry_master_v1_9.csv,canonical_v1_11/geometry_master_v1_11.csv:10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LP_ML_SCHEMA_V1.13,geometry_master_v1_13.csv,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
