schema_version,candidate_id,route,anchor_candidate_id,variable,step_nm,dTxx_per_nm,dTyy_per_nm,dlog_R_total_per_nm,drank_ratio_per_nm,dmatrix_error_per_nm,dphase_deg_per_nm,local_only_no_global_extrapolation,evidence_tier,source_stage,source_schema_version,v1_13_source_row_provenance,v1_15_source_row_provenance,v1_15_source_row_index
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J1M05,D0_60,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,J1,-5.0,0.008044731677715421,-0.002753711219502475,0.011196159711278167,0.004352708002029471,-0.005660381027773909,2.197545541987483,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:1,stage_d0_one_factor_local_diagnostics_v1_13.csv,1
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J2LP05,D0_60,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,J2L,5.0,-0.00196009994893398,0.00017411277208962962,-0.0021902106758225105,8.876745460082436e-05,0.0010948630422159323,1.739997662479277,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:2,stage_d0_one_factor_local_diagnostics_v1_13.csv,2
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_J2WP05,D0_60,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,J2W,5.0,-0.0026540916880292585,0.0026391528181412215,-0.005421030252926037,-0.0015160943037736852,0.0027208990283857483,1.4709712572633293,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:3,stage_d0_one_factor_local_diagnostics_v1_13.csv,3
LP_ML_SCHEMA_V1.15,LP_H500_D0_60_GP05,D0_60,LP_H500_IFDOE_B000_J1D-10_J2L-10_J2W-10_G90_D210,gap,5.0,0.0015643426757908196,0.0002335916477827382,0.0013511562363411182,-0.0006724448061226074,-0.0006724448061231847,0.1052311099529561,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:4,stage_d0_one_factor_local_diagnostics_v1_13.csv,4
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J1M05,D0_0,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,J1,-5.0,-0.0023216794161859066,-0.011082241865716602,0.009163606703713386,-0.004525961084407326,-0.004525961084410435,1.4812095971594943,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:5,stage_d0_one_factor_local_diagnostics_v1_13.csv,5
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J2LM05,D0_0,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,J2L,-5.0,0.0007574058960862385,-0.017746094487159268,0.018912340805858484,-3.854454854053113e-05,-0.00945611817368075,1.539631631218566,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:6,stage_d0_one_factor_local_diagnostics_v1_13.csv,6
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_J2WM05,D0_0,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,J2W,-5.0,0.0005375195921282882,-0.012336804550069913,0.013330676232309824,-0.0027835506467431825,-0.006618648616403355,1.2369953688660247,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:7,stage_d0_one_factor_local_diagnostics_v1_13.csv,7
LP_ML_SCHEMA_V1.15,LP_H500_D0_0_GP05,D0_0,LP_H500_BATCHC_C0_A1_J1M10_J2LP05_CTXP025,gap,5.0,0.002044696265274859,0.0012096975533416154,0.0007852702177945286,-0.0003830479529051134,-0.00038304795290509117,-0.44830990241131874,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:8,stage_d0_one_factor_local_diagnostics_v1_13.csv,8
LP_ML_SCHEMA_V1.15,LP_H500_D0_CTRL_B120_J2LP05,D0_CONTROL,LP_H500_IFDOE_B120_J1D+00_J2L-10_J2W+10_G90_D200,J2L,5.0,0.004254926491243971,-0.012552904317897106,0.21686747663660277,-0.02606827889819676,-0.026068278898196733,1.251059510321926,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:9,stage_d0_one_factor_local_diagnostics_v1_13.csv,9
LP_ML_SCHEMA_V1.15,LP_H500_D0_CTRL_B300_J2WM05,D0_CONTROL,LP_H500_IFDOE_B300_J1D-10_J2L-10_J2W-10_G60_D170,J2W,-5.0,0.0014330580718953545,0.0010696510646058144,0.00038078204040659753,0.0001899206745344495,-0.0001908625451128465,1.0530203992663645,True,FORMAL_FULL_DIMER_450,PRIMARY_FLAT_CARRIER_PROJECTORIZATION_STAGE_D0_V1,LP_ML_SCHEMA_V1.13,staging/primary_flat_carrier_projectorization_stage_d0_v1/one_factor_local_diagnostics_v1_12.csv:10,stage_d0_one_factor_local_diagnostics_v1_13.csv,10
