sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,delta_theta_deg,D_nm,theta1_deg,theta2_deg,j1_center_y_nm,j2_center_y_nm,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,cell_area_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,cell_containment_pass,overlap_or_touching_pass,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,geometry_hash_sha256,nearest_object_image_pair
1,254,91,200,79,0.47246376811594204,0.4336917562724014,0.45307776219417173,0.03877201184354062,82.613525391,214,0.0,82.613525391,107.0,-107.0,23114,15800,38914,186624.0,0.20851551783264746,64.25166703012842,68.25166703012843,64.25166703012842,True,True,79,6.6455696202531644,0791b1baac19211f019fcd42ccdf51d286583f52c5b111abb10a8786fedee152,"{""distance_nm"": 64.25166703012842, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-26.31606112249291, 61.5], ""point_b_nm"": [-26.31606112249291, -2.751667030128413], ""touch_or_overlap"": false}"
2,259,89,197,78,0.4885057471264368,0.43272727272727274,0.46061650992685477,0.05577847439916406,86.306762695,217,0.0,86.306762695,108.5,-108.5,23051,15366,38417,186624.0,0.20585240912208505,71.69239564819996,69.69239564819998,69.69239564819998,True,True,78,6.730769230769231,78fa5c07850358abe0af59d1cbc31d728c35f21f087583b5d0038d2bc5786381,"{""distance_nm"": 69.69239564819998, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [32.574175428565255, 153.0], ""point_b_nm"": [32.574175428565255, 222.69239564819998], ""touch_or_overlap"": false}"
5,262,94,195,78,0.47191011235955055,0.42857142857142855,0.45024077046548955,0.043338683788122,88.153381348,215,0.0,88.153381348,107.5,-107.5,24628,15210,39838,186624.0,0.21346664951989025,69.29389861477829,71.29389861477827,69.29389861477829,True,True,78,6.730769230769231,50b2e73dabe67d23ce3ef8e3625b271ed0f26f6e0d00d2d36f07d7d2e345e1b9,"{""distance_nm"": 69.29389861477829, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-35.837906598046885, 60.5], ""point_b_nm"": [-35.83790659804688, -8.79389861477829], ""touch_or_overlap"": false}"
6,257,88,205,79,0.48985507246376814,0.44366197183098594,0.466758522147377,0.0461931006327822,84.460144043,218,0.0,84.460144043,109.0,-109.0,22616,16195,38811,186624.0,0.2079636059670782,68.16549152526409,64.16549152526409,64.16549152526409,True,True,79,6.6455696202531644,1c0414a26a8eff8129f7e0bf2ca60d70579c5737bd62a213a3c8a9d8ca0ab588,"{""distance_nm"": 64.16549152526409, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [29.420346971289277, 153.0], ""point_b_nm"": [29.420346971289277, 217.1654915252641], ""touch_or_overlap"": false}"
7,246,92,199,77,0.4556213017751479,0.4420289855072464,0.4488251436411972,0.013592316267901527,77.073669433,212,0.0,77.073669433,106.0,-106.0,22632,15323,37955,186624.0,0.20337684327846364,60.409104811825415,68.40910481182544,60.409104811825415,True,True,77,6.818181818181818,d2d4a80e004797ea8e939b6bc6266ccb4b08ed8e7a17aecd40bb234190ab16f3,"{""distance_nm"": 60.409104811825415, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-15.266396213904898, 60.0], ""point_b_nm"": [-15.266396213904905, -0.409104811825415], ""touch_or_overlap"": false}"
10,263,87,203,77,0.5028571428571429,0.45,0.4764285714285714,0.05285714285714288,79.843597412,214,0.0,79.843597412,107.0,-107.0,22881,15631,38512,186624.0,0.20636145404663922,63.80156971925931,67.8015697192593,63.80156971925931,True,True,77,6.818181818181818,3b25835f493a4afccee393611a4acb0bdc617f9a6729276a467f1fac055ebd97,"{""distance_nm"": 63.80156971925931, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-19.998624343337184, 63.5], ""point_b_nm"": [-19.998624343337184, -0.30156971925930964], ""touch_or_overlap"": false}"
11,253,92,196,79,0.4666666666666667,0.4254545454545455,0.44606060606060605,0.0412121212121212,87.230072021,208,0.0,87.230072021,104.0,-104.0,23276,15484,38760,186624.0,0.20769032921810698,62.20564080276104,78.20564080276102,62.20564080276104,True,True,79,6.6455696202531644,9407d9014b9e3f60d9e9c13c32e4154565a42a140ddf745bf2226ca9c502443f,"{""distance_nm"": 62.20564080276104, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.71794741070457, 58.0], ""point_b_nm"": [-34.71794741070457, -4.205640802761035], ""touch_or_overlap"": false}"
12,250,88,198,79,0.47928994082840237,0.4296028880866426,0.4544464144575225,0.049687052741759774,89.076690674,213,0.0,89.076690674,106.5,-106.5,22000,15642,37642,186624.0,0.2016996742112483,69.37634763111876,75.37634763111876,69.37634763111876,True,True,79,6.6455696202531644,32d5d9c8575663f142e75b76c1d86abcc5742f5be4ecae74616055c51e4f2cc2,"{""distance_nm"": 69.37634763111876, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-37.89957636549917, 62.5], ""point_b_nm"": [-37.89957636549917, -6.876347631118758], ""touch_or_overlap"": false}"
14,255,90,195,80,0.4782608695652174,0.41818181818181815,0.44822134387351775,0.06007905138339925,77.99697876,216,0.0,77.99697876,108.0,-108.0,22950,15600,38550,186624.0,0.2065650720164609,67.31314723032244,67.31314723032244,67.31314723032244,True,True,80,6.5625,6bd9c893923cc98fd196e70023956431dc4fc014940804d70104baba6e7a1fae,"{""distance_nm"": 67.31314723032244, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-18.84904673237378, 63.0], ""point_b_nm"": [-18.849046732373793, -4.3131472303224445], ""touch_or_overlap"": false}"
16,245,91,200,79,0.4583333333333333,0.4336917562724014,0.44601254480286734,0.024641577060931896,79.381942749,220,0.0,79.381942749,110.0,-110.0,22295,15800,38095,186624.0,0.20412701474622771,68.93395303480582,60.933953034805796,60.933953034805796,True,True,79,6.6455696202531644,6d8a4ba95eb138d340194a0f174e9d743966fc26bdc651ade25f37b01e321079,"{""distance_nm"": 60.933953034805796, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [20.39754220837449, 155.5], ""point_b_nm"": [20.39754220837449, 216.4339530348058], ""touch_or_overlap"": false}"
