geometry_id,sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,D_nm,delta_theta_deg,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_clearance_nm,distance_from_bf04_local_6d,geometry_hash_sha256
POOL_00001,1,254,91,200,79,0.47246376811594204,0.4336917562724014,0.45307776219417173,0.03877201184354062,214,82.613525391,23114,15800,38914,0.20851551783264746,64.25166703012842,68.25166703012843,0.8349293677010682,0791b1baac19211f019fcd42ccdf51d286583f52c5b111abb10a8786fedee152
POOL_00002,2,259,89,197,78,0.4885057471264368,0.43272727272727274,0.46061650992685477,0.05577847439916406,217,86.306762695,23051,15366,38417,0.20585240912208505,71.69239564819996,69.69239564819998,0.7539478050658925,78fa5c07850358abe0af59d1cbc31d728c35f21f087583b5d0038d2bc5786381
POOL_00005,5,262,94,195,78,0.47191011235955055,0.42857142857142855,0.45024077046548955,0.043338683788122,215,88.153381348,24628,15210,39838,0.21346664951989025,69.29389861477829,71.29389861477827,1.0249981230831287,50b2e73dabe67d23ce3ef8e3625b271ed0f26f6e0d00d2d36f07d7d2e345e1b9
POOL_00006,6,257,88,205,79,0.48985507246376814,0.44366197183098594,0.466758522147377,0.0461931006327822,218,84.460144043,22616,16195,38811,0.2079636059670782,68.16549152526409,64.16549152526409,0.7830495822300089,1c0414a26a8eff8129f7e0bf2ca60d70579c5737bd62a213a3c8a9d8ca0ab588
POOL_00007,7,246,92,199,77,0.4556213017751479,0.4420289855072464,0.4488251436411972,0.013592316267901527,212,77.073669433,22632,15323,37955,0.20337684327846364,60.409104811825415,68.40910481182544,0.9219232001483226,d2d4a80e004797ea8e939b6bc6266ccb4b08ed8e7a17aecd40bb234190ab16f3
POOL_00010,10,263,87,203,77,0.5028571428571429,0.45,0.4764285714285714,0.05285714285714288,214,79.843597412,22881,15631,38512,0.20636145404663922,63.80156971925931,67.8015697192593,0.7512943585792513,3b25835f493a4afccee393611a4acb0bdc617f9a6729276a467f1fac055ebd97
POOL_00011,11,253,92,196,79,0.4666666666666667,0.4254545454545455,0.44606060606060605,0.0412121212121212,208,87.230072021,23276,15484,38760,0.20769032921810698,62.20564080276104,78.20564080276102,1.2923453020839129,9407d9014b9e3f60d9e9c13c32e4154565a42a140ddf745bf2226ca9c502443f
POOL_00012,12,250,88,198,79,0.47928994082840237,0.4296028880866426,0.4544464144575225,0.049687052741759774,213,89.076690674,22000,15642,37642,0.2016996742112483,69.37634763111876,75.37634763111876,1.1339515671052702,32d5d9c8575663f142e75b76c1d86abcc5742f5be4ecae74616055c51e4f2cc2
POOL_00014,14,255,90,195,80,0.4782608695652174,0.41818181818181815,0.44822134387351775,0.06007905138339925,216,77.99697876,22950,15600,38550,0.2065650720164609,67.31314723032244,67.31314723032244,1.285763433964489,6bd9c893923cc98fd196e70023956431dc4fc014940804d70104baba6e7a1fae
POOL_00016,16,245,91,200,79,0.4583333333333333,0.4336917562724014,0.44601254480286734,0.024641577060931896,220,79.381942749,22295,15800,38095,0.20412701474622771,68.93395303480582,60.933953034805796,0.9480552857389641,6d8a4ba95eb138d340194a0f174e9d743966fc26bdc651ade25f37b01e321079
POOL_00018,18,261,88,197,80,0.49570200573065903,0.4223826714801444,0.4590423386054017,0.07331933425051462,210,83.075180054,22968,15760,38728,0.20751886145404663,63.39586194149595,75.39586194149595,1.404603536065922,53d9450f610193580494bb7b59aaa938bb8922943634a73ff174ff1e1fa6c8f5
POOL_00019,19,251,93,203,78,0.45930232558139533,0.44483985765124556,0.4520710916163204,0.01446246793014977,216,75.688705444,23343,15834,39177,0.20992476851851852,61.50943616707943,61.50943616707946,0.7226843801111756,a06df31d3aa3027a9597bc7a59cc0e2c80917ee4d2ac97d537fd05c43ce082e2
POOL_00021,21,264,92,198,80,0.48314606741573035,0.4244604316546763,0.45380324953520335,0.05868563576105407,211,84.921798706,24288,15840,40128,0.21502057613168724,62.84797991804372,72.84797991804373,1.337689287755728,8c420786ec1d596bad630322cccb6e4652e83b41d3504fba52ef67a36cc3b778
POOL_00022,22,259,90,202,77,0.48424068767908307,0.44802867383512546,0.4661346807571043,0.03621201384395761,208,88.615036011,23310,15554,38864,0.20824759945130317,61.09896706021445,77.09896706021445,0.9677935133947931,9917ba9e5084b8433cf4712b766e3b6d3aa17a3366ae9cff20ba742495d450db
POOL_00023,23,248,94,195,79,0.4502923976608187,0.4233576642335766,0.43682503094719766,0.026934733427242064,215,81.228561401,23312,15405,38717,0.20745991941015088,65.6168280406824,67.6168280406824,1.152962677556426,38aeca96427b7ef4a7867449da2d3d8987e60c61af0574b7107249eab213a7e0
POOL_00024,24,247,88,201,80,0.4746268656716418,0.4306049822064057,0.4526159239390237,0.04402188346523611,216,87.691726685,21736,16080,37816,0.20263203017832648,69.97050382976131,69.97050382976133,1.2500295096224034,3d309f794faf09000e172137f66f0c5c4d2dc438da275b3a783f62d948a9ab6f
POOL_00025,25,257,92,194,78,0.47277936962750716,0.4264705882352941,0.44962497893140063,0.04630878139221306,209,80.305252075,23644,15132,38776,0.2077760631001372,60.81770384845147,74.81770384845146,1.1573861253488118,174803d548422f3e4f2d401d758deb4b55598aa96fd4907e65e725ee328b27ea
POOL_00027,27,252,95,198,77,0.45244956772334294,0.44,0.44622478386167147,0.012449567723342936,219,83.99848938,23940,15246,39186,0.2099729938271605,69.01724989164016,63.01724989164015,0.7144403339345213,b2ff7adcbb6db336e34a795089e6f1314c66fcd5ac8ac3abcad7822bd47d7d17
POOL_00028,28,249,89,196,77,0.47337278106508873,0.4358974358974359,0.4546351084812623,0.03747534516765283,214,85.845108032,22161,15092,37253,0.19961526920438957,68.96812022030211,72.9681202203021,0.8695836866850076,9775bbadc753e2c80e62e8821e29016286a0bba9d31b5452e7a05612e8e21657
POOL_00030,30,255,87,199,79,0.49122807017543857,0.4316546762589928,0.4614413732172157,0.05957339391644578,211,82.151870727,22185,15721,37906,0.20311428326474623,63.53833116398439,73.5383311639844,1.106836741667224,80c9cae8f1414d0abc480afafda47c7a7f6653b9ee5d765be148f022c864f558
POOL_00033,33,255,93,196,77,0.46551724137931033,0.4358974358974359,0.4507073386383731,0.02961980548187443,212,84.690971374,23715,15092,38807,0.20794217249657065,64.35809881059434,72.35809881059433,0.8667826612668432,36fd26d0acd279a7740d15ee45db904710eea9bf7a97b025445d91739ac97018
POOL_00034,34,260,87,206,80,0.49855907780979825,0.4405594405594406,0.4695592591846194,0.05799963725035767,209,88.384208679,22620,16480,39100,0.2095121742112483,61.41306906769311,75.4130690676931,1.4324901060380535,597cda4d70804a8b4fd1917173c0581d4721beb6b055dc3fa6531c66a7ac1a6b
