geometry_id,role,selection_label,mechanism_direction,sample_index,L1_nm,W1_nm,L2_nm,W2_nm,A1,A2,A_mean,Delta_A,delta_theta_deg,D_nm,theta1_deg,theta2_deg,j1_center_x_nm,j1_center_y_nm,j2_center_x_nm,j2_center_y_nm,height_nm,period_x_nm,period_y_nm,pillar_1_area_nm2,pillar_2_area_nm2,total_footprint_nm2,cell_area_nm2,footprint_fill_fraction,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,nearest_object_image_pair,minimum_lateral_feature_nm,aspect_ratio_H_over_min_feature,distance_from_bf04_local_6d,geometry_hash_sha256,solver_entered,solver_run_called
BF04R_I01,INITIAL_LOCAL_MECHANISM_CANDIDATE,I01_HIGHER_A_MEAN,increase A_mean while approximately preserving Delta_A,7922,261,89,207,77,0.49142857142857144,0.45774647887323944,0.4745875251509054,0.033682092555332,81.518898904,213,0.0,81.518898904,0.0,106.5,0.0,-106.5,525.0,432.0,432.0,23229,15939,39168,186624.0,0.20987654320987653,60.453715247527214,66.45371524752721,60.453715247527214,"{""distance_nm"": 60.453715247527214, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-22.81447678969576, 62.0], ""point_b_nm"": [-22.814476789695764, 1.5462847524727854], ""touch_or_overlap"": false}",77,6.818181818181818,0.6308410102218447,07b510e377ba69195b5e432cfb4031dba381c94ec7b662acef584077c2981058,False,False
BF04R_I02,INITIAL_LOCAL_MECHANISM_CANDIDATE,I02_LOWER_A_MEAN,decrease A_mean while approximately preserving Delta_A,831,244,95,194,80,0.43952802359882004,0.41605839416058393,0.42779320887970196,0.023469629438236106,81.618082523,216,0.0,81.618082523,0.0,108.0,0.0,-108.0,525.0,432.0,432.0,23180,15520,38700,186624.0,0.20736882716049382,66.70528412376565,66.70528412376567,66.70528412376565,"{""distance_nm"": 66.70528412376565, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-25.432967181922024, 60.5], ""point_b_nm"": [-25.432967181922027, -6.205284123765656], ""touch_or_overlap"": false}",80,6.5625,1.5035310248428386,002b7038e6572549af080944267cfe7b62a4a77897b9e95dc7ad8fb10fd41446,False,False
BF04R_I03,INITIAL_LOCAL_MECHANISM_CANDIDATE,I03_INCREASE_DELTA_A,increase Delta_A while approximately preserving A_mean,2730,264,87,194,80,0.5042735042735043,0.41605839416058393,0.4601659492170441,0.08821511011292033,85.819861293,220,0.0,85.819861293,0.0,110.0,0.0,-110.0,525.0,432.0,432.0,22968,15520,38488,186624.0,0.20623285322359397,76.84233977127985,68.84233977127985,68.84233977127985,"{""distance_nm"": 68.84233977127985, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [32.82302176425824, 153.5], ""point_b_nm"": [32.82302176425825, 222.34233977127985], ""touch_or_overlap"": false}",80,6.5625,1.4322929907249515,b818fd28e0535053a21940f40a9b45cfb0b9252aba9e0158be2496fba87eea06,False,False
BF04R_I04,INITIAL_LOCAL_MECHANISM_CANDIDATE,I04_DECREASE_DELTA_A,decrease or reverse Delta_A while approximately preserving A_mean,11663,245,93,207,77,0.44970414201183434,0.45774647887323944,0.4537253104425369,-0.008042336861405097,89.696137458,215,0.0,89.696137458,0.0,107.5,0.0,-107.5,525.0,432.0,432.0,22785,15939,38724,186624.0,0.2074974279835391,64.79727550738725,66.79727550738724,64.79727550738725,"{""distance_nm"": 64.79727550738725, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-37.95055905792766, 61.0], ""point_b_nm"": [-37.95055905792766, -3.7972755073872486], ""touch_or_overlap"": false}",77,6.818181818181818,0.8575976492789228,718e890a0e77373d4daac095e122f6593fd0f81690162a1a19e3014722f948af,False,False
