geometry_id,sample_index,direct_clearance_nm,periodic_image_clearance_nm,global_minimum_clearance_nm,cell_containment_pass,overlap_or_touching_pass,nearest_object_image_pair,geometry_hash_sha256,validity
POOL_00001,1,64.25166703012842,68.25166703012843,64.25166703012842,True,True,"{""distance_nm"": 64.25166703012842, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-26.31606112249291, 61.5], ""point_b_nm"": [-26.31606112249291, -2.751667030128413], ""touch_or_overlap"": false}",0791b1baac19211f019fcd42ccdf51d286583f52c5b111abb10a8786fedee152,PASS
POOL_00002,2,71.69239564819996,69.69239564819998,69.69239564819998,True,True,"{""distance_nm"": 69.69239564819998, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [32.574175428565255, 153.0], ""point_b_nm"": [32.574175428565255, 222.69239564819998], ""touch_or_overlap"": false}",78fa5c07850358abe0af59d1cbc31d728c35f21f087583b5d0038d2bc5786381,PASS
POOL_00005,5,69.29389861477829,71.29389861477827,69.29389861477829,True,True,"{""distance_nm"": 69.29389861477829, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-35.837906598046885, 60.5], ""point_b_nm"": [-35.83790659804688, -8.79389861477829], ""touch_or_overlap"": false}",50b2e73dabe67d23ce3ef8e3625b271ed0f26f6e0d00d2d36f07d7d2e345e1b9,PASS
POOL_00006,6,68.16549152526409,64.16549152526409,64.16549152526409,True,True,"{""distance_nm"": 64.16549152526409, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [29.420346971289277, 153.0], ""point_b_nm"": [29.420346971289277, 217.1654915252641], ""touch_or_overlap"": false}",1c0414a26a8eff8129f7e0bf2ca60d70579c5737bd62a213a3c8a9d8ca0ab588,PASS
POOL_00007,7,60.409104811825415,68.40910481182544,60.409104811825415,True,True,"{""distance_nm"": 60.409104811825415, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-15.266396213904898, 60.0], ""point_b_nm"": [-15.266396213904905, -0.409104811825415], ""touch_or_overlap"": false}",d2d4a80e004797ea8e939b6bc6266ccb4b08ed8e7a17aecd40bb234190ab16f3,PASS
POOL_00010,10,63.80156971925931,67.8015697192593,63.80156971925931,True,True,"{""distance_nm"": 63.80156971925931, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-19.998624343337184, 63.5], ""point_b_nm"": [-19.998624343337184, -0.30156971925930964], ""touch_or_overlap"": false}",3b25835f493a4afccee393611a4acb0bdc617f9a6729276a467f1fac055ebd97,PASS
POOL_00011,11,62.20564080276104,78.20564080276102,62.20564080276104,True,True,"{""distance_nm"": 62.20564080276104, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-34.71794741070457, 58.0], ""point_b_nm"": [-34.71794741070457, -4.205640802761035], ""touch_or_overlap"": false}",9407d9014b9e3f60d9e9c13c32e4154565a42a140ddf745bf2226ca9c502443f,PASS
POOL_00012,12,69.37634763111876,75.37634763111876,69.37634763111876,True,True,"{""distance_nm"": 69.37634763111876, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-37.89957636549917, 62.5], ""point_b_nm"": [-37.89957636549917, -6.876347631118758], ""touch_or_overlap"": false}",32d5d9c8575663f142e75b76c1d86abcc5742f5be4ecae74616055c51e4f2cc2,PASS
POOL_00014,14,67.31314723032244,67.31314723032244,67.31314723032244,True,True,"{""distance_nm"": 67.31314723032244, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-18.84904673237378, 63.0], ""point_b_nm"": [-18.849046732373793, -4.3131472303224445], ""touch_or_overlap"": false}",6bd9c893923cc98fd196e70023956431dc4fc014940804d70104baba6e7a1fae,PASS
POOL_00016,16,68.93395303480582,60.933953034805796,60.933953034805796,True,True,"{""distance_nm"": 60.933953034805796, ""image_shift"": [0, 1], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [20.39754220837449, 155.5], ""point_b_nm"": [20.39754220837449, 216.4339530348058], ""touch_or_overlap"": false}",6d8a4ba95eb138d340194a0f174e9d743966fc26bdc651ade25f37b01e321079,PASS
POOL_00018,18,63.39586194149595,75.39586194149595,63.39586194149595,True,True,"{""distance_nm"": 63.39586194149595, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-27.832370601000576, 61.0], ""point_b_nm"": [-27.832370601000584, -2.3958619414959514], ""touch_or_overlap"": false}",53d9450f610193580494bb7b59aaa938bb8922943634a73ff174ff1e1fa6c8f5,PASS
POOL_00019,19,61.50943616707943,61.50943616707946,61.50943616707943,True,True,"{""distance_nm"": 61.50943616707943, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-12.699926104033423, 61.5], ""point_b_nm"": [-12.69992610403342, -0.009436167079432067], ""touch_or_overlap"": false}",a06df31d3aa3027a9597bc7a59cc0e2c80917ee4d2ac97d537fd05c43ce082e2,PASS
POOL_00021,21,62.84797991804372,72.84797991804373,62.84797991804372,True,True,"{""distance_nm"": 62.84797991804372, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-31.07997415017587, 59.5], ""point_b_nm"": [-31.07997415017588, -3.3479799180437215], ""touch_or_overlap"": false}",8c420786ec1d596bad630322cccb6e4652e83b41d3504fba52ef67a36cc3b778,PASS
POOL_00022,22,61.09896706021445,77.09896706021445,61.09896706021445,True,True,"{""distance_nm"": 61.09896706021445, ""image_shift"": [0, 0], ""object_a"": ""pillar_1"", ""object_b"": ""pillar_2"", ""point_a_nm"": [-36.04760027803155, 59.0], ""point_b_nm"": [-36.04760027803156, -2.0989670602144463], ""touch_or_overlap"": false}",9917ba9e5084b8433cf4712b766e3b6d3aa17a3366ae9cff20ba742495d450db,PASS
