spectral_peak_nm,spectral_FWHM_nm,T450,T448,T453,max_transmission_angle_450_deg,strict_normal,near_normal,angular_FWHM_450_deg,spectral_boundary_clipped,stopband_left_nm,stopband_right_nm,energy_residual_max,angle_symmetry_error_max,secondary_peak_ratio,sequence_json,candidate_id,scan_mode,sample_id,sample_index,spectral_target_pass,angular_target_pass,combined_pass,error_bound_nm,layer_errors_json
450.75999999999374,7.568850265627987,0.7962590222504908,0.5333713826328073,0.6192146835783727,-6.0,False,False,28.496879309741022,False,443.39999999999867,458.7999999999978,1.1102230246251565e-15,0.0,0.0,"[[""L"",78],[""H"",44],[""L"",78],[""H"",45],[""L"",80],[""H"",45],[""L"",156],[""H"",45],[""L"",80],[""H"",45],[""L"",79],[""H"",45],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0010,10,True,False,False,1,"[-1,-1,-1,0,1,0,0,0,1,0,0,0,-1]"
448.0599999999938,7.499064794201502,0.6536365765566736,0.8265088226815184,0.3117402445278964,0.0,True,True,22.126331673576658,False,440.59999999999883,455.99999999999795,6.661338147750939e-16,0.0,0.0,"[[""L"",78],[""H"",46],[""L"",80],[""H"",46],[""L"",78],[""H"",45],[""L"",155],[""H"",44],[""L"",80],[""H"",44],[""L"",79],[""H"",46],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0011,11,True,True,True,1,"[-1,1,1,1,-1,0,-1,-1,1,-1,0,1,-1]"
450.6999999999938,7.604720608385151,0.7981546133322877,0.5412301955977491,0.6094488361848758,-6.0,False,False,28.389532199792228,False,443.1999999999987,458.7999999999978,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",46],[""L"",79],[""H"",46],[""L"",80],[""H"",46],[""L"",156],[""H"",44],[""L"",80],[""H"",44],[""L"",78],[""H"",44],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0012,12,True,False,False,1,"[0,1,0,1,1,1,0,-1,1,-1,-1,-1,0]"
450.87999999999363,7.600949727964519,0.785414616083971,0.5191818392161203,0.6336766252438576,-6.0,False,False,28.87867692423098,False,443.39999999999867,458.9999999999978,1.1102230246251565e-15,0.0,0.0,"[[""L"",78],[""H"",46],[""L"",80],[""H"",45],[""L"",80],[""H"",45],[""L"",156],[""H"",45],[""L"",80],[""H"",45],[""L"",78],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0013,13,True,False,False,1,"[-1,1,1,0,1,0,0,0,1,0,-1,-1,1]"
449.8799999999937,7.578584321847302,0.8290401099909045,0.6621667291122877,0.5002806022959868,0.0,True,True,25.63932906436598,False,442.3999999999987,457.79999999999785,1.3322676295501878e-15,0.0,0.0,"[[""L"",78],[""H"",46],[""L"",79],[""H"",46],[""L"",79],[""H"",45],[""L"",155],[""H"",45],[""L"",79],[""H"",46],[""L"",79],[""H"",46],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0014,14,True,True,True,1,"[-1,1,0,1,0,0,-1,0,0,1,0,1,0]"
450.57999999999373,7.55187593844272,0.8103954010153351,0.5587169929868772,0.5920254374507306,-5.0,False,True,27.919859775129897,False,443.1999999999987,458.5999999999978,6.661338147750939e-16,0.0,0.0,"[[""L"",80],[""H"",45],[""L"",78],[""H"",46],[""L"",79],[""H"",45],[""L"",157],[""H"",45],[""L"",78],[""H"",44],[""L"",78],[""H"",44],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0015,15,True,True,True,1,"[1,0,-1,1,0,0,1,0,-1,-1,-1,-1,-1]"
450.2599999999937,7.551936046265666,0.8257927153783486,0.6051722002619562,0.5494686310928454,-3.0,False,True,26.855947065899734,False,442.7999999999987,458.3999999999978,8.881784197001252e-16,0.0,0.0,"[[""L"",78],[""H"",45],[""L"",80],[""H"",45],[""L"",78],[""H"",44],[""L"",157],[""H"",45],[""L"",80],[""H"",45],[""L"",78],[""H"",46],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0016,16,True,True,True,1,"[-1,0,1,0,-1,-1,1,0,1,0,-1,1,-1]"
446.79999999999393,7.39987034200675,0.4826352822371931,0.755647060185864,0.22987154418313582,0.0,True,True,21.967545799345693,False,439.5999999999989,454.59999999999803,9.992007221626409e-16,0.0,0.0,"[[""L"",80],[""H"",44],[""L"",80],[""H"",45],[""L"",78],[""H"",44],[""L"",155],[""H"",44],[""L"",79],[""H"",46],[""L"",80],[""H"",45],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0017,17,False,True,False,1,"[1,-1,1,0,-1,-1,-1,-1,0,1,1,0,1]"
451.3399999999937,7.606629781898903,0.736212368732198,0.4601378539940743,0.6971314323156466,-8.0,False,False,30.359339626813732,False,443.79999999999865,459.39999999999776,7.771561172376096e-16,0.0,0.0,"[[""L"",78],[""H"",45],[""L"",79],[""H"",46],[""L"",78],[""H"",46],[""L"",155],[""H"",46],[""L"",79],[""H"",45],[""L"",80],[""H"",44],[""L"",78]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0018,18,True,False,False,1,"[-1,0,0,1,-1,1,-1,1,0,0,1,-1,-1]"
450.9599999999937,7.603878737583443,0.7811243124624292,0.5106953133124557,0.6498606341019508,-7.0,False,False,29.207261265608732,False,443.39999999999867,458.9999999999978,8.881784197001252e-16,0.0,0.0,"[[""L"",79],[""H"",44],[""L"",78],[""H"",45],[""L"",79],[""H"",46],[""L"",155],[""H"",45],[""L"",80],[""H"",46],[""L"",80],[""H"",46],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0019,19,True,False,False,1,"[0,-1,-1,0,0,1,-1,0,1,1,1,1,0]"
450.55999999999375,7.576464868470623,0.8119623421962496,0.5638080227605811,0.590707807991776,-5.0,False,True,27.89573294942958,False,443.1999999999987,458.5999999999978,1.7763568394002505e-15,0.0,0.0,"[[""L"",79],[""H"",44],[""L"",80],[""H"",45],[""L"",79],[""H"",46],[""L"",155],[""H"",45],[""L"",79],[""H"",46],[""L"",78],[""H"",46],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0020,20,True,True,True,1,"[0,-1,1,0,0,1,-1,0,0,1,-1,1,0]"
449.69999999999385,7.518681014976096,0.8244476161249448,0.6849850033523022,0.4764166762896628,0.0,True,True,25.0322370210373,False,442.3999999999987,457.79999999999785,1.3322676295501878e-15,0.0,0.0,"[[""L"",80],[""H"",44],[""L"",78],[""H"",46],[""L"",78],[""H"",45],[""L"",156],[""H"",45],[""L"",79],[""H"",44],[""L"",79],[""H"",46],[""L"",79]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0021,21,True,True,True,1,"[1,-1,-1,1,-1,0,0,0,0,-1,0,1,0]"
449.2799999999937,7.511046597746201,0.8006555723437614,0.7437757588290663,0.4259477206478918,0.0,True,True,23.846425437360224,False,441.79999999999876,457.1999999999979,6.661338147750939e-16,0.0,0.0,"[[""L"",78],[""H"",44],[""L"",78],[""H"",46],[""L"",78],[""H"",45],[""L"",155],[""H"",45],[""L"",79],[""H"",46],[""L"",80],[""H"",44],[""L"",80]]",EX_N3_L79_H45_C156,independent_layer_1nm,independent_layer_1nm_EX_N3_L79_H45_C156_0022,22,True,True,True,1,"[-1,-1,-1,1,-1,0,-1,0,0,1,1,-1,1]"
