candidate_id,scan_mode,spectral_peak_nm,spectral_FWHM_nm,T450,max_transmission_angle_450_deg,strict_normal,near_normal,angular_FWHM_450_deg,spectral_target_pass,angular_target_pass,combined_pass,count,spectral_peak_nm_mean,spectral_peak_nm_std,spectral_peak_nm_min,spectral_peak_nm_max,spectral_peak_nm_valid_count,spectral_FWHM_nm_mean,spectral_FWHM_nm_std,spectral_FWHM_nm_min,spectral_FWHM_nm_max,spectral_FWHM_nm_valid_count,T450_mean,T450_std,T450_min,T450_max,T450_valid_count,max_transmission_angle_450_deg_mean,max_transmission_angle_450_deg_std,max_transmission_angle_450_deg_min,max_transmission_angle_450_deg_max,max_transmission_angle_450_deg_valid_count,angular_FWHM_450_deg_mean,angular_FWHM_450_deg_std,angular_FWHM_450_deg_min,angular_FWHM_450_deg_max,angular_FWHM_450_deg_valid_count,strict_normal_rate,near_normal_rate,spectral_target_pass_rate,angular_target_pass_rate,combined_pass_rate,worst_passing_case,first_failing_case,worst_case_layer_sequence
EX_N3_L79_H45_C156,nominal,450.1599999999938,7.53737877707249,0.8278414914430887,-3.0,False,True,26.509348207112062,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZL1_N3_M3_L78_H46,nominal,450.2999999999938,3.3664630286809256,0.9604979466108747,-3.0,False,True,17.726413267750956,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_N3_L79_H45_C156,design_basin,,,,,,,,,,,1331,450.2146356123152,11.1635331683608,424.0599999999963,476.9199999999923,1331,7.586849051517104,0.6006307376081287,6.130005778263467,8.89178594851876,1328,0.2445095500529609,0.2391354244801594,0.022704538948634327,0.8424182399245792,1331,-14.9519158527423,17.42777136028752,-60.0,0.0,1331,20.162012394485547,10.440404154349213,6.412849491151853,40.02413367465966,1216,0.410969196093163,0.42824943651389935,0.12396694214876033,0.38016528925619836,0.07588279489105935,design_basin_EX_N3_L79_H45_C156_0339,design_basin_EX_N3_L79_H45_C156_0000,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",151],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]"
ZL1_N3_M3_L78_H46,design_basin,,,,,,,,,,,121,450.38909090908476,14.346661085335931,420.0,479.99999999999204,121,3.4208723025439634,0.31685373753059587,2.7037886853560167,4.016034899841259,118,0.11911081788425715,0.22212569876707305,0.004760618863535776,0.9873670347890373,121,-28.181818181818183,22.775585013941413,-60.0,0.0,121,9.07394352711011,7.465704260541761,2.5707944176231052,27.12670382079696,85,0.19008264462809918,0.21487603305785125,0.06611570247933884,0.21487603305785125,0.05785123966942149,design_basin_ZL1_N3_M3_L78_H46_1401,design_basin_ZL1_N3_M3_L78_H46_1331,"[[""H"",41],[""L"",73],[""H"",41],[""L"",73],[""H"",41],[""L"",292],[""H"",41],[""L"",73],[""H"",41],[""L"",73],[""H"",41],[""L"",73]]"
EX_N3_L79_H45_C156,correlated_bias,,,,,,,,,,,1331,450.2146356123152,11.1635331683608,424.0599999999963,476.9199999999923,1331,7.586849051517104,0.6006307376081287,6.130005778263467,8.89178594851876,1328,0.2445095500529609,0.2391354244801594,0.022704538948634327,0.8424182399245792,1331,-14.9519158527423,17.42777136028752,-60.0,0.0,1331,20.162012394485547,10.440404154349213,6.412849491151853,40.02413367465966,1216,0.410969196093163,0.42824943651389935,0.12396694214876033,0.38016528925619836,0.07588279489105935,correlated_bias_EX_N3_L79_H45_C156_0339,correlated_bias_EX_N3_L79_H45_C156_0000,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",151],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]"
ZL1_N3_M3_L78_H46,correlated_bias,,,,,,,,,,,1331,450.3617580766279,7.984676848641304,431.5999999999948,469.49999999999255,1331,3.4295367907173917,0.2421246113187528,2.950914836283573,4.076017415887861,1331,0.19429843186872073,0.2589626610799468,0.011322367386591444,0.9934161110049884,1331,-19.9526671675432,21.53884576313412,-60.0,0.0,1331,10.7068373555492,6.820483289229039,3.4147537824305907,23.77319714846159,1064,0.290007513148009,0.3178061607813674,0.10894064613072878,0.3178061607813674,0.08564988730277986,correlated_bias_ZL1_N3_M3_L78_H46_1680,correlated_bias_ZL1_N3_M3_L78_H46_1331,"[[""H"",41],[""L"",73],[""H"",41],[""L"",73],[""H"",41],[""L"",307],[""H"",41],[""L"",73],[""H"",41],[""L"",73],[""H"",41],[""L"",73]]"
EX_N3_L79_H45_C156,independent_layer_1nm,,,,,,,,,,,300,450.0346666666604,1.7798137230869242,445.53999999999405,454.13999999999356,300,7.541642867755862,0.08805547987977609,7.294425632832656,7.740391228959311,300,0.7072910480595557,0.12588070472228563,0.3427876300693731,0.8330129542701634,300,-3.7733333333333334,4.303714158207485,-14.0,0.0,300,26.677309008259307,4.233874228394056,15.022852700413898,36.779969795182346,300,0.5033333333333333,0.63,0.7633333333333333,0.63,0.5,independent_layer_1nm_EX_N3_L79_H45_C156_0087,independent_layer_1nm_EX_N3_L79_H45_C156_0002,"[[""L"",78],[""H"",45],[""L"",78],[""H"",45],[""L"",78],[""H"",44],[""L"",155],[""H"",44],[""L"",78],[""H"",44],[""L"",80],[""H"",44],[""L"",80]]"
EX_N3_L79_H45_C156,independent_layer_3nm,,,,,,,,,,,300,450.44853333332713,4.557055099756845,440.1199999999944,460.8599999999931,300,7.608630187375814,0.23077016185656923,7.033533373394562,8.114603656258339,300,0.47957122818185344,0.2342230720532938,0.09185870641260191,0.836553342849143,300,-6.64,7.01311153007945,-22.0,0.0,300,23.019449189948265,7.683889779991889,8.177340237778726,37.12966501719671,300,0.44333333333333336,0.5066666666666667,0.35,0.5066666666666667,0.19333333333333333,independent_layer_3nm_EX_N3_L79_H45_C156_0299,independent_layer_3nm_EX_N3_L79_H45_C156_0000,"[[""L"",82],[""H"",44],[""L"",82],[""H"",46],[""L"",81],[""H"",48],[""L"",159],[""H"",48],[""L"",79],[""H"",42],[""L"",79],[""H"",45],[""L"",82]]"
EX_N3_L79_H45_C156,independent_layer_5nm,,,,,,,,,,,300,449.65146666666044,6.699491860000815,431.5799999999948,466.9799999999928,300,7.67190622788472,0.3499391785913454,6.452537193673095,8.525264706736777,300,0.4077057043984783,0.2634593336805907,0.03670666722417201,0.8629100685519249,300,-7.1433333333333335,9.17112073606904,-60.0,0.0,300,23.30527951289798,8.594280068933609,6.731934766875806,39.77629452281902,298,0.5066666666666667,0.5433333333333333,0.29,0.52,0.16333333333333333,independent_layer_5nm_EX_N3_L79_H45_C156_0095,independent_layer_5nm_EX_N3_L79_H45_C156_0001,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",42],[""L"",152],[""H"",40],[""L"",81],[""H"",42],[""L"",81],[""H"",40],[""L"",81]]"
ZL1_N3_M3_L78_H46,independent_layer_1nm,,,,,,,,,,,300,450.2832666666604,1.2566394320655594,447.35999999999393,453.21999999999355,300,3.3741894515578226,0.03119492927735292,3.300256986744614,3.464019681173397,300,0.7083349250452863,0.21308045741684595,0.21987155133694328,0.9939878117530505,300,-3.776666666666667,3.5261105421633556,-11.0,0.0,300,16.23542867905533,4.228051816595765,6.346141336110406,23.10798297300061,300,0.4,0.6233333333333333,0.6733333333333333,0.6233333333333333,0.49666666666666665,independent_layer_1nm_ZL1_N3_M3_L78_H46_0058,independent_layer_1nm_ZL1_N3_M3_L78_H46_0001,"[[""H"",47],[""L"",79],[""H"",47],[""L"",79],[""H"",47],[""L"",312],[""H"",47],[""L"",79],[""H"",47],[""L"",79],[""H"",46],[""L"",79]]"
ZL1_N3_M3_L78_H46,independent_layer_3nm,,,,,,,,,,,300,450.25646666666046,3.1316976517890556,442.1999999999942,459.2199999999932,300,3.411826593866224,0.07603482706680996,3.192512427552117,3.5964771795345314,300,0.458741199864193,0.31404516986551656,0.035568750072171126,0.9973058645286406,300,-4.963333333333333,5.460340852201648,-19.0,0.0,300,13.720439620006164,5.482052385918235,3.7815803783394593,23.70928213975645,300,0.46,0.5833333333333334,0.3466666666666667,0.5833333333333334,0.27,independent_layer_3nm_ZL1_N3_M3_L78_H46_0115,independent_layer_3nm_ZL1_N3_M3_L78_H46_0001,"[[""H"",46],[""L"",76],[""H"",47],[""L"",81],[""H"",49],[""L"",314],[""H"",49],[""L"",80],[""H"",49],[""L"",80],[""H"",46],[""L"",81]]"
