spectral_peak_nm,spectral_FWHM_nm,T450,T448,T453,max_transmission_angle_450_deg,strict_normal,near_normal,angular_FWHM_450_deg,spectral_boundary_clipped,stopband_left_nm,stopband_right_nm,energy_residual_max,angle_symmetry_error_max,secondary_peak_ratio,sequence_json,candidate_id,scan_mode,sample_id,sample_index,spectral_target_pass,angular_target_pass,combined_pass
424.0599999999963,6.130005778263467,0.022704538948634327,0.024868289992618628,0.020289502121460773,-60.0,False,False,,False,420.0,430.7999999999994,7.771561172376096e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",151],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0000,0,False,False,False
425.21999999999514,6.196267791544244,0.024621200072476097,0.0271794218556224,0.021786723710257368,-60.0,False,False,,False,420.0,431.9999999999993,6.661338147750939e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",152],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0001,1,False,False,False
426.3599999999951,6.2678070806381925,0.026809928575110054,0.029848344124857047,0.023472918652906766,-60.0,False,False,,False,420.4,433.19999999999925,6.661338147750939e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",153],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0002,2,False,False,False
427.4999999999951,6.341316041591426,0.029323840403834702,0.03295155519986,0.025380677327672338,-60.0,False,False,,False,421.3999999999999,434.3999999999992,1.5543122344752192e-15,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",154],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0003,3,False,False,False
428.6599999999949,6.416677116445101,0.03222950697788404,0.036586820892148486,0.027549864190751262,-60.0,False,False,,False,422.59999999999985,435.7999999999991,1.3322676295501878e-15,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",155],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0004,4,False,False,False
429.8199999999949,6.493965980140445,0.03561119260832822,0.040880539657032394,0.03002962976702247,-60.0,False,False,,False,423.5999999999998,436.99999999999903,8.881784197001252e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",156],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0005,5,False,False,False
430.95999999999486,6.569690240739135,0.039576702355945764,0.04599818893163908,0.032881092768550654,-60.0,False,False,,False,424.7999999999997,438.19999999999897,9.992007221626409e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",157],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0006,6,False,False,False
432.11999999999483,6.640577684832635,0.04426556143351716,0.0521593694472596,0.03618095513370935,-60.0,False,False,,False,425.79999999999967,439.3999999999989,1.3322676295501878e-15,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",158],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0007,7,False,False,False
433.25999999999465,6.719570213854638,0.049860619317716445,0.05965982013059351,0.04002643181835781,-60.0,False,False,,False,426.7999999999996,440.59999999999883,6.661338147750939e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",159],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0008,8,False,False,False
434.39999999999463,6.800486369119653,0.056604759505318056,0.06890416596788448,0.04454205734317019,-60.0,False,False,,False,427.99999999999955,441.99999999999875,8.881784197001252e-16,0.0,0.0,"[[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",160],[""H"",40],[""L"",74],[""H"",40],[""L"",74],[""H"",40],[""L"",74]]",EX_N3_L79_H45_C156,design_basin,design_basin_EX_N3_L79_H45_C156_0009,9,False,False,False
