fold,held_out_geometry,train_rows,test_rows
0,K6X_D100_D105_D110_D115_D190_D230,418,22
1,K6X_D100_D105_D115_D120_D125_D130,418,22
2,K6X_D100_D105_D115_D165_D225_D230,418,22
3,K6X_D100_D110_D115_D220_D225_D230,418,22
4,K6X_D100_D115_D130_D145_D155_D185,418,22
5,K6X_D100_D130_D135_D155_D160_D225,418,22
6,K6X_D100_D140_D145_D155_D225_D230,418,22
7,K6X_D100_D200_D205_D210_D215_D220,418,22
8,K6X_D105_D120_D125_D130_D165_D190,418,22
9,K6X_D110_D125_D135_D150_D175_D190,418,22
10,K6X_D110_D125_D135_D150_D175_D195,418,22
11,K6X_D110_D190_D210_D215_D220_D225,418,22
12,K6X_D120_D125_D180_D185_D190_D195,418,22
13,K6X_D120_D145_D200_D215_D220_D230,418,22
14,K6X_D125_D135_D150_D175_D190_D210,418,22
15,K6X_D130_D145_D155_D180_D195_D230,418,22
16,K6X_D135_D155_D190_D220_D225_D230,418,22
17,K6X_D140_D160_D165_D170_D180_D190,418,22
18,K6X_D150_D205_D215_D220_D225_D230,418,22
19,K6X_D200_D205_D215_D220_D225_D230,418,22
