model,geometry_id,wavelength_nm,true_delta_eta_plus1,pred_delta_eta_plus1,contrast_abs_error,true_delta_T,pred_delta_T
LF_only,K6X_D100_D110_D115_D220_D225_D230,454,0.0167949318539,0.0,0.0167949318539,0.014390947888489825,0.0
LF_only,K6X_D100_D110_D115_D220_D225_D230,455,0.018829220182799998,0.0,0.018829220182799998,0.0008445768193900971,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,445,-0.011188844990000057,0.0,0.011188844990000057,0.014217414267670092,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,446,-0.03014639113000006,0.0,0.03014639113000006,-0.0035871034069999697,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,447,-0.07706040698399996,0.0,0.07706040698399996,-0.03663123450640016,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,448,-0.235939379053,0.0,0.235939379053,-0.1326217162248,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,449,-0.07207590797699992,0.0,0.07207590797699992,-0.04163956084658782,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,450,-0.036619354308999985,0.0,0.036619354308999985,-0.027232914101090078,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,451,-0.02598189155399999,0.0,0.02598189155399999,-0.031181686186440016,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,452,-0.018926647232000104,0.0,0.018926647232000104,-0.04172604899303012,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,453,-0.012677232390999937,0.0,0.012677232390999937,-0.05523575781298995,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,454,-0.008914920594999987,0.0,0.008914920594999987,-0.07135234939973989,0.0
LF_only,K6X_D100_D130_D135_D155_D160_D225,455,-0.008714737723999999,0.0,0.008714737723999999,-0.08932551794079002,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,445,-0.0016850975300000126,0.0,0.0016850975300000126,-0.010867716562119933,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,446,-0.0018718825769999947,0.0,0.0018718825769999947,-0.011154830745229827,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,447,-0.0020360951610000066,0.0,0.0020360951610000066,-0.01224542147719021,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,448,-0.0019030725999999998,0.0,0.0019030725999999998,-0.012818763607870043,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,449,-0.0019115757889999752,0.0,0.0019115757889999752,-0.01271517280995993,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,450,-0.0020671192649999726,0.0,0.0020671192649999726,-0.013339123140110098,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,451,-0.002000505396999974,0.0,0.002000505396999974,-0.014109925547859947,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,452,-0.0019332358820000062,0.0,0.0019332358820000062,-0.01413837654431005,0.0
LF_only,K6X_D100_D105_D115_D120_D125_D130,453,-0.0020856345289999856,0.0,0.0020856345289999856,-0.014494360630020076,0.0
