geometry_id,polarization,order_n,mean_hf_minus_lf,mae_hf_minus_lf,max_abs_hf_minus_lf
K6X_D100_D105_D110_D115_D190_D230,p,-3,-0.06854170278871287,0.06854170278871287,0.08639718807753768
K6X_D100_D105_D110_D115_D190_D230,p,-2,-0.035160190087762104,0.035160190087762104,0.049369567292379214
K6X_D100_D105_D110_D115_D190_D230,p,-1,-0.0033462073001751737,0.0033462073001751737,0.006161280799870249
K6X_D100_D105_D110_D115_D190_D230,p,0,-0.0021318199918364407,0.03895905557215487,0.18592891145128693
K6X_D100_D105_D110_D115_D190_D230,p,1,0.024698710038479232,0.024698710038479232,0.07459590951489244
K6X_D100_D105_D110_D115_D190_D230,p,2,-0.02954837569495254,0.02954837569495254,0.04324443060285489
K6X_D100_D105_D110_D115_D190_D230,p,3,-0.04604967624748866,0.04604967624748866,0.07159563352871659
K6X_D100_D105_D110_D115_D190_D230,s,-3,-0.04964266626948206,0.04964266626948206,0.07092053988165846
K6X_D100_D105_D110_D115_D190_D230,s,-2,-0.007064517038385146,0.013869057037295135,0.04133781552200461
K6X_D100_D105_D110_D115_D190_D230,s,-1,0.003996778930309548,0.003996778930309548,0.00555533050591182
K6X_D100_D105_D110_D115_D190_D230,s,0,-0.02652921625346308,0.02652921625346308,0.04339463816317923
K6X_D100_D105_D110_D115_D190_D230,s,1,0.03437770337220635,0.03437770337220635,0.040751434751271305
K6X_D100_D105_D110_D115_D190_D230,s,2,-0.02317325177402637,0.02317325177402637,0.03025649873219855
K6X_D100_D105_D110_D115_D190_D230,s,3,-0.022030783066916085,0.022030783066916085,0.03279162891814917
K6X_D100_D105_D115_D120_D125_D130,p,-3,-0.004672467038951869,0.004672467038951869,0.00576022963138932
K6X_D100_D105_D115_D120_D125_D130,p,-2,-0.008897922966993396,0.008897922966993396,0.009248269132333519
K6X_D100_D105_D115_D120_D125_D130,p,-1,-0.009558452405461819,0.009558452405461819,0.0105094247827405
K6X_D100_D105_D115_D120_D125_D130,p,0,-0.03329818948824145,0.03329818948824145,0.0355692111239192
K6X_D100_D105_D115_D120_D125_D130,p,1,0.029663173650442062,0.029663173650442062,0.03397084515831117
K6X_D100_D105_D115_D120_D125_D130,p,2,-0.0058345238517619295,0.0058345238517619295,0.008463747165154217
K6X_D100_D105_D115_D120_D125_D130,p,3,-0.009284371640366414,0.009284371640366414,0.010731727439309318
K6X_D100_D105_D115_D120_D125_D130,s,-3,-0.00673256258287914,0.00673256258287914,0.008754351390189319
K6X_D100_D105_D115_D120_D125_D130,s,-2,-0.004013949459502487,0.004013949459502487,0.005938880391233522
K6X_D100_D105_D115_D120_D125_D130,s,-1,-0.01200826636217091,0.01200826636217091,0.013394779310550962
K6X_D100_D105_D115_D120_D125_D130,s,0,-0.03461030948951418,0.03461030948951418,0.03619041582006499
K6X_D100_D105_D115_D120_D125_D130,s,1,0.03164004377144205,0.03164004377144205,0.03565594268831118
K6X_D100_D105_D115_D120_D125_D130,s,2,0.00886505473123807,0.00886505473123807,0.009333113931513273
K6X_D100_D105_D115_D120_D125_D130,s,3,-0.011648882591149141,0.011648882591149141,0.012968070572289318
K6X_D100_D105_D115_D165_D225_D230,p,-3,-0.03927312561534188,0.04010792357048393,0.06788056239889842
K6X_D100_D105_D115_D165_D225_D230,p,-2,0.015337842150716475,0.016105722530174768,0.04791465913686854
K6X_D100_D105_D115_D165_D225_D230,p,-1,-0.02531402756800682,0.033347962212984375,0.07331465395662451
K6X_D100_D105_D115_D165_D225_D230,p,0,-0.032880139296390096,0.13549778544100397,0.2745876408252113
K6X_D100_D105_D115_D165_D225_D230,p,1,0.0037061936992894796,0.015088396925769642,0.03872400085557659
K6X_D100_D105_D115_D165_D225_D230,p,2,-0.05356609650026149,0.056429881771976935,0.11352082875722286
K6X_D100_D105_D115_D165_D225_D230,p,3,-0.03291883883284047,0.03443471014465618,0.061059609100940236
K6X_D100_D105_D115_D165_D225_D230,s,-3,-0.04804586526790631,0.04804586526790631,0.09037853164328363
K6X_D100_D105_D115_D165_D225_D230,s,-2,-0.008385723452870732,0.015378787953825085,0.035643600679692605
K6X_D100_D105_D115_D165_D225_D230,s,-1,-0.038441302860645336,0.05203955080416096,0.10900088205679025
K6X_D100_D105_D115_D165_D225_D230,s,0,-0.05696828562036973,0.1791572318670222,0.326484879486673
K6X_D100_D105_D115_D165_D225_D230,s,1,-0.012099009047528047,0.022890003379692637,0.037527061569928855
K6X_D100_D105_D115_D165_D225_D230,s,2,-0.07364805928435438,0.07364805928435438,0.13108749038587186
K6X_D100_D105_D115_D165_D225_D230,s,3,-0.010549164967397825,0.04105299515687784,0.08055115664418158
K6X_D100_D110_D115_D220_D225_D230,p,-3,0.005021345671120806,0.010476189603082203,0.022967090322616082
K6X_D100_D110_D115_D220_D225_D230,p,-2,-0.019511059236364817,0.02056245216687549,0.033440563804813556
K6X_D100_D110_D115_D220_D225_D230,p,-1,-0.0021600337301327984,0.004075015225071903,0.009464629988646892
K6X_D100_D110_D115_D220_D225_D230,p,0,-0.1499256168599445,0.1499256168599445,0.23964573244050857
K6X_D100_D110_D115_D220_D225_D230,p,1,0.008885687933376808,0.025113385592848748,0.04611249156255923
K6X_D100_D110_D115_D220_D225_D230,p,2,-0.03992131128620586,0.03992131128620586,0.07101713908407432
K6X_D100_D110_D115_D220_D225_D230,p,3,-0.002299102645511831,0.006385227885249519,0.01793424881630009
K6X_D100_D110_D115_D220_D225_D230,s,-3,-0.0005573890992301036,0.011877600238781984,0.020857306237647793
K6X_D100_D110_D115_D220_D225_D230,s,-2,-0.01897924226055854,0.024468905995992715,0.036102287105950405
K6X_D100_D110_D115_D220_D225_D230,s,-1,-0.0018911826476873444,0.004806362101543439,0.009663028399223807
K6X_D100_D110_D115_D220_D225_D230,s,0,-0.0875176428122172,0.0875176428122172,0.13280293962056444
