model,geometry_id,M7_order_profile_mae,M8_order_profile_mae,delta_order,M7_eta_plus1_mae,M8_eta_plus1_mae,delta_eta_plus1,M7_R_mae,M8_R_mae,delta_R,M7_T_mae,M8_T_mae,delta_T,M7_PS_contrast_mae,M8_PS_contrast_mae,delta_PS_contrast
LF_affine,K6X_D100_D105_D115_D120_D125_D130,0.03183236020303047,0.03154800655413912,-0.00028435364889135145,0.11074646974943668,0.11899312582183126,0.008246656072394581,0.19571937499796022,0.18850122246631215,-0.007218152531648064,0.1893461475773967,0.1834951648647271,-0.005850982712669595,0.024596028703410457,0.0416953458199743,0.01709931711656384
LF_affine,K6X_D100_D110_D115_D220_D225_D230,0.0353820095986976,0.037247066727630576,0.0018650571289329787,0.08042100559088271,0.08906668092852142,0.008645675337638714,0.03786409067278694,0.03413880900835518,-0.0037252816644317635,0.031152336012020613,0.02877749386578804,-0.002374842146232573,0.041675499717397264,0.05780616040313669,0.01613066068573943
LF_affine,K6X_D100_D115_D130_D145_D155_D185,0.036975934203775034,0.03323260444774388,-0.003743329756031151,0.08119058873749405,0.07207143226693727,-0.009119156470556777,0.11605192570144528,0.11054252447984214,-0.005509401221603136,0.11083952158535061,0.1064466881144409,-0.004392833470909713,0.11881709517483084,0.10683568537587883,-0.011981409798952014
LF_affine,K6X_D100_D130_D135_D155_D160_D225,0.04557860237299856,0.04192683564302499,-0.0036517667299735684,0.10680859580110677,0.09569937307673136,-0.011109222724375409,0.06659564732882693,0.061682209909186804,-0.004913437419640128,0.0614651610624644,0.05765450758761539,-0.0038106534748490115,0.0358143957361595,0.03981002647271436,0.003995630736554859
LF_affine,K6X_D100_D140_D145_D155_D225_D230,0.04499741549681511,0.044956259401072944,-4.115609574216472e-05,0.09705404794870112,0.10394036742115181,0.0068863194724506915,0.07365203996029314,0.0719891848438094,-0.001662855116483744,0.06732641822609757,0.06700639495919923,-0.0003200232668983394,0.1929972228539517,0.20788073484230357,0.01488351198835186
LF_affine,K6X_D100_D200_D205_D210_D215_D220,0.0541063697066328,0.055781818941305135,0.0016754492346723326,0.03950264504789903,0.04740293699627143,0.007900291948372405,0.17062658488070814,0.17095018934483988,0.00032360446413173816,0.17783938435455734,0.17667872310342328,-0.0011606612511340653,0.009906284195050484,0.0218833284042944,0.011977044209243917
LF_affine,K6X_D105_D120_D125_D130_D165_D190,0.03654946763026694,0.03554174322657525,-0.0010077244036916858,0.05414855077182071,0.0541942702961623,4.57195243415906e-05,0.13094127446927672,0.12457546536563768,-0.006365809103639042,0.12428843153765837,0.11929347140445871,-0.004994960133199652,0.026985015339372313,0.020001223474870364,-0.006983791864501949
LF_affine,K6X_D110_D125_D135_D150_D175_D190,0.04584783213577387,0.04209630535353526,-0.0037515267822386122,0.12270434278754737,0.11239595112920665,-0.010308391658340715,0.1119392927731636,0.10774538068017571,-0.004193912092987889,0.1088559631038097,0.10531054624994761,-0.003545416853862088,0.15305691043112918,0.14086832945275132,-0.012188580978377855
LF_affine,K6X_D110_D190_D210_D215_D220_D225,0.055927856870856815,0.05815133783106815,0.002223480960211334,0.07865786411195143,0.08732673867957613,0.008668874567624704,0.13745663453687526,0.14029089220622282,0.0028342576693475563,0.14406552013405674,0.14552950721894442,0.0014639870848876801,0.018327470526016302,0.03550926866907185,0.017181798143055548
LF_affine,K6X_D120_D125_D180_D185_D190_D195,0.028782980339992235,0.025968854333011805,-0.0028141260069804303,0.07758835160482361,0.06785597773595566,-0.009732373868867952,0.060992013890397816,0.058111092915684635,-0.0028809209747131803,0.06153440502249221,0.058896594898521636,-0.0026378101239705742,0.15517670320964722,0.1357119554719113,-0.019464747737735905
LF_affine,K6X_D120_D145_D200_D215_D220_D230,0.067972696907868,0.06849572416934427,0.0005230272614762665,0.08520934790592893,0.08816479607866422,0.002955448172735284,0.13944246272558056,0.14172082983412185,0.0022783671085412904,0.14594043561770803,0.14693374289350472,0.0009933072757966899,0.10018177960020035,0.0930971705317588,-0.00708460906844155
LF_affine,K6X_D125_D135_D150_D175_D190_D210,0.04831698808361618,0.04430667179383462,-0.00401031628978156,0.14205581569373862,0.13048281376024956,-0.011573001933489063,0.057498194630956075,0.05209874184097915,-0.005399452789976923,0.05095354609341962,0.047226282334954274,-0.0037272637584653476,0.06451386962504123,0.05959881433521419,-0.004915055289827039
LF_affine,K6X_D130_D145_D155_D180_D195_D230,0.038225588540245964,0.036365422387775174,-0.0018601661524707894,0.09634533870798757,0.09876630435851087,0.002420965650523299,0.04526350130306972,0.0442023832837312,-0.0010611180193385167,0.045845680939324236,0.04481060777796354,-0.001035073161360693,0.157582975770591,0.17293246468205734,0.015349488911466341
LF_affine,K6X_D140_D160_D165_D170_D180_D190,0.06911206378734033,0.06975149480246612,0.0006394310151257854,0.12411853679919192,0.1294810988998439,0.005362562100651988,0.09257502195222167,0.09536085396933998,0.0027858320171183087,0.09799671897943639,0.09984816647390456,0.001851447494468167,0.2154698163793497,0.22748418346769306,0.012014367088343358
LF_affine,K6X_D150_D205_D215_D220_D225_D230,0.07790560509704873,0.0777045808555596,-0.00020102424148912834,0.0648530859479485,0.07162658167920362,0.006773495731255116,0.15726833956119435,0.15960592578069932,0.0023375862195049724,0.16346320174316642,0.16467195617530264,0.001208754432136222,0.08184415032921684,0.06728404507077837,-0.014560105258438469
LF_affine,K6X_D200_D205_D215_D220_D225_D230,0.06191231973644528,0.0632261419301289,0.001313822193683624,0.08931122108824337,0.09783991990617999,0.008528698817936622,0.1080665096653066,0.10912344476007257,0.0010569350947659678,0.10861332467641485,0.10956351854802172,0.000950193871606872,0.016371308760849617,0.01651235087214102,0.00014104211129140412
LF_global_bias,K6X_D100_D105_D115_D120_D125_D130,0.028913365374881195,0.02839771947386577,-0.0005156459010154241,0.11074646974943671,0.11899312582183126,0.008246656072394554,0.19571937499796022,0.18850122246631218,-0.007218152531648037,0.18934614757739662,0.18349516486472703,-0.005850982712669595,0.001976870120999992,0.001976870120999992,0.0
LF_global_bias,K6X_D100_D110_D115_D220_D225_D230,0.032631587430554033,0.03506539908996769,0.0024338116594136566,0.08042100559088272,0.08906668092852144,0.008645675337638714,0.03637973053873923,0.03223327595808811,-0.004146454580651125,0.0316758865784677,0.02894420058841726,-0.0027316859900504385,0.025559396291187274,0.025559396291187274,0.0
LF_global_bias,K6X_D100_D115_D130_D145_D155_D185,0.03678794596252429,0.034152068657824865,-0.002635877304699427,0.08360621896735068,0.0797091290476239,-0.003897089919726787,0.1183887667716566,0.11281789225021473,-0.005570874521441879,0.11257148277070077,0.1082488896265583,-0.004322593144142461,0.13050199728518183,0.13050199728518183,0.0
LF_global_bias,K6X_D100_D130_D135_D155_D160_D225,0.04562886221656465,0.04216167078228547,-0.0034671914342791765,0.10680859580110681,0.0956993730767314,-0.011109222724375409,0.06883238730510205,0.06384233211442508,-0.0049900551906769675,0.06305694481223273,0.059310236520374815,-0.003746708291857914,0.04893142853990909,0.04893142853990909,0.0
LF_global_bias,K6X_D100_D140_D145_D155_D225_D230,0.042360659942650654,0.04024722653440351,-0.0021134334082471423,0.08212984242371879,0.07933980031027492,-0.002790042113443872,0.04136779558645316,0.04136779558645316,0.0,0.041213804480230425,0.041213804480230425,0.0,0.15589924954463638,0.15589924954463638,0.0
LF_global_bias,K6X_D100_D200_D205_D210_D215_D220,0.049883247739550836,0.051605568970105674,0.001722321230554838,0.03824692472860874,0.045876669260389906,0.0076297445317811685,0.179945577477826,0.1810672127339062,0.0011216352560801945,0.182630544138766,0.18325462051086863,0.0006240763721026277,0.020798286677152732,0.020798286677152732,0.0
