geometry_id,polarization,wavelength_nm,eta_plus1_disagreement,order_profile_disagreement,ensemble_eta_plus1_abs_error,ensemble_order_profile_abs_error,ensemble_R_abs_error
K6X_D200_D205_D215_D220_D225_D230,p,445,0.10346082343894211,0.015262253744252344,0.050481487427423366,0.04767024507013169,0.09785943086932569
K6X_D200_D205_D215_D220_D225_D230,p,446,0.09099402357592265,0.014247948776722735,0.05379391581917903,0.06256952810620567,0.09348083573060402
K6X_D200_D205_D215_D220_D225_D230,p,447,0.07669530956562243,0.01667946712164725,0.0529653310441697,0.048108179169553664,0.0866574250204747
K6X_D200_D205_D215_D220_D225_D230,p,448,0.10961583350761343,0.023574633510808105,0.03306937537016579,0.017795044629535895,0.06447652878057956
K6X_D200_D205_D215_D220_D225_D230,p,449,0.11274961755885582,0.02365753819298005,0.03438893851619104,0.018679158614356726,0.06455981699711921
K6X_D200_D205_D215_D220_D225_D230,p,450,0.11262160791745704,0.021040578084651967,0.023065035002129364,0.014959109152397204,0.06755219742628624
K6X_D200_D205_D215_D220_D225_D230,p,451,0.11225935705787349,0.022488027618765293,0.019174913495381085,0.016102674353645544,0.0647807339767852
K6X_D200_D205_D215_D220_D225_D230,p,452,0.11146393221416093,0.02363623475777557,0.04649192954605757,0.0799010403513823,0.3186762358955165
K6X_D200_D205_D215_D220_D225_D230,p,453,0.113575114659708,0.018820583657017307,0.02782137583608707,0.03975533738474256,0.06847184050904394
K6X_D200_D205_D215_D220_D225_D230,p,454,0.11160927508236182,0.016397766339381465,0.04157449074013343,0.0517098302251164,0.08440106885952134
K6X_D200_D205_D215_D220_D225_D230,p,455,0.06644970819173995,0.021348473671119677,0.03115089223519379,0.06717408155398376,0.0885315036347652
K6X_D200_D205_D215_D220_D225_D230,s,445,0.052364360823364355,0.010946824545064748,0.01820755775923524,0.029142341073949564,0.06583944110862348
K6X_D200_D205_D215_D220_D225_D230,s,446,0.04943873365985077,0.012527108522714622,0.00690294600731556,0.04225982717649005,0.07847890423996862
K6X_D200_D205_D215_D220_D225_D230,s,447,0.03933483550068528,0.01214865242812341,0.017608226902478367,0.046119319316362505,0.10559816216671108
K6X_D200_D205_D215_D220_D225_D230,s,448,0.05425309392255861,0.01650829654604235,0.04655288957812888,0.031075005380170585,0.09056898580629277
K6X_D200_D205_D215_D220_D225_D230,s,449,0.05579483081739282,0.016550516535975498,0.05367135110460662,0.032154975133348127,0.09219041989142415
K6X_D200_D205_D215_D220_D225_D230,s,450,0.05569389268366103,0.016125816763544982,0.062111523480837275,0.0340333276303864,0.097502723383072
K6X_D200_D205_D215_D220_D225_D230,s,451,0.056020081528234573,0.015580083925363211,0.07295586631878229,0.034184398645012985,0.0885712850504159
K6X_D200_D205_D215_D220_D225_D230,s,452,0.056996666278247066,0.01956266316861322,0.08040603544026927,0.03238974395282864,0.07766498123315874
K6X_D200_D205_D215_D220_D225_D230,s,453,0.05866661578413036,0.03015695604651041,0.04601619925175042,0.08720474590237173,0.43638779201675315
K6X_D200_D205_D215_D220_D225_D230,s,454,0.06097547109821213,0.02259493649616391,0.020342029963024182,0.052699458942734055,0.29149484926009284
K6X_D200_D205_D215_D220_D225_D230,s,455,0.08017542311226623,0.020803790176964827,0.08041398131460772,0.030132988095297443,0.0997013599286753
K6X_D100_D140_D145_D155_D225_D230,p,445,0.10030920808310127,0.04583202002402339,0.1227150264603685,0.07093238234439359,0.048620958774886563
K6X_D100_D140_D145_D155_D225_D230,p,446,0.10693181281776853,0.0457690502166024,0.12189081248440564,0.06937478757045093,0.05229324876483395
K6X_D100_D140_D145_D155_D225_D230,p,447,0.11342852975527896,0.045529151550683135,0.1231608798564518,0.06760023978425887,0.054758737457164516
K6X_D100_D140_D145_D155_D225_D230,p,448,0.11999572975362846,0.04522139721742242,0.1371142958658822,0.06652132163143114,0.05595943490865902
K6X_D100_D140_D145_D155_D225_D230,p,449,0.12695689259630857,0.04583898285803066,0.12017144241065142,0.06873835345529453,0.07107311474508846
K6X_D100_D140_D145_D155_D225_D230,p,450,0.13464144255298793,0.04518549654975175,0.10324745828628884,0.06369564819022135,0.06585036816135859
K6X_D100_D140_D145_D155_D225_D230,p,451,0.143516120362511,0.04462376078356274,0.09700827730944656,0.0632818512455631,0.06410642414276202
K6X_D100_D140_D145_D155_D225_D230,p,452,0.1501589947867744,0.04414658981343757,0.09279430074032052,0.06428392020963723,0.06226848550391345
K6X_D100_D140_D145_D155_D225_D230,p,453,0.13522243688730756,0.03752206104076863,0.13081163157228415,0.06443652897703654,0.0644493276887799
K6X_D100_D140_D145_D155_D225_D230,p,454,0.12272394062171497,0.03515452006371076,0.16830119238317492,0.06194729967068984,0.0650511210048342
K6X_D100_D140_D145_D155_D225_D230,p,455,0.1314725857501559,0.03342749553086083,0.1670555677595938,0.06020264209211214,0.055433291691560554
K6X_D100_D140_D145_D155_D225_D230,s,445,0.11899227599468411,0.04315005224127372,0.02665432768805212,0.07788693915635903,0.049487594994457054
K6X_D100_D140_D145_D155_D225_D230,s,446,0.12692364874349088,0.043715315997623225,0.017180449118010366,0.07188251747117683,0.05140021716730059
K6X_D100_D140_D145_D155_D225_D230,s,447,0.1346755879501119,0.0441297846617255,0.009729993449506869,0.06691480824648388,0.0544209665292197
K6X_D100_D140_D145_D155_D225_D230,s,448,0.14245508458939535,0.04412165425848339,0.006939509504407859,0.06280988679246378,0.06055829644815872
K6X_D100_D140_D145_D155_D225_D230,s,449,0.15062637068438,0.04341824192992713,0.012846557011459925,0.06091887373379824,0.06988280433248767
K6X_D100_D140_D145_D155_D225_D230,s,450,0.15951527459424156,0.04018771113465441,0.03195788574856523,0.06263166783031138,0.07976576507788682
K6X_D100_D140_D145_D155_D225_D230,s,451,0.1695575991912155,0.035956231563868166,0.06298108751362863,0.0665480286633933,0.09124630077341202
K6X_D100_D140_D145_D155_D225_D230,s,452,0.1765317976507942,0.03084463392577393,0.09682250612811427,0.06953462891611838,0.10791914547999407
K6X_D100_D140_D145_D155_D225_D230,s,453,0.16021947133572478,0.03363327376895345,0.09572916236595433,0.06920782496974963,0.1390056758446116
K6X_D100_D140_D145_D155_D225_D230,s,454,0.1483792210468695,0.03999006815665769,0.10526788495001216,0.07429575590273552,0.14030723507129378
K6X_D100_D140_D145_D155_D225_D230,s,455,0.15654846909899908,0.0360218711009394,0.13528170764272054,0.08289496647534124,0.11202268621372798
K6X_D100_D200_D205_D210_D215_D220,p,445,0.04754552615865325,0.01839870908281462,0.025776326324095024,0.019679216124644534,0.11816110235552152
K6X_D100_D200_D205_D210_D215_D220,p,446,0.03539232750386058,0.019073214105283162,0.014369667649617064,0.021048399387270624,0.12791432517717605
K6X_D100_D200_D205_D210_D215_D220,p,447,0.04388575613832997,0.026654234847388762,0.03599386560228301,0.034230255933433804,0.1513364142916379
K6X_D100_D200_D205_D210_D215_D220,p,448,0.06633003532529692,0.024705840241162905,0.013287661255853778,0.033087553349372203,0.19052181302227084
K6X_D100_D200_D205_D210_D215_D220,p,449,0.06681970536699561,0.023212154015939995,0.019617423112586442,0.041013598526548185,0.20713852405850394
K6X_D100_D200_D205_D210_D215_D220,p,450,0.06216275522044268,0.023111268101455154,0.01863194056029151,0.049668451807231596,0.20743614986587483
K6X_D100_D200_D205_D210_D215_D220,p,451,0.054723832071412855,0.02149289737490966,0.019096051763004395,0.057110591080132334,0.19337057140692698
K6X_D100_D200_D205_D210_D215_D220,p,452,0.04574123642209568,0.01956840639227443,0.03326175718254597,0.052358095822455895,0.24007396074085832
K6X_D100_D200_D205_D210_D215_D220,p,453,0.03968867066860429,0.017218130314434962,0.03185223188371342,0.02968825773476722,0.13470197609658657
K6X_D100_D200_D205_D210_D215_D220,p,454,0.03851792772498938,0.013365166673872407,0.04023122595143405,0.02034828868348431,0.093365124018502
K6X_D100_D200_D205_D210_D215_D220,p,455,0.043022411997524046,0.017256702742004977,0.02336383161120682,0.02070416916214504,0.08450997511448136
K6X_D100_D200_D205_D210_D215_D220,s,445,0.037581209083526496,0.010165828072134122,0.01844303023197626,0.02597470861342847,0.11159460713275005
