model,geometry_id,role,order_profile_mae,eta_plus1_mae,R_mae,T_mae,PS_contrast_mae
LF_affine,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.038898252140114296,0.11782112371067414,0.09719307571089035,0.09304584652469909,0.03358784770616314
LF_global_bias,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.037407418525632,0.11782112371067412,0.09892650364094041,0.09420926405825031,0.016762069498216133
LF_only,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.029994526745244575,0.029538206705342792,nan,0.12507260708610268,0.016762069498216133
LF_paired_shared_contrast,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.07158475940331614,0.11436595907772537,0.046900765447468885,0.03914744059256843,0.2284728319903831
LF_ridge_residual,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.07064687708588818,0.10534521072381432,0.046900765447470634,0.039000744657228484,0.033587330683948084
circular_cnn,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.07633887636883901,0.076685588801196,0.03469817742058674,0.3808202163902461,0.10310400307204236
corrected_residual_mlp,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.059660734287068105,0.04906961279839218,0.04768762544193029,0.06424138887748305,0.09528722418102803
direct_mlp,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.17414661362288933,0.4247994250137877,0.030876742036618023,0.36942744533264976,0.01674742260942875
resmlp,K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,0.1188273180440925,0.10381407222397385,0.06715737235538483,0.13377237849820245,0.012493021663130011
LF_affine,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.057188565577738264,0.08231100331124037,0.07397793737533992,0.06911329105988182,0.060413317248587256
LF_global_bias,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.05732623095043505,0.08231100331124037,0.049347167501971184,0.048744135655412885,0.015805202746817525
LF_only,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.05451606259363493,0.01898920015273114,nan,0.2065228012319536,0.015805202746817525
LF_paired_shared_contrast,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.041098643366757906,0.026703215410318483,0.07370337822715305,0.03647852596569136,0.025693436824753814
LF_ridge_residual,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.04255689451476879,0.034350232612212366,0.07370337822715303,0.068941267982696,0.06041278419866696
circular_cnn,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.0639552029434632,0.020836058820229972,0.07267296841221567,0.1033377584875129,0.00998710441487482
corrected_residual_mlp,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.04632874823834853,0.03832743567969515,0.04546832486958812,0.04055939076478387,0.07086340681000915
direct_mlp,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.06502090623523564,0.02120992393831489,0.06266955615416314,0.11866768386197467,0.008800326448999694
resmlp,K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,0.03242205545393089,0.021867001152572053,0.05545471375491229,0.05642710946859744,0.009227203203844724
LF_affine,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.04164318239519566,0.10508577460619332,0.10542711784938304,0.10180347783145169,0.13076278644623254
LF_global_bias,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.04197853388554674,0.1077143446023046,0.10950429074225437,0.10569680361927801,0.15747928043123058
LF_only,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.03324857190252992,0.17772398740961243,nan,0.12805256262274167,0.15747928043123058
LF_paired_shared_contrast,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.01774602936682157,0.06288870792989325,0.04905513087661633,0.03612142669307978,0.08859658073774514
LF_ridge_residual,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.021285103637876637,0.07411008096007068,0.04905513087661642,0.04594977423264395,0.1307630569003982
circular_cnn,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.015570378664648183,0.05323400826539137,0.03956947682378131,0.04530577822218987,0.10611664175599798
corrected_residual_mlp,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.011653464422407854,0.043638942329446935,0.033307580515956885,0.03553261935618922,0.07271252393719103
direct_mlp,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.019465235724817145,0.0641229224816732,0.033295654292431316,0.06005941585253314,0.0988875228440189
resmlp,K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,0.02097692055273426,0.07120867930373906,0.033117758310278245,0.04442680748761819,0.09093675813015349
LF_affine,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.07244131066115761,0.26093417022752413,0.12000903357280114,0.12504206128813125,0.25233819994391554
LF_global_bias,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.07186084122572281,0.2647001167223388,0.12652885037888087,0.130266206319704,0.2813087387637599
LF_only,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.07379924200714914,0.32468372115108685,nan,0.3273511992757174,0.2813087387637599
LF_paired_shared_contrast,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.05025349683223503,0.17702383509814587,0.06040092425741685,0.05070712188740139,0.1447619393212361
LF_ridge_residual,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.05297967570440049,0.1818768018580095,0.060400924257416895,0.06438359038262177,0.25233854613078277
circular_cnn,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.053130683340799824,0.14751109627406633,0.05845919624008327,0.2010106234633674,0.26041776141722395
corrected_residual_mlp,K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,0.06175756342359289,0.21079269478454288,0.06425335500942048,0.14796546902863356,0.3011961879271389
