model,variant,ranking_spearman,top3_recall,top5_recall,true_champion_geometry,true_champion_predicted_rank,near_champion_retrieval,pairwise_ordering_accuracy
LF_only,raw,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473
LF_global_bias,raw,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473
LF_affine,raw,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473
LF_ridge_residual,raw,0.9533834586466164,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473
LF_paired_shared_contrast,raw,0.9533834586466164,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473
corrected_residual_mlp,raw,0.9428571428571428,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,6,1,0.9105263157894737
direct_mlp,raw,0.8646616541353382,0.3333333333333333,0.8,K6X_D130_D145_D155_D180_D195_D230,5,1,0.8368421052631579
resmlp,raw,0.9037593984962405,0.3333333333333333,0.8,K6X_D130_D145_D155_D180_D195_D230,4,1,0.868421052631579
circular_cnn,raw,0.9338345864661652,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,5,2,0.8789473684210526
