model,variant,order_profile_mae,order_profile_rmse,eta_plus1_mae,eta_plus1_rmse,eta_0_mae,eta_minus1_mae,per_order_mae,R_mae,R_rmse,T_mae,T_rmse,median_abs_error,P90_abs_error,max_abs_error,worst_geometry,worst_geometry_order_profile_mae,worst_geometry_polarization,worst_geometry_polarization_mae,per_geometry,per_wavelength,per_polarization,negative_power_violation_rate,R_legality_violation_rate,order_sum_T_mismatch_mae,energy_residual_mae,energy_residual_max,ranking_spearman,top3_recall,top5_recall,true_champion_geometry,true_champion_predicted_rank,near_champion_retrieval,pairwise_ordering_accuracy,seed
LF_only,raw_seed_17,0.04623794968285346,0.08568820151774413,0.10408609509222434,0.15036748171907385,0.07159173249643226,0.018263177660507796,"{'-3': 0.02617244521462755, '-2': 0.019446128325471244, '-1': 0.018263177660507796, '0': 0.07159173249643226, '1': 0.10408609509222434, '2': 0.05584207410441147, '3': 0.02826399488629954}",,,0.20951621948340474,0.24528697745380382,0.019660936055999157,0.13014354162776243,0.6557896290295082,K6X_D150_D205_D215_D220_D225_D230,0.08187879087397647,K6X_D135_D155_D190_D220_D225_D230_p,0.09614850047565339,"{'K6X_D100_D105_D110_D115_D190_D230': 0.029994526745244575, 'K6X_D100_D105_D115_D120_D125_D130': 0.015052012145008207, 'K6X_D100_D105_D115_D165_D225_D230': 0.05451606259363495, 'K6X_D100_D110_D115_D220_D225_D230': 0.03336736359715757, 'K6X_D100_D115_D130_D145_D155_D185': 0.024895104720165234, 'K6X_D100_D130_D135_D155_D160_D225': 0.04075903513976094, 'K6X_D100_D140_D145_D155_D225_D230': 0.049747275038546514, 'K6X_D100_D200_D205_D210_D215_D220': 0.058014558236379035, 'K6X_D105_D120_D125_D130_D165_D190': 0.03405784198380515, 'K6X_D110_D125_D135_D150_D175_D190': 0.03373226178707473, 'K6X_D110_D125_D135_D150_D175_D195': 0.03324857190252992, 'K6X_D110_D190_D210_D215_D220_D225': 0.05945078659821855, 'K6X_D120_D125_D180_D185_D190_D195': 0.027297120878768746, 'K6X_D120_D145_D200_D215_D220_D230': 0.07451680346832967, 'K6X_D125_D135_D150_D175_D190_D210': 0.036332746429062764, 'K6X_D130_D145_D155_D180_D195_D230': 0.024847446200025276, 'K6X_D135_D155_D190_D220_D225_D230': 0.07379924200714914, 'K6X_D140_D160_D165_D170_D180_D190': 0.07859126194206577, 'K6X_D150_D205_D215_D220_D225_D230': 0.08187879087397647, 'K6X_D200_D205_D215_D220_D225_D230': 0.06066018137016598}","{'445': 0.04600356484785173, '446': 0.04500784664699646, '447': 0.04347732473133871, '448': 0.04439479890254796, '449': 0.04610034288371203, '450': 0.04584189241576361, '451': 0.045838827218252935, '452': 0.047924973556732454, '453': 0.047095261485845065, '454': 0.046587218597686234, '455': 0.050345395224660854}","{'p': 0.05065425646261918, 's': 0.04182164290308774}",0.0,,0.0,,,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,17
LF_only,raw_seed_29,0.04623794968285346,0.08568820151774413,0.10408609509222434,0.15036748171907385,0.07159173249643226,0.018263177660507796,"{'-3': 0.02617244521462755, '-2': 0.019446128325471244, '-1': 0.018263177660507796, '0': 0.07159173249643226, '1': 0.10408609509222434, '2': 0.05584207410441147, '3': 0.02826399488629954}",,,0.20951621948340474,0.24528697745380382,0.019660936055999157,0.13014354162776243,0.6557896290295082,K6X_D150_D205_D215_D220_D225_D230,0.08187879087397647,K6X_D135_D155_D190_D220_D225_D230_p,0.09614850047565339,"{'K6X_D100_D105_D110_D115_D190_D230': 0.029994526745244575, 'K6X_D100_D105_D115_D120_D125_D130': 0.015052012145008207, 'K6X_D100_D105_D115_D165_D225_D230': 0.05451606259363495, 'K6X_D100_D110_D115_D220_D225_D230': 0.03336736359715757, 'K6X_D100_D115_D130_D145_D155_D185': 0.024895104720165234, 'K6X_D100_D130_D135_D155_D160_D225': 0.04075903513976094, 'K6X_D100_D140_D145_D155_D225_D230': 0.049747275038546514, 'K6X_D100_D200_D205_D210_D215_D220': 0.058014558236379035, 'K6X_D105_D120_D125_D130_D165_D190': 0.03405784198380515, 'K6X_D110_D125_D135_D150_D175_D190': 0.03373226178707473, 'K6X_D110_D125_D135_D150_D175_D195': 0.03324857190252992, 'K6X_D110_D190_D210_D215_D220_D225': 0.05945078659821855, 'K6X_D120_D125_D180_D185_D190_D195': 0.027297120878768746, 'K6X_D120_D145_D200_D215_D220_D230': 0.07451680346832967, 'K6X_D125_D135_D150_D175_D190_D210': 0.036332746429062764, 'K6X_D130_D145_D155_D180_D195_D230': 0.024847446200025276, 'K6X_D135_D155_D190_D220_D225_D230': 0.07379924200714914, 'K6X_D140_D160_D165_D170_D180_D190': 0.07859126194206577, 'K6X_D150_D205_D215_D220_D225_D230': 0.08187879087397647, 'K6X_D200_D205_D215_D220_D225_D230': 0.06066018137016598}","{'445': 0.04600356484785173, '446': 0.04500784664699646, '447': 0.04347732473133871, '448': 0.04439479890254796, '449': 0.04610034288371203, '450': 0.04584189241576361, '451': 0.045838827218252935, '452': 0.047924973556732454, '453': 0.047095261485845065, '454': 0.046587218597686234, '455': 0.050345395224660854}","{'p': 0.05065425646261918, 's': 0.04182164290308774}",0.0,,0.0,,,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,29
LF_only,raw_seed_43,0.04623794968285346,0.08568820151774413,0.10408609509222434,0.15036748171907385,0.07159173249643226,0.018263177660507796,"{'-3': 0.02617244521462755, '-2': 0.019446128325471244, '-1': 0.018263177660507796, '0': 0.07159173249643226, '1': 0.10408609509222434, '2': 0.05584207410441147, '3': 0.02826399488629954}",,,0.20951621948340474,0.24528697745380382,0.019660936055999157,0.13014354162776243,0.6557896290295082,K6X_D150_D205_D215_D220_D225_D230,0.08187879087397647,K6X_D135_D155_D190_D220_D225_D230_p,0.09614850047565339,"{'K6X_D100_D105_D110_D115_D190_D230': 0.029994526745244575, 'K6X_D100_D105_D115_D120_D125_D130': 0.015052012145008207, 'K6X_D100_D105_D115_D165_D225_D230': 0.05451606259363495, 'K6X_D100_D110_D115_D220_D225_D230': 0.03336736359715757, 'K6X_D100_D115_D130_D145_D155_D185': 0.024895104720165234, 'K6X_D100_D130_D135_D155_D160_D225': 0.04075903513976094, 'K6X_D100_D140_D145_D155_D225_D230': 0.049747275038546514, 'K6X_D100_D200_D205_D210_D215_D220': 0.058014558236379035, 'K6X_D105_D120_D125_D130_D165_D190': 0.03405784198380515, 'K6X_D110_D125_D135_D150_D175_D190': 0.03373226178707473, 'K6X_D110_D125_D135_D150_D175_D195': 0.03324857190252992, 'K6X_D110_D190_D210_D215_D220_D225': 0.05945078659821855, 'K6X_D120_D125_D180_D185_D190_D195': 0.027297120878768746, 'K6X_D120_D145_D200_D215_D220_D230': 0.07451680346832967, 'K6X_D125_D135_D150_D175_D190_D210': 0.036332746429062764, 'K6X_D130_D145_D155_D180_D195_D230': 0.024847446200025276, 'K6X_D135_D155_D190_D220_D225_D230': 0.07379924200714914, 'K6X_D140_D160_D165_D170_D180_D190': 0.07859126194206577, 'K6X_D150_D205_D215_D220_D225_D230': 0.08187879087397647, 'K6X_D200_D205_D215_D220_D225_D230': 0.06066018137016598}","{'445': 0.04600356484785173, '446': 0.04500784664699646, '447': 0.04347732473133871, '448': 0.04439479890254796, '449': 0.04610034288371203, '450': 0.04584189241576361, '451': 0.045838827218252935, '452': 0.047924973556732454, '453': 0.047095261485845065, '454': 0.046587218597686234, '455': 0.050345395224660854}","{'p': 0.05065425646261918, 's': 0.04182164290308774}",0.0,,0.0,,,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,43
LF_global_bias,raw_seed_17,0.04829949165011615,0.07793560061212003,0.10091887182628294,0.12953624669113545,0.07769033742160135,0.019128966854674405,"{'-3': 0.03100840836939153, '-2': 0.020334062472035223, '-1': 0.019128966854674405, '0': 0.07769033742160135, '1': 0.10091887182628294, '2': 0.05842868202134657, '3': 0.030587112585480938}",0.10346961518875901,0.13041344806765223,0.1048331677828108,0.13161423761986202,0.027592944423778507,0.11615888348561938,0.5861499713850415,K6X_D150_D205_D215_D220_D225_D230,0.0799947329723713,K6X_D135_D155_D190_D220_D225_D230_p,0.09619409072177061,"{'K6X_D100_D105_D110_D115_D190_D230': 0.037407418525632, 'K6X_D100_D105_D115_D120_D125_D130': 0.02839771947386577, 'K6X_D100_D105_D115_D165_D225_D230': 0.05732623095043506, 'K6X_D100_D110_D115_D220_D225_D230': 0.035065399089967676, 'K6X_D100_D115_D130_D145_D155_D185': 0.034152068657824865, 'K6X_D100_D130_D135_D155_D160_D225': 0.04216167078228547, 'K6X_D100_D140_D145_D155_D225_D230': 0.040247226534403505, 'K6X_D100_D200_D205_D210_D215_D220': 0.051605568970105674, 'K6X_D105_D120_D125_D130_D165_D190': 0.033772233061659385, 'K6X_D110_D125_D135_D150_D175_D190': 0.042394507960840065, 'K6X_D110_D125_D135_D150_D175_D195': 0.04197853388554674, 'K6X_D110_D190_D210_D215_D220_D225': 0.058821876505678126, 'K6X_D120_D125_D180_D185_D190_D195': 0.025957021378889715, 'K6X_D120_D145_D200_D215_D220_D230': 0.0731125511691617, 'K6X_D125_D135_D150_D175_D190_D210': 0.044000747790112316, 'K6X_D130_D145_D155_D180_D195_D230': 0.033360293468994176, 'K6X_D135_D155_D190_D220_D225_D230': 0.07186084122572282, 'K6X_D140_D160_D165_D170_D180_D190': 0.07135618463290148, 'K6X_D150_D205_D215_D220_D225_D230': 0.0799947329723713, 'K6X_D200_D205_D215_D220_D225_D230': 0.06301700596592492}","{'445': 0.04737036959081698, '446': 0.04654924941552755, '447': 0.0463314436315044, '448': 0.04701441883009187, '449': 0.04813056031943378, '450': 0.048427273089679874, '451': 0.04800603361059326, '452': 0.049098074822083386, '453': 0.04875608154818774, '454': 0.04824772257100886, '455': 0.05336318072234981}","{'p': 0.05231736468590926, 's': 0.044281618614323025}",0.37207792207792206,0.0,0.0,0.004666455278431255,0.004914369637911364,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,17
LF_global_bias,raw_seed_29,0.04829949165011615,0.07793560061212003,0.10091887182628294,0.12953624669113545,0.07769033742160135,0.019128966854674405,"{'-3': 0.03100840836939153, '-2': 0.020334062472035223, '-1': 0.019128966854674405, '0': 0.07769033742160135, '1': 0.10091887182628294, '2': 0.05842868202134657, '3': 0.030587112585480938}",0.10346961518875901,0.13041344806765223,0.1048331677828108,0.13161423761986202,0.027592944423778507,0.11615888348561938,0.5861499713850415,K6X_D150_D205_D215_D220_D225_D230,0.0799947329723713,K6X_D135_D155_D190_D220_D225_D230_p,0.09619409072177061,"{'K6X_D100_D105_D110_D115_D190_D230': 0.037407418525632, 'K6X_D100_D105_D115_D120_D125_D130': 0.02839771947386577, 'K6X_D100_D105_D115_D165_D225_D230': 0.05732623095043506, 'K6X_D100_D110_D115_D220_D225_D230': 0.035065399089967676, 'K6X_D100_D115_D130_D145_D155_D185': 0.034152068657824865, 'K6X_D100_D130_D135_D155_D160_D225': 0.04216167078228547, 'K6X_D100_D140_D145_D155_D225_D230': 0.040247226534403505, 'K6X_D100_D200_D205_D210_D215_D220': 0.051605568970105674, 'K6X_D105_D120_D125_D130_D165_D190': 0.033772233061659385, 'K6X_D110_D125_D135_D150_D175_D190': 0.042394507960840065, 'K6X_D110_D125_D135_D150_D175_D195': 0.04197853388554674, 'K6X_D110_D190_D210_D215_D220_D225': 0.058821876505678126, 'K6X_D120_D125_D180_D185_D190_D195': 0.025957021378889715, 'K6X_D120_D145_D200_D215_D220_D230': 0.0731125511691617, 'K6X_D125_D135_D150_D175_D190_D210': 0.044000747790112316, 'K6X_D130_D145_D155_D180_D195_D230': 0.033360293468994176, 'K6X_D135_D155_D190_D220_D225_D230': 0.07186084122572282, 'K6X_D140_D160_D165_D170_D180_D190': 0.07135618463290148, 'K6X_D150_D205_D215_D220_D225_D230': 0.0799947329723713, 'K6X_D200_D205_D215_D220_D225_D230': 0.06301700596592492}","{'445': 0.04737036959081698, '446': 0.04654924941552755, '447': 0.0463314436315044, '448': 0.04701441883009187, '449': 0.04813056031943378, '450': 0.048427273089679874, '451': 0.04800603361059326, '452': 0.049098074822083386, '453': 0.04875608154818774, '454': 0.04824772257100886, '455': 0.05336318072234981}","{'p': 0.05231736468590926, 's': 0.044281618614323025}",0.37207792207792206,0.0,0.0,0.004666455278431255,0.004914369637911364,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,29
LF_global_bias,raw_seed_43,0.04829949165011615,0.07793560061212003,0.10091887182628294,0.12953624669113545,0.07769033742160135,0.019128966854674405,"{'-3': 0.03100840836939153, '-2': 0.020334062472035223, '-1': 0.019128966854674405, '0': 0.07769033742160135, '1': 0.10091887182628294, '2': 0.05842868202134657, '3': 0.030587112585480938}",0.10346961518875901,0.13041344806765223,0.1048331677828108,0.13161423761986202,0.027592944423778507,0.11615888348561938,0.5861499713850415,K6X_D150_D205_D215_D220_D225_D230,0.0799947329723713,K6X_D135_D155_D190_D220_D225_D230_p,0.09619409072177061,"{'K6X_D100_D105_D110_D115_D190_D230': 0.037407418525632, 'K6X_D100_D105_D115_D120_D125_D130': 0.02839771947386577, 'K6X_D100_D105_D115_D165_D225_D230': 0.05732623095043506, 'K6X_D100_D110_D115_D220_D225_D230': 0.035065399089967676, 'K6X_D100_D115_D130_D145_D155_D185': 0.034152068657824865, 'K6X_D100_D130_D135_D155_D160_D225': 0.04216167078228547, 'K6X_D100_D140_D145_D155_D225_D230': 0.040247226534403505, 'K6X_D100_D200_D205_D210_D215_D220': 0.051605568970105674, 'K6X_D105_D120_D125_D130_D165_D190': 0.033772233061659385, 'K6X_D110_D125_D135_D150_D175_D190': 0.042394507960840065, 'K6X_D110_D125_D135_D150_D175_D195': 0.04197853388554674, 'K6X_D110_D190_D210_D215_D220_D225': 0.058821876505678126, 'K6X_D120_D125_D180_D185_D190_D195': 0.025957021378889715, 'K6X_D120_D145_D200_D215_D220_D230': 0.0731125511691617, 'K6X_D125_D135_D150_D175_D190_D210': 0.044000747790112316, 'K6X_D130_D145_D155_D180_D195_D230': 0.033360293468994176, 'K6X_D135_D155_D190_D220_D225_D230': 0.07186084122572282, 'K6X_D140_D160_D165_D170_D180_D190': 0.07135618463290148, 'K6X_D150_D205_D215_D220_D225_D230': 0.0799947329723713, 'K6X_D200_D205_D215_D220_D225_D230': 0.06301700596592492}","{'445': 0.04737036959081698, '446': 0.04654924941552755, '447': 0.0463314436315044, '448': 0.04701441883009187, '449': 0.04813056031943378, '450': 0.048427273089679874, '451': 0.04800603361059326, '452': 0.049098074822083386, '453': 0.04875608154818774, '454': 0.04824772257100886, '455': 0.05336318072234981}","{'p': 0.05231736468590926, 's': 0.044281618614323025}",0.37207792207792206,0.0,0.0,0.004666455278431255,0.004914369637911364,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,43
LF_affine,raw_seed_17,0.04882360895862108,0.0777748689490177,0.10157302204453147,0.12935385710413477,0.07899613086237225,0.019520365557955582,"{'-3': 0.030295105656222125, '-2': 0.02053081588977462, '-1': 0.019520365557955582, '0': 0.07899613086237225, '1': 0.10157302204453147, '2': 0.0597365510935247, '3': 0.031113271605966806}",0.10336231575987123,0.12881893901463376,0.10563000407824248,0.1309418677998356,0.02935926023629347,0.11551804486938456,0.5813245281214237,K6X_D150_D205_D215_D220_D225_D230,0.0777045808555596,K6X_D135_D155_D190_D220_D225_D230_p,0.09669627584317579,"{'K6X_D100_D105_D110_D115_D190_D230': 0.0388982521401143, 'K6X_D100_D105_D115_D120_D125_D130': 0.03154800655413912, 'K6X_D100_D105_D115_D165_D225_D230': 0.057188565577738264, 'K6X_D100_D110_D115_D220_D225_D230': 0.03724706672763058, 'K6X_D100_D115_D130_D145_D155_D185': 0.03323260444774388, 'K6X_D100_D130_D135_D155_D160_D225': 0.04192683564302499, 'K6X_D100_D140_D145_D155_D225_D230': 0.04495625940107296, 'K6X_D100_D200_D205_D210_D215_D220': 0.05578181894130515, 'K6X_D105_D120_D125_D130_D165_D190': 0.03554174322657525, 'K6X_D110_D125_D135_D150_D175_D190': 0.04209630535353525, 'K6X_D110_D125_D135_D150_D175_D195': 0.04164318239519566, 'K6X_D110_D190_D210_D215_D220_D225': 0.05815133783106815, 'K6X_D120_D125_D180_D185_D190_D195': 0.0259688543330118, 'K6X_D120_D145_D200_D215_D220_D230': 0.06849572416934427, 'K6X_D125_D135_D150_D175_D190_D210': 0.04430667179383462, 'K6X_D130_D145_D155_D180_D195_D230': 0.03636542238777517, 'K6X_D135_D155_D190_D220_D225_D230': 0.0724413106611576, 'K6X_D140_D160_D165_D170_D180_D190': 0.06975149480246613, 'K6X_D150_D205_D215_D220_D225_D230': 0.0777045808555596, 'K6X_D200_D205_D215_D220_D225_D230': 0.0632261419301289}","{'445': 0.04721655190699676, '446': 0.046118403212960395, '447': 0.045902458711875316, '448': 0.04729614519634099, '449': 0.04867075708562586, '450': 0.048739994828890666, '451': 0.04836757032483454, '452': 0.04967540040609894, '453': 0.04951390811608974, '454': 0.05001431767133229, '455': 0.05554419108378642}","{'p': 0.05361020614005668, 's': 0.044037011777185484}",0.34545454545454546,0.0,0.0,0.005106942576085221,0.011561481219423908,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,17
LF_affine,raw_seed_29,0.04882360895862108,0.0777748689490177,0.10157302204453147,0.12935385710413477,0.07899613086237225,0.019520365557955582,"{'-3': 0.030295105656222125, '-2': 0.02053081588977462, '-1': 0.019520365557955582, '0': 0.07899613086237225, '1': 0.10157302204453147, '2': 0.0597365510935247, '3': 0.031113271605966806}",0.10336231575987123,0.12881893901463376,0.10563000407824248,0.1309418677998356,0.02935926023629347,0.11551804486938456,0.5813245281214237,K6X_D150_D205_D215_D220_D225_D230,0.0777045808555596,K6X_D135_D155_D190_D220_D225_D230_p,0.09669627584317579,"{'K6X_D100_D105_D110_D115_D190_D230': 0.0388982521401143, 'K6X_D100_D105_D115_D120_D125_D130': 0.03154800655413912, 'K6X_D100_D105_D115_D165_D225_D230': 0.057188565577738264, 'K6X_D100_D110_D115_D220_D225_D230': 0.03724706672763058, 'K6X_D100_D115_D130_D145_D155_D185': 0.03323260444774388, 'K6X_D100_D130_D135_D155_D160_D225': 0.04192683564302499, 'K6X_D100_D140_D145_D155_D225_D230': 0.04495625940107296, 'K6X_D100_D200_D205_D210_D215_D220': 0.05578181894130515, 'K6X_D105_D120_D125_D130_D165_D190': 0.03554174322657525, 'K6X_D110_D125_D135_D150_D175_D190': 0.04209630535353525, 'K6X_D110_D125_D135_D150_D175_D195': 0.04164318239519566, 'K6X_D110_D190_D210_D215_D220_D225': 0.05815133783106815, 'K6X_D120_D125_D180_D185_D190_D195': 0.0259688543330118, 'K6X_D120_D145_D200_D215_D220_D230': 0.06849572416934427, 'K6X_D125_D135_D150_D175_D190_D210': 0.04430667179383462, 'K6X_D130_D145_D155_D180_D195_D230': 0.03636542238777517, 'K6X_D135_D155_D190_D220_D225_D230': 0.0724413106611576, 'K6X_D140_D160_D165_D170_D180_D190': 0.06975149480246613, 'K6X_D150_D205_D215_D220_D225_D230': 0.0777045808555596, 'K6X_D200_D205_D215_D220_D225_D230': 0.0632261419301289}","{'445': 0.04721655190699676, '446': 0.046118403212960395, '447': 0.045902458711875316, '448': 0.04729614519634099, '449': 0.04867075708562586, '450': 0.048739994828890666, '451': 0.04836757032483454, '452': 0.04967540040609894, '453': 0.04951390811608974, '454': 0.05001431767133229, '455': 0.05554419108378642}","{'p': 0.05361020614005668, 's': 0.044037011777185484}",0.34545454545454546,0.0,0.0,0.005106942576085221,0.011561481219423908,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,29
LF_affine,raw_seed_43,0.04882360895862108,0.0777748689490177,0.10157302204453147,0.12935385710413477,0.07899613086237225,0.019520365557955582,"{'-3': 0.030295105656222125, '-2': 0.02053081588977462, '-1': 0.019520365557955582, '0': 0.07899613086237225, '1': 0.10157302204453147, '2': 0.0597365510935247, '3': 0.031113271605966806}",0.10336231575987123,0.12881893901463376,0.10563000407824248,0.1309418677998356,0.02935926023629347,0.11551804486938456,0.5813245281214237,K6X_D150_D205_D215_D220_D225_D230,0.0777045808555596,K6X_D135_D155_D190_D220_D225_D230_p,0.09669627584317579,"{'K6X_D100_D105_D110_D115_D190_D230': 0.0388982521401143, 'K6X_D100_D105_D115_D120_D125_D130': 0.03154800655413912, 'K6X_D100_D105_D115_D165_D225_D230': 0.057188565577738264, 'K6X_D100_D110_D115_D220_D225_D230': 0.03724706672763058, 'K6X_D100_D115_D130_D145_D155_D185': 0.03323260444774388, 'K6X_D100_D130_D135_D155_D160_D225': 0.04192683564302499, 'K6X_D100_D140_D145_D155_D225_D230': 0.04495625940107296, 'K6X_D100_D200_D205_D210_D215_D220': 0.05578181894130515, 'K6X_D105_D120_D125_D130_D165_D190': 0.03554174322657525, 'K6X_D110_D125_D135_D150_D175_D190': 0.04209630535353525, 'K6X_D110_D125_D135_D150_D175_D195': 0.04164318239519566, 'K6X_D110_D190_D210_D215_D220_D225': 0.05815133783106815, 'K6X_D120_D125_D180_D185_D190_D195': 0.0259688543330118, 'K6X_D120_D145_D200_D215_D220_D230': 0.06849572416934427, 'K6X_D125_D135_D150_D175_D190_D210': 0.04430667179383462, 'K6X_D130_D145_D155_D180_D195_D230': 0.03636542238777517, 'K6X_D135_D155_D190_D220_D225_D230': 0.0724413106611576, 'K6X_D140_D160_D165_D170_D180_D190': 0.06975149480246613, 'K6X_D150_D205_D215_D220_D225_D230': 0.0777045808555596, 'K6X_D200_D205_D215_D220_D225_D230': 0.0632261419301289}","{'445': 0.04721655190699676, '446': 0.046118403212960395, '447': 0.045902458711875316, '448': 0.04729614519634099, '449': 0.04867075708562586, '450': 0.048739994828890666, '451': 0.04836757032483454, '452': 0.04967540040609894, '453': 0.04951390811608974, '454': 0.05001431767133229, '455': 0.05554419108378642}","{'p': 0.05361020614005668, 's': 0.044037011777185484}",0.34545454545454546,0.0,0.0,0.005106942576085221,0.011561481219423908,0.9518796992481202,0.3333333333333333,1.0,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,43
LF_ridge_residual,raw_seed_17,0.042515612785674124,0.07087693223918579,0.08279965374730602,0.10818247699834667,0.09299922044806656,0.029128944417294956,"{'-3': 0.00924582084589957, '-2': 0.02433714109411893, '-1': 0.029128944417294956, '0': 0.09299922044806656, '1': 0.08279965374730602, '2': 0.039891125468397105, '3': 0.019207383478635733}",0.0683804426502917,0.09082420257651083,0.07284865930141718,0.09587655389126575,0.020570416138331868,0.10998708350516255,0.48363292164353333,K6X_D100_D130_D135_D155_D160_D225,0.10246489041985626,K6X_D100_D130_D135_D155_D160_D225_s,0.10315138362324697,"{'K6X_D100_D105_D110_D115_D190_D230': 0.07064687708588818, 'K6X_D100_D105_D115_D120_D125_D130': 0.03741042557305491, 'K6X_D100_D105_D115_D165_D225_D230': 0.04255689451476878, 'K6X_D100_D110_D115_D220_D225_D230': 0.0551143046615903, 'K6X_D100_D115_D130_D145_D155_D185': 0.01647152950081149, 'K6X_D100_D130_D135_D155_D160_D225': 0.10246489041985626, 'K6X_D100_D140_D145_D155_D225_D230': 0.06898867228485485, 'K6X_D100_D200_D205_D210_D215_D220': 0.04464952726110773, 'K6X_D105_D120_D125_D130_D165_D190': 0.02531887898611864, 'K6X_D110_D125_D135_D150_D175_D190': 0.028673393096897624, 'K6X_D110_D125_D135_D150_D175_D195': 0.021285103637876637, 'K6X_D110_D190_D210_D215_D220_D225': 0.03313948777423564, 'K6X_D120_D125_D180_D185_D190_D195': 0.03077764540809504, 'K6X_D120_D145_D200_D215_D220_D230': 0.05385377676973681, 'K6X_D125_D135_D150_D175_D190_D210': 0.010696277346960725, 'K6X_D130_D145_D155_D180_D195_D230': 0.02802579464333482, 'K6X_D135_D155_D190_D220_D225_D230': 0.05297967570440049, 'K6X_D140_D160_D165_D170_D180_D190': 0.04527884457838015, 'K6X_D150_D205_D215_D220_D225_D230': 0.04150874892251401, 'K6X_D200_D205_D215_D220_D225_D230': 0.04047150754299945}","{'445': 0.04152029935352613, '446': 0.039929960303365576, '447': 0.040104906507070305, '448': 0.04143824486521022, '449': 0.044021910499155124, '450': 0.04404845927945404, '451': 0.043302814715851595, '452': 0.043481027363038875, '453': 0.04233425263487952, '454': 0.041949094598452495, '455': 0.04554077052241153}","{'p': 0.04364647370080184, 's': 0.04138475187054642}",0.10649350649350649,0.0,0.0,0.022275324115659863,0.10624837953271571,0.9533834586466164,0.6666666666666666,0.8,K6X_D130_D145_D155_D180_D195_D230,4,2,0.9210526315789473,17
