model,geometry_count,improved_order,degraded_order,median_delta_order,improved_eta_plus1,degraded_eta_plus1,median_delta_eta_plus1,M7_R_mean,M8_R_mean,M7_T_mean,M8_T_mean,M7_PS_mean,M8_PS_mean
LF_affine,16,10,6,-0.0002426889451902399,5,11,0.004159005136693636,0.10637205681562895,0.10441494691806316,0.10559538729158587,0.10388396040441986,0.08833228289701336,0.09030694295915936
LF_global_bias,16,9,7,-0.00038975479267262456,6,9,0.0020265834525201865,0.10683508450608303,0.10531784321944584,0.10622833446055377,0.10496146404138879,0.08762444523893897,0.08762444523893897
LF_only,16,0,0,0.0,0,0,0.0,nan,nan,0.21882276656263522,0.21882276656263522,0.08762444523893897,0.08762444523893897
LF_paired_shared_contrast,16,9,7,-0.0010124455255063648,6,10,0.004883521505212434,0.08585434112875572,0.07109679088732349,0.0734245783946056,0.06982612987786005,0.24659864101931211,0.13305564651432394
LF_ridge_residual,16,9,7,-0.001041346045830607,7,9,0.0033616269635726517,0.08585434112875634,0.07109679088732357,0.07741882210339641,0.0752200614719819,0.0883321915165458,0.09030677465595925
circular_cnn,16,12,4,-0.004873946812273135,11,5,-0.01600928124418346,0.08570552723677585,0.0698092950156256,0.17534330734198172,0.1645320100232458,0.09301292400128233,0.09638962655795962
corrected_residual_mlp,16,9,7,-0.0001681208830202948,10,6,-0.004472425863849563,0.06839829218063655,0.0638990125887752,0.09461525780643376,0.0800733841186751,0.11726453110282103,0.12192211336738798
direct_mlp,16,14,2,-0.005293143921601889,11,5,-0.044814092423752644,0.06544488420812083,0.06273898815438958,0.17117607221819375,0.1746482398800821,0.09507066528033893,0.10557780143764149
resmlp,16,14,2,-0.008873828110634724,9,7,-0.00953329550894776,0.069027459538877,0.061902119473354604,0.09758640130795074,0.10263497360166066,0.08358886201318318,0.09128665059358677
