model,geometry_id,M7_order_profile_mae,M8_order_profile_mae,delta_M8_minus_M7
LF_affine,K6X_D100_D105_D115_D120_D125_D130,0.031832360203030464,0.03154800655413911,-0.00028435364889135145
LF_affine,K6X_D100_D110_D115_D220_D225_D230,0.035382009598697604,0.037247066727630576,0.0018650571289329718
LF_affine,K6X_D100_D115_D130_D145_D155_D185,0.036975934203775034,0.03323260444774389,-0.003743329756031144
LF_affine,K6X_D100_D130_D135_D155_D160_D225,0.04557860237299855,0.041926835643025,-0.0036517667299735546
LF_affine,K6X_D100_D140_D145_D155_D225_D230,0.04499741549681511,0.04495625940107295,-4.115609574215778e-05
LF_affine,K6X_D100_D200_D205_D210_D215_D220,0.05410636970663279,0.055781818941305135,0.0016754492346723465
LF_affine,K6X_D105_D120_D125_D130_D165_D190,0.036549467630266945,0.03554174322657525,-0.0010077244036916927
LF_affine,K6X_D110_D125_D135_D150_D175_D190,0.045847832135773856,0.04209630535353526,-0.0037515267822385984
LF_affine,K6X_D110_D190_D210_D215_D220_D225,0.055927856870856815,0.058151337831068156,0.002223480960211341
LF_affine,K6X_D120_D125_D180_D185_D190_D195,0.028782980339992246,0.0259688543330118,-0.002814126006980444
LF_affine,K6X_D120_D145_D200_D215_D220_D230,0.067972696907868,0.06849572416934425,0.0005230272614762527
LF_affine,K6X_D125_D135_D150_D175_D190_D210,0.048316988083616175,0.04430667179383462,-0.004010316289781553
LF_affine,K6X_D130_D145_D155_D180_D195_D230,0.038225588540245964,0.03636542238777517,-0.0018601661524707963
LF_affine,K6X_D140_D160_D165_D170_D180_D190,0.06911206378734033,0.06975149480246613,0.0006394310151257993
LF_affine,K6X_D150_D205_D215_D220_D225_D230,0.07790560509704875,0.07770458085555959,-0.0002010242414891561
LF_affine,K6X_D200_D205_D215_D220_D225_D230,0.06191231973644528,0.06322614193012889,0.00131382219368361
LF_global_bias,K6X_D100_D105_D115_D120_D125_D130,0.028913365374881202,0.028397719473865764,-0.000515645901015438
LF_global_bias,K6X_D100_D110_D115_D220_D225_D230,0.03263158743055403,0.03506539908996769,0.0024338116594136636
LF_global_bias,K6X_D100_D115_D130_D145_D155_D185,0.036787945962524285,0.034152068657824865,-0.0026358773046994202
