output,mean_bias,abs_mean,median_abs,p90_abs,max_abs
eta_m-3,-0.021320895275192476,0.02617244521462755,0.00762346722008804,0.08177384263889763,0.1843824822183756
eta_m-2,-0.009832838657721542,0.019446128325471244,0.012785078207742332,0.04531232834002242,0.1415730712432365
eta_m-1,-0.0036664819134275485,0.018263177660507796,0.00864971287519643,0.051004702261186134,0.15831548816298682
eta_m+0,-0.03878629267139733,0.07159173249643226,0.03274559909642989,0.18007554315662358,0.6150347256758999
eta_m+1,-0.08239186081979769,0.10408609509222434,0.05966817836846036,0.22876388590064667,0.6557896290295082
eta_m+2,-0.04187762999989373,0.05584207410441147,0.028739144944316054,0.14582493854747494,0.4120320194143405
eta_m+3,-0.011640220145974413,0.02826399488629954,0.014475200143268646,0.07386582725781234,0.17342007782309946
T_proxy,-0.20951621948340474,0.20951621948340474,0.18305246256512558,0.39850872703025264,0.7334842325322006
