scope,metric,n,mean,median,p90,max,min
HF16,eta_m+1,352,0.3796891772600363,0.290266523553,0.8403536955377001,0.94424041148,5.2286813669e-05
HF16,eta_m+0,352,0.25473195823668443,0.196622519703,0.6606492695622849,0.826354862066,6.52416379739e-07
HF16,eta_m-1,352,0.03987150422371846,0.014720635673843506,0.11791736885000005,0.291556896667,4.31559913218e-05
HF16,R_total,352,0.2185687024235367,0.19947051281121814,0.4249007849704573,0.7338219713638774,0.02522901308738527
HF16,T_total,352,0.787292171394641,0.8111380700435951,0.9407207732433935,0.97488443540723,0.26651568085480004
HF16,full_order_profile,352,0.787292171394641,0.8111380700435951,0.9407207732433935,0.97488443540723,0.26651568085480004
M7A4,eta_m+1,88,0.3275565802092075,0.1054404382833212,0.8424048710090805,0.9286988778605562,0.01266224316871949
M7A4,eta_m+0,88,0.3063373918878758,0.2573396456778883,0.6710094536400939,0.7152682078733672,8.688715274340469e-05
M7A4,eta_m-1,88,0.026104587141166914,0.017640187527015943,0.05596917766431762,0.1243385664856294,7.717731182254697e-05
M7A4,R_total,88,0.1965149388355811,0.15957406387930229,0.36541509301333636,0.4853608730881789,0.052657790152090544
M7A4,T_total,88,0.8032502167417648,0.8396862456816807,0.9269361355046872,0.9474917237076946,0.5133901132976643
M7A4,full_order_profile,88,0.8032502167417648,0.8396862456816807,0.9269361355046872,0.9474917237076946,0.5133901132976643
HF20,eta_m+1,440,0.3692626578498705,0.2787395711975,0.8409205727728001,0.94424041148,5.2286813669e-05
HF20,eta_m+0,440,0.26505304496692267,0.196622519703,0.6676496035241526,0.826354862066,6.52416379739e-07
HF20,eta_m-1,440,0.03711812080720815,0.014954648578157202,0.09959423844754009,0.291556896667,4.31559913218e-05
HF20,R_total,440,0.2141579497059456,0.19007954866127263,0.4022637952327568,0.7338219713638774,0.02522901308738527
HF20,T_total,440,0.7904837804640658,0.8169474925276641,0.9352013556748677,0.97488443540723,0.26651568085480004
HF20,full_order_profile,440,0.7904837804640658,0.8169474925276641,0.9352013556748677,0.97488443540723,0.26651568085480004
