geometry_id,role,selection_model,selection_time_predicted_broadband_eta_plus1,M7A_true_broadband_eta_plus1,absolute_error
K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,LF_only,0.39390777131512755,0.3831099643718596,0.010797806943267929
K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,LF_global_bias,0.4339497336609797,0.3831099643718596,0.050839769289120096
K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,LF_ridge_residual,0.5488754383370146,0.3831099643718596,0.16576547396515495
K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,corrected_residual_mlp,0.5486852878873999,0.3831099643718596,0.16557532351554027
K6X_D135_D155_D190_D220_D225_D230,RESIDUAL-TAIL,circular_cnn,0.2637008469213139,0.3831099643718596,0.11940911745054572
K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,LF_only,0.43405536735140693,0.8128673652265515,0.3788119978751445
K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,LF_global_bias,0.8134463727474213,0.8128673652265515,0.000579007520869812
K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,LF_ridge_residual,0.8178145889677372,0.8128673652265515,0.0049472237411857245
K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,corrected_residual_mlp,0.8206962807611986,0.8128673652265515,0.007828915534647152
K6X_D110_D125_D135_D150_D175_D195,RANKING-CHAMPION-STRESS,circular_cnn,0.8258313807574186,0.8128673652265515,0.012964015530867123
K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,LF_only,0.3824892535697753,0.0508883379795317,0.33160091559024363
K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,LF_global_bias,0.42068184370344336,0.0508883379795317,0.3697935057239117
K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,LF_ridge_residual,0.07609457970737708,0.0508883379795317,0.025206241727845385
K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,corrected_residual_mlp,0.05010463644496419,0.0508883379795317,0.0007837015345675061
K6X_D100_D105_D115_D165_D225_D230,POLARIZATION-STRESS,circular_cnn,0.10339590026573701,0.0508883379795317,0.05250756228620532
K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,LF_only,0.295766791161302,0.06336065325888735,0.23240613790241466
K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,LF_global_bias,0.510748678310351,0.06336065325888735,0.44738802505146363
K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,LF_ridge_residual,0.10035269679137651,0.06336065325888735,0.036992043532489166
K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,corrected_residual_mlp,0.08390565991761502,0.06336065325888735,0.020545006658727674
K6X_D100_D105_D110_D115_D190_D230,COVERAGE-CONTROL,circular_cnn,0.22945080291141162,0.06336065325888735,0.16609014965252428
