model,geometry_count,improved_geometry_count,degraded_geometry_count,median_delta_M8_minus_M7,M7_mean_order_profile_mae,M8_mean_order_profile_mae
LF_affine,16,10,6,-0.00024268894519025377,0.048714130669462744,0.047893804274888485
LF_global_bias,16,9,7,-0.00038975479267263496,0.04800900436400395,0.047338550525936635
LF_only,16,0,0,0.0,0.04582503690053191,0.04582503690053191
LF_paired_shared_contrast,16,9,7,-0.0010124455255063614,0.054774807612916615,0.044231960016501565
LF_ridge_residual,16,9,7,-0.0010413460458306156,0.04115915440163732,0.04142773154815928
circular_cnn,16,12,4,-0.0048739468122731295,0.06049325902152192,0.04668395597759913
corrected_residual_mlp,16,9,7,-0.0001681208830202896,0.046649491586330916,0.04764377439965385
direct_mlp,16,14,2,-0.005293143921601889,0.07909136824816691,0.06922093393509596
resmlp,16,14,2,-0.008873828110634719,0.0690020595339955,0.05565051828722736
