trace,source_x_um,angle_deg,intensity_proxy
case,-1.4,-89.99999914622636,1.1743284812675649e-08
case,-1.4,-87.43680027996089,1.271286311298391e-08
case,-1.4,-86.37478578672372,1.2993947807265382e-08
case,-1.4,-85.55966694730674,1.3394157735039246e-08
case,-1.4,-84.87231698093369,1.404496384541806e-08
case,-1.4,-84.26659730796267,1.5019559436606213e-08
case,-1.4,-83.7188473002472,1.6363872559794204e-08
case,-1.4,-83.21501265029943,1.810438705978088e-08
case,-1.4,-82.74593696669073,2.02509451874936e-08
case,-1.4,-82.30526072729027,2.2798104458755145e-08
case,-1.4,-81.88835398580235,2.5726101617610067e-08
case,-1.4,-81.49172179461118,2.9001808271007744e-08
case,-1.4,-81.11264914981503,3.257983327441291e-08
case,-1.4,-80.74897712783695,3.64038314098804e-08
case,-1.4,-80.39895542436832,4.040803119092979e-08
case,-1.4,-80.06114165487263,4.4518968490772855e-08
case,-1.4,-79.73433047718744,4.8657396495206256e-08
case,-1.4,-79.41750240380574,5.2740331845244335e-08
case,-1.4,-79.10978600479763,5.66831898132829e-08
case,-1.4,-78.8104294537864,6.040195702866324e-08
case,-1.4,-78.51877874041668,6.38153481588503e-08
case,-1.4,-78.23426073431965,6.684689278111921e-08
case,-1.4,-77.95636984216819,6.942690024648836e-08
case,-1.4,-77.68465736788467,7.149425346766649e-08
case,-1.4,-77.41872293538925,7.299798708060366e-08
case,-1.4,-77.15820750531542,7.389861114822772e-08
case,-1.4,-76.90278763795686,7.416914829410867e-08
case,-1.4,-76.65217074095705,7.37958596589575e-08
case,-1.4,-76.40609110272075,7.277864314027455e-08
case,-1.4,-76.1643065583835,7.113109577654402e-08
case,-1.4,-75.92659566925778,6.888024064408473e-08
case,-1.4,-75.6927553222919,6.60659270249724e-08
case,-1.4,-75.46259867554336,6.27399206673378e-08
case,-1.4,-75.2359533905971,5.896470849966423e-08
case,-1.4,-75.01266010441917,5.4812049002941706e-08
case,-1.4,-74.79257110216234,5.0361305436242354e-08
case,-1.4,-74.57554915954199,4.569760412537209e-08
case,-1.4,-74.36146652903307,4.090986396065749e-08
case,-1.4,-74.15020404863628,3.608874603645079e-08
case,-1.4,-73.94165035557546,3.132457395729256e-08
case,-1.4,-73.73570119021143,2.6705275717059624e-08
case,-1.4,-73.5322587778365,2.231439723736444e-08
case,-1.4,-73.33123127795712,1.8229235664405142e-08
case,-1.4,-73.13253229227459,1.4519137426896641e-08
case,-1.4,-72.9360804238938,1.1244001930201613e-08
case,-1.4,-72.74179888138862,8.453026700779743e-09
