structure_key,display_name,wavelength_nm,r12_normalized_output,peak_normalized_output,normalization_method,plot_normalization
bare,Bare (no MDC),428.4,0.04707799596569105,0.7968531201768202,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),428.59999999999997,0.04716013140327314,0.7982433637156928,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),428.8,0.04724167927623124,0.7996236619989461,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),429.00000000000006,0.047322636448968974,0.8009939619527455,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),429.19999999999993,0.04740299997344942,0.8023542136779319,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),429.4,0.04748276709008129,0.8037043704650206,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),429.6,0.04756193522849035,0.805044388807259,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),429.80000000000007,0.04764050200817531,0.8063742284117279,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),430.0,0.04771846523905135,0.807693852208542,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),430.2,0.04779582292187665,0.8090032263580685,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),430.4,0.04787257324856703,0.8103023202562537,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),430.6,0.04794871460239586,0.8115911065380064,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),430.8,0.04802424555807965,0.8128695610786463,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),431.0,0.04809916488175287,0.8141376629934782,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),431.2,0.048173471530829313,0.8153953946354453,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
bare,Bare (no MDC),431.4,0.048247164653752284,0.8166427415909006,fixed_physical_r12nm_box,each candidate divided by its own spectral peak
