candidate_id,family_id,top_pair_count,bottom_pair_count,top_termination_nm,bottom_termination_nm,cavity_physical_thickness_nm,spacer_cap_total_nm,target_wavelength_nm,te_tm_angle_grid_deg,wavelength_grid_nm,negative_reference_distance_flags,source_position_stability_status,normal_angle_resonance_strength_proxy,normal_cone_energy_lower_bound_proxy,normal_offaxis_proxy,offaxis_20_60_penalty,offaxis_30_40_lobe_penalty,faroffaxis_45_55_lobe_penalty,broad_40_60_faroffaxis_penalty,te_tm_mismatch_proxy,te_tm_offaxis_risk_guard,angular_fwhm_deg_proxy,spectral_center_nm_proxy,spectral_fwhm_nm_proxy,broad_fwhm_risk_guard,center_only_false_positive_risk,d5_like_risk_flag,e1_0236_like_risk_flag,hard_pass,hard_fail_reasons,v3_proxy_score
E4_0006,E0A_lower_Q_angle_stable_cavity,3,3,25,70,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.902746,0.878746,4.760051,0.095748,0.085073,0.129367,0.12547,0.325873,0.206722,6.896265,452.07,8.985846,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,7.711322
E4_0008,E0A_lower_Q_angle_stable_cavity,3,3,50,45,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.854607,0.830607,4.278921,0.091566,0.139095,0.114186,0.117239,0.056171,0.094307,6.821839,452.77,8.971029,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,6.929944
E4_0015,E0A_lower_Q_angle_stable_cavity,3,3,25,70,245,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.972801,0.948801,4.100997,0.107343,0.092079,0.17763,0.15107,0.335526,0.227295,7.618289,452.37,9.031926,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,6.225336
E4_0017,E0A_lower_Q_angle_stable_cavity,3,3,50,45,245,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.924662,0.900662,3.814549,0.100652,0.146101,0.157916,0.139959,0.064916,0.113112,7.426103,453.07,9.011926,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,5.837398
E4_0009,E0A_lower_Q_angle_stable_cavity,3,3,50,70,220,120,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.908118,0.884118,3.873527,0.122864,0.079045,0.1718,0.153643,0.167693,0.146763,7.993027,452.42,9.036557,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,5.811798
E4_0018,E0A_lower_Q_angle_stable_cavity,3,3,50,70,245,120,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.978173,0.954173,3.453967,0.135408,0.086051,0.22097,0.179969,0.177527,0.167691,8.741909,452.72,9.083944,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.797322
E4_0024,E0A_lower_Q_angle_stable_cavity,3,3,25,70,270,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.902746,0.878746,3.455598,0.132548,0.085073,0.195856,0.16771,0.339171,0.232652,8.623412,452.67,9.061878,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.751961
E4_0014,E0A_lower_Q_angle_stable_cavity,3,3,25,45,245,70,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.964206,0.940206,3.417134,0.153796,0.101725,0.199367,0.176404,0.173207,0.163184,8.488053,452.72,9.077526,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.746358
E4_0005,E0A_lower_Q_angle_stable_cavity,3,3,25,45,220,70,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.894151,0.870151,3.35642,0.156087,0.094719,0.182166,0.16943,0.169767,0.154725,8.548551,452.42,9.064974,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.580865
E4_0033,E0A_lower_Q_angle_stable_cavity,3,4,25,70,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.875246,0.818495,3.340146,0.152788,0.119223,0.164992,0.168517,0.374665,0.247903,8.435812,452.07,8.874331,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.344072
E4_0114,E0A_lower_Q_angle_stable_cavity,4,3,25,70,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.875246,0.818495,3.340146,0.152788,0.119223,0.164992,0.168517,0.374665,0.247903,8.435812,452.07,8.874331,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.344072
E4_0026,E0A_lower_Q_angle_stable_cavity,3,3,50,45,270,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.854607,0.830607,3.207566,0.125857,0.139095,0.176142,0.156599,0.068562,0.118469,8.431226,453.37,9.041877,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.320854
E4_0012,E0A_lower_Q_angle_stable_cavity,3,3,0,70,245,70,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.939471,0.915471,3.347153,0.14822,0.129483,0.185375,0.16824,0.503742,0.314667,8.288969,452.02,9.062833,0.0,medium,low,low,False,TE_TM_offaxis_risk_high;spectral_FWHM_proxy_above_8nm,4.277221
E4_0035,E0A_lower_Q_angle_stable_cavity,3,4,50,45,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.827107,0.77186,3.095097,0.146097,0.173245,0.145278,0.157406,0.104056,0.13372,8.243626,452.77,8.854331,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.068437
E4_0116,E0A_lower_Q_angle_stable_cavity,4,3,50,45,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.827107,0.77186,3.095097,0.146097,0.173245,0.145278,0.157406,0.104056,0.13372,8.243626,452.77,8.854331,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,4.068437
E4_0023,E0A_lower_Q_angle_stable_cavity,3,3,25,45,270,70,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.894151,0.870151,3.007424,0.171978,0.094719,0.210877,0.18767,0.175509,0.165922,9.294364,453.02,9.097806,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,3.791722
E4_0003,E0A_lower_Q_angle_stable_cavity,3,3,0,70,220,70,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.869416,0.845416,3.152834,0.156087,0.122477,0.178248,0.167667,0.502316,0.310136,8.611156,451.72,9.0618,0.0,medium,low,low,False,TE_TM_offaxis_risk_high;spectral_FWHM_proxy_above_8nm,3.773238
E4_0027,E0A_lower_Q_angle_stable_cavity,3,3,50,70,270,120,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.908118,0.884118,2.967383,0.159664,0.079045,0.238289,0.195883,0.180991,0.172694,9.720174,453.02,9.112589,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,3.641054
E4_0141,E0A_lower_Q_angle_stable_cavity,4,4,25,70,220,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.902746,0.867946,3.061498,0.152328,0.113873,0.20933,0.196235,0.341866,0.245107,9.412652,452.07,8.735223,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,3.618759
E4_0042,E0A_lower_Q_angle_stable_cavity,3,4,25,70,245,95,453,0:0.5:60,445:0.5:460,not_E1_0236_like;not_D5_BASE_13461_like,requires_tri_point_FDTD,0.945301,0.88636,3.053311,0.164383,0.126229,0.213255,0.194117,0.384318,0.268477,9.157836,452.37,8.920411,0.0,medium,low,low,False,spectral_FWHM_proxy_above_8nm,3.600336
