stage_name,candidate_id,source_y_offset_nm,source_y_nm,wavelength_nm,fdtd_x_span_um,gan_device_x_span_um,top_dbr_mdc_span_um,bottom_pair_count,monitor_x_span_um,monitor_y_um,monitor_y_to_pml_um,monitor_inside_pml,cavity_span_nm,termination,termination_thickness_nm,top_group_exists,bottom_group_exists,gan_cavity_group_exists,physical_x_dipole_verified,no_forbidden_integration
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,-40.0,75.0,450.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,-40.0,75.0,453.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,-40.0,75.0,456.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,-20.0,95.0,450.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,-20.0,95.0,453.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,-20.0,95.0,456.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,0.0,115.0,450.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,0.0,115.0,453.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,0.0,115.0,456.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,20.0,135.0,450.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,20.0,135.0,453.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,20.0,135.0,456.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,40.0,155.0,450.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,40.0,155.0,453.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
R1C4_RCLED_C2_cav230_source_y_robustness,R1C2_C2_cav230,40.0,155.0,456.0,20.0,3.0,8.0,0,16.0,1.8,0.40000000000000013,False,230.0,TiO2_50nm,50.0,True,True,True,True,True
