model,dimension,status,evidence,preregistration_sha256
LF_only,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,C_eta_plus1_quantitative,MARGINAL,eta_plus1_mae=0.10282003918447397,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,D_broadband_ranking,PASS,Spearman=0.961603613777527,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,E_top3_retrieval,FAIL,Top3=0.3333333333333333,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,F_top5_retrieval,PASS,Top5=1.0,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,G_champion_identification,MARGINAL,rank=4,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,H_R_T,NOT_SUPPORTED,R_mae=; T_mae=0.20682109346644195,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,I_P_S_contrast,PASS,M8 P/S contrast summary; no new target read,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,J_worst_case_physics,NOT_SUPPORTED,worst_order=0.08187879087397647; energy_max=,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_only,K_angular_generalization,NOT_SUPPORTED,training and OOF support only u_x=0; no angular evidence,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,A_normal_incidence_domain,PASS,all OOF inputs remain u_x=0; domain identity only,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,B_full_order_contract,PASS,all tracked m=-3..+3 orders and bookkeeping present,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,C_eta_plus1_quantitative,MARGINAL,eta_plus1_mae=0.10007195794652829,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,D_broadband_ranking,PASS,Spearman=0.961603613777527,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,E_top3_retrieval,FAIL,Top3=0.3333333333333333,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,F_top5_retrieval,PASS,Top5=1.0,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
LF_global_bias,G_champion_identification,MARGINAL,rank=4,0ee8251bff8ca4b6c3cdb982f1fc9a2387caf6e3cd370ccfe9dc6e551080bf91
