transition,model,geometry_count,order_profile_mae_before,order_profile_mae_after,eta_plus1_mae_before,eta_plus1_mae_after,median_delta_order,improved_geometry_count,degraded_geometry_count
HF13_common,LF_global_bias,286,0.11473655250522981,0.045969393074035005,0.13666542329029138,0.09427692681449186,,,
HF13_common,LF_affine,286,0.11473655250522981,0.04684947393178703,0.13666542329029138,0.09638894672792167,,,
HF13_common,LF_ridge_residual,286,0.11473655250522981,0.04194468034373424,0.13666542329029138,0.08092647034963033,,,
HF13_common,LF_paired_shared_contrast,286,0.11473655250522981,0.056607452418555915,0.13666542329029138,0.14126891615935064,,,
HF13_common,direct_mlp,286,0.11473655250522981,0.08193686508404117,0.13666542329029138,0.23718347660931285,,,
HF13_common,resmlp,286,0.11473655250522981,0.07160486789505062,0.13666542329029138,0.20177182730037668,,,
HF13_common,corrected_residual_mlp,286,0.11473655250522981,0.04924282323783301,0.13666542329029138,0.12289596351299263,,,
HF13_common,circular_cnn,286,0.11473655250522981,0.06424043949895764,0.13666542329029138,0.1408437031931358,,,
HF13_common,LF_only,286,0.11473655250522981,0.04290870545788542,0.13666542329029138,0.10621356384419711,,,
HF16_common,LF_affine,16,0.048714130669462744,0.047893804274888485,,,-0.00024268894519025377,10,6
HF16_common,LF_global_bias,16,0.04800900436400395,0.047338550525936635,,,-0.00038975479267263496,9,7
HF16_common,LF_only,16,0.04582503690053191,0.04582503690053191,,,0.0,0,0
HF16_common,LF_paired_shared_contrast,16,0.054774807612916615,0.044231960016501565,,,-0.0010124455255063614,9,7
HF16_common,LF_ridge_residual,16,0.04115915440163732,0.04142773154815928,,,-0.0010413460458306156,9,7
HF16_common,circular_cnn,16,0.06049325902152192,0.04668395597759913,,,-0.0048739468122731295,12,4
HF16_common,corrected_residual_mlp,16,0.046649491586330916,0.04764377439965385,,,-0.0001681208830202896,9,7
HF16_common,direct_mlp,16,0.07909136824816691,0.06922093393509596,,,-0.005293143921601889,14,2
HF16_common,resmlp,16,0.0690020595339955,0.05565051828722736,,,-0.008873828110634719,14,2
HF20_common,LF_only,20,,,,,0.0,0,0
HF20_common,LF_global_bias,20,,,,,-0.00018284986797775966,12,8
HF20_common,LF_affine,20,,,,,-0.00014548997644325476,11,9
HF20_common,LF_ridge_residual,20,,,,,-6.632101664928898e-05,10,10
HF20_common,LF_paired_shared_contrast,20,,,,,-0.0010869266902411232,13,7
HF20_common,corrected_residual_mlp,20,,,,,3.8982507212487194e-05,10,10
HF20_common,direct_mlp,20,,,,,-0.00036243934239438974,12,8
HF20_common,resmlp,20,,,,,0.001990263427211352,6,14
HF20_common,circular_cnn,20,,,,,9.146450498758417e-05,8,12
