hf_geometry_count,view,model,order_profile_mae,eta_plus1_mae,ranking_spearman,top3_recall,top5_recall,champion_rank,worst_order_profile_mae,physics_energy_residual_max
13,HF13_M5B_replay_baseline,M5B_corrected_no_refit_residual_mlp,0.059898191045734024,0.14731592369530458,0.8241758241758241,0.3333333333333333,1.0,5,0.17396165897757213,0.052726347036880554
16,M7_global,LF_only,0.04582503690053191,0.09567417415160709,0.9558823529411766,0.6666666666666666,0.8,3,0.08187879087397647,
16,M7_global,LF_global_bias,0.04800900436400395,0.08921874972768302,0.9558823529411766,0.6666666666666666,0.8,3,0.07982282350585773,0.0062874791529407
16,M7_global,LF_affine,0.048714130669462744,0.0906697380184189,0.9558823529411766,0.6666666666666666,0.8,3,0.07790560509704873,0.014791045013228477
16,M7_global,LF_ridge_residual,0.04115915440163732,0.07403266529177926,0.9352941176470588,0.6666666666666666,0.8,5,0.07609593018406462,0.18128315563583186
16,M7_global,LF_paired_shared_contrast,0.054774807612916615,0.1323302854561272,0.9352941176470588,0.6666666666666666,0.8,5,0.19023056861060067,0.32331460840728754
16,M7_global,corrected_residual_mlp,0.046649491586330916,0.11106432340543132,0.9088235294117648,0.6666666666666666,0.8,5,0.10721484865304612,0.34806487833460176
16,M7_global,direct_mlp,0.07909136824816691,0.21575563374762688,0.611764705882353,0.0,0.4,7,0.2293303024091009,0.5963708199719986
16,M7_global,resmlp,0.0690020595339955,0.18356284506808135,0.6882352941176471,0.0,0.6,5,0.21879759525616016,0.2549261193101605
16,M7_global,circular_cnn,0.0604932590215219,0.12229476036659151,0.8441176470588234,0.3333333333333333,0.6,7,0.1518269834619305,0.6307630810606761
20,M8_global,LF_only,0.04623794968285346,0.10408609509222434,0.9518796992481202,0.3333333333333333,1.0,4,0.08187879087397647,
20,M8_global,LF_global_bias,0.048299491650116134,0.10091887182628294,0.9518796992481202,0.3333333333333333,1.0,4,0.0799947329723713,0.004914369637911364
20,M8_global,LF_affine,0.04882360895862108,0.10157302204453147,0.9518796992481202,0.3333333333333333,1.0,4,0.0777045808555596,0.011561481219423908
20,M8_global,LF_ridge_residual,0.042515612785674124,0.08279965374730602,0.9533834586466164,0.6666666666666666,0.8,4,0.10246489041985626,0.1062483795327156
20,M8_global,LF_paired_shared_contrast,0.04441971446165779,0.0944350288541575,0.9533834586466164,0.6666666666666666,0.8,4,0.1027518587956122,0.2718367452688649
20,M8_global,corrected_residual_mlp,0.04708504503829395,0.08983317142790581,0.9428571428571428,0.6666666666666666,0.8,6,0.1086228816321646,0.21001016845305764
20,M8_global,direct_mlp,0.07142670191366766,0.1472148431013246,0.8646616541353382,0.3333333333333333,0.8,5,0.1741466136228893,0.5104699191003931
20,M8_global,resmlp,0.055300283224724925,0.1092866686362926,0.9037593984962405,0.3333333333333333,0.8,4,0.12054091569357196,0.2466606900367575
20,M8_global,circular_cnn,0.04779692184796682,0.07963488812837809,0.9338345864661652,0.3333333333333333,1.0,5,0.13853045650046686,0.41287712248979286
22,M9_global,LF_only,0.04717230430459275,0.10282003918447397,0.961603613777527,0.3333333333333333,1.0,4,0.08187879087397647,
22,M9_global,LF_global_bias,0.048715090403958355,0.10007195794652829,0.961603613777527,0.3333333333333333,1.0,4,0.0794627760645432,0.004423535662959277
22,M9_global,LF_affine,0.049133755105161304,0.10056089485244013,0.961603613777527,0.3333333333333333,1.0,4,0.07755250705220168,0.01041476591526036
22,M9_global,LF_ridge_residual,0.03959545901098702,0.07398736855721384,0.9503105590062113,0.6666666666666666,1.0,5,0.061894112635653926,0.07293284068093486
22,M9_global,LF_paired_shared_contrast,0.04062166824566548,0.07804380893632425,0.9503105590062113,0.6666666666666666,1.0,5,0.061055677645861624,0.23909284087331095
22,M9_global,corrected_residual_mlp,0.04585997623743484,0.08366745811930203,0.9503105590062113,0.6666666666666666,1.0,5,0.11001911566174276,0.2500185134510199
22,M9_global,direct_mlp,0.060588731565287844,0.1083770683050214,0.8949745906267645,0.3333333333333333,0.8,5,0.13743044829211798,0.523123831310876
22,M9_global,resmlp,0.05220053354609016,0.1121005067874771,0.8825522303783175,0.3333333333333333,0.6,6,0.1233460145435053,0.2822176336097377
22,M9_global,circular_cnn,0.044678952907849186,0.07220116628663456,0.9390175042348957,0.3333333333333333,0.8,6,0.12182611569684977,0.396271248961143
