model,order_profile_mae,eta_plus1_mae,eta_0_mae,eta_minus1_mae,R_mae,T_mae,max_abs_error,worst_geometry_order_profile_mae,ranking_spearman,top3_recall,top5_recall,true_champion_predicted_rank,negative_power_violation_rate,energy_residual_max
LF_only,0.04717230430459275,0.10282003918447397,0.07639677049390142,0.019497783759342052,,0.20682109346644195,0.6557896290295082,0.08187879087397647,0.961603613777527,0.3333333333333333,1.0,4,0.0,
LF_global_bias,0.048715090403958355,0.10007195794652829,0.08170336182609002,0.020196669342885557,0.09889386256270993,0.10007707659712184,0.5887534406667105,0.0794627760645432,0.961603613777527,0.3333333333333333,1.0,4,0.3358913813459268,0.004423535662959277
LF_affine,0.049133755105161304,0.10056089485244013,0.08246574857726222,0.020592595545486734,0.09922113178585217,0.10092795351190173,0.5831701063745834,0.07755250705220168,0.961603613777527,0.3333333333333333,1.0,4,0.3090318772136954,0.01041476591526036
LF_ridge_residual,0.03959545901098702,0.07398736855721384,0.08565414227322742,0.02837598849069312,0.06626821074432244,0.06893084369415708,0.49151468265954873,0.061894112635653926,0.9503105590062113,0.6666666666666666,1.0,5,0.08913813459268005,0.07293284068093486
LF_paired_shared_contrast,0.04062166824566548,0.07804380893632425,0.08592697553817982,0.0287777496817402,0.06626821074432243,0.06220102822862851,0.4851134854320377,0.061055677645861624,0.9503105590062113,0.6666666666666666,1.0,5,0.10478158205430933,0.23909284087331095
corrected_residual_mlp,0.04585997623743484,0.08366745811930203,0.10906352189300028,0.025413517840081754,0.061018126478860055,0.07621492440363181,0.5175274678638251,0.11001911566174276,0.9503105590062113,0.6666666666666666,1.0,5,0.11511216056670602,0.2500185134510199
direct_mlp,0.060588731565287844,0.1083770683050214,0.15431807854195606,0.03674705127902406,0.05865543395907957,0.19481844901460094,0.5760200226399333,0.13743044829211798,0.8949745906267645,0.3333333333333333,0.8,5,0.0,0.523123831310876
resmlp,0.05220053354609016,0.1121005067874771,0.11872501760154305,0.041933373754491826,0.058961770256913,0.09621760172314868,0.6670330064822232,0.1233460145435053,0.8825522303783175,0.3333333333333333,0.6,6,0.0,0.2822176336097377
circular_cnn,0.044678952907849186,0.07220116628663456,0.0894893527505462,0.035576168794639415,0.06221050685099664,0.16031418172693954,0.40692337990792504,0.12182611569684977,0.9390175042348957,0.3333333333333333,0.8,6,0.0,0.396271248961143
