geometry_uid,exact_hash,D_nm,J1_side_nm,J2_length_nm,J2_width_nm,Psi_deg,H_global,wavelength_nm,Re_txx,Im_txx,Re_txy,Im_txy,Re_tyx,Im_tyx,Re_tyy,Im_tyy,phi_txx,projector_error,Txx,Txy,Tyx,Tyy,full_jones_frobenius_norm,full_jones_finite,throughput_x,throughput_y,throughput,x_accepted,y_accepted,full_jones_accepted,source_stage,case_uid_x,case_uid_y,attempt_uid_x,attempt_uid_y,solver_entered,solver_replay,model_fill,ml_eligible,ml_admitted,split
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,450.0,0.4322423997843253,0.8648967095105952,0.00698886945292703,-0.005085424618425284,0.006891160917868166,-0.005016296356364116,0.2908381335596303,0.3942279476196194,63.445864784962055,0.2043776932063308,0.9348798102935674,7.470583977974251e-05,7.265132793082553e-05,0.24000249461682668,1.0839878514439656,True,0.9349524616214983,0.24007720045660647,0.5875148310390523,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,450.5,0.5464839522791259,0.22471690663475813,0.013648394143572497,-0.021372794529117826,0.013497614387841262,-0.021386387919344763,0.2971699868745947,0.337157904881773,22.352707471968415,0.3679656626164024,0.3491423982261086,0.0006430750086821929,0.0006395631823995551,0.20198545392331352,0.743243224214324,True,0.3497819614085082,0.20262852893199565,0.2762052451702519,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,451.0,-0.03706873184364904,0.022796073480470105,0.00438274343680777,-0.0284508136941627,0.006762932524665377,-0.0446867724281547,0.31475681146974294,0.28799403398401124,148.40982629507607,0.9898609191600587,0.001893751846623353,0.0008286572398928374,0.002042644886378864,0.1820124139769831,0.4321775884400742,True,0.003936396733002218,0.18284107121687596,0.09338873397493909,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,451.5,-0.28369892121974644,0.26101680740586186,-0.004820262189629502,-0.022698496279220846,-0.004846283093215343,-0.022545345638877202,0.3153099774258965,0.2542547967079484,137.38443463139282,0.5263286318244331,0.1486148516495967,0.0005384566609145744,0.0005317790697960241,0.16406588351331955,0.5601347792215967,True,0.1491466307193927,0.16460434017423414,0.1568754854468134,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,452.0,-0.3146055056154363,0.46657204009483305,-0.009480855914325412,-0.019952804072172942,-0.009482871540463794,-0.019709439891283168,0.2963622567631639,0.20926637064510623,123.99144845208593,0.29513137711014537,0.31666609276179875,0.0004880010192107203,0.0004783868734810424,0.13162300111673048,0.6702652324052181,True,0.3171444796352799,0.13211100213594115,0.22462774088561055,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,452.5,-0.27670605561021433,0.6006850754400072,-0.008923927008487523,-0.01830313560848828,-0.008897694673788571,-0.018117110930086656,0.28116877787749767,0.15413110645023764,114.73319814439441,0.1915524782654755,0.43738880106773004,0.00041464124635552473,0.00040739867896103085,0.10281227962870008,0.7355427388138278,True,0.4377961997466913,0.10322692087505564,0.2705115603108735,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,453.0,-0.21898807964290823,0.6904726952074606,-0.008102125078624076,-0.014317421745274434,-0.008029361223517396,-0.014174206777971168,0.2655215409508568,0.11368399532902168,107.5967760154083,0.1379429595521442,0.5247083218527434,0.0002706329962217265,0.00026537877944240854,0.08342573950288654,0.7801731045936499,True,0.524973700632186,0.08369637249910823,0.3043350365656471,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,453.5,-0.1576910407140222,0.7518659787373277,-0.00992544075996672,-0.011719885703985989,-0.009823863510487037,-0.011523819364839767,0.22974266343788113,0.08327962268775241,101.84512164513711,0.09253824170199076,0.5901689143041112,0.0002358700951941039,0.00022930670702613466,0.05971718695854593,0.806443598812017,True,0.5903982210111373,0.05995305705374004,0.3251756390324386,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R01,d82580d54111ea9bfd110ba4078c726ecc17343f61807c2e396a4571f37e73b0,207.0024154448445,113.0,103.0,97.0,0.27678905217775984,550.0,454.0,-0.09578103082020942,0.7927325238416438,-0.010457950026760768,-0.011980124012635913,-0.010329913355943127,-0.011751769823289498,0.18244615094895347,0.04564924039364451,96.88930443226923,0.0532589624404336,0.6375988602213244,0.00025289209012036116,0.0002448112039208699,0.03537045114460507,0.8206503607870838,True,0.6378436714252453,0.03562334323472543,0.33673350732998536,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R01_Px,H1C1C_H1C1C_R01_Py,H1C1C_H1C1C_R01_Px_attempt_004,H1C1C_H1C1C_R01_Py_attempt_003,True,False,NONE,True,False,UNASSIGNED
H1C1C_R02,168183f772de0c0e5e702d4e995a2ad592396ff647434e2a6e3935f5bdf6ff73,196.01020381602586,108.0,107.0,98.0,0.5846305207051778,550.0,450.0,0.28146149685057037,0.9297788968004279,-0.006146191207396767,0.003131430145366109,-0.006068477131204734,0.0031069097811396796,0.2771542963623845,0.07904769448734417,73.15795248467481,0.08098141767060063,0.9437093711447846,4.7581521113188934e-05,4.6479303080096244e-05,0.08306304199589296,1.0133442031041924,True,0.9437558504478649,0.08311062351700617,0.5134332369824356,True,True,True,H1C1C_PHASE_GAP_BROADBAND,H1C1C_H1C1C_R02_Px,H1C1C_H1C1C_R02_Py,H1C1C_H1C1C_R02_Px_attempt_003,H1C1C_H1C1C_R02_Py_attempt_002,True,False,NONE,True,False,UNASSIGNED
