source_pool_sample_index,L1_nm,W1_nm,L2_nm,W2_nm,D_nm,delta_theta_deg,delta_theta_reduction_vs_IAR4_deg,delta_L1_nm,delta_W1_nm,delta_L2_nm,delta_W2_nm,delta_D_nm,direct_clearance_nm,periodic_image_clearance_nm,minimum_clearance_nm,minimum_headroom_over_60_nm,normalized_6d_distance_from_IAR4,geometry_hash_sha256,recomputed_current_rule_pass,stored_vs_recomputed_clearance_match,source,geometry_distance_rank
10018,260,88,202,80,210,81.527013928,1.293895393,1,1,-1,1,0,60.208646604211,72.208646604211,60.208646604211,0.208646604211,0.056943092047,4782031e361370078232f79befe11fe8b0f76a43dad818c87f1a1146a9d21005,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,1
4430,256,87,203,80,211,82.366468012,0.454441309,-3,0,0,1,1,61.586037412714,71.586037412714,61.586037412714,1.586037412714,0.060725589291,f13b01033249de1c8f94a326d086b97541179edfa5c6144120766fd48bd58eda,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,2
14610,261,88,203,78,211,82.679347247,0.141562074,2,1,0,-1,1,61.357906122862,71.357906122862,61.357906122862,1.357906122862,0.061036766837,938ebfced3ad14aeaf5e14f4a75a57488670f1cc808cbee9a413113a7d1ed1a3,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,3
10774,259,87,202,79,213,82.259169370,0.561739951,0,0,-1,0,3,64.100017960265,70.100017960265,64.100017960265,4.100017960265,0.063102238764,65d7e49b6d81e79dcc46b005b9fda972b422637aaba942d6eafa48ba4ac97b54,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,4
12706,260,87,201,80,211,80.533374399,2.287534922,1,0,-2,1,1,61.789728950950,71.789728950950,61.789728950950,1.789728950950,0.063242001879,4c8113289b43553a21a75149a7580db303def45d457574271efc3dc5e3bdf477,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,5
7878,257,87,201,80,210,80.826416910,1.994492411,-2,0,-2,1,0,60.908365947089,72.908365947089,60.908365947089,0.908365947089,0.063833807372,14a938d37fa013d9623438c4603ce36945edc865f79fbbe1a2d3f9822835dffd,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,6
15970,260,88,201,79,212,82.109492272,0.711417049,1,1,-2,0,2,63.028934282373,71.028934282373,63.028934282373,3.028934282373,0.065995275345,9a9405cc25c205472fba911ae1b9fb2d80bcae71e5ebeef3197dac08936ab18e,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,7
3586,259,88,200,79,210,81.354795098,1.466114223,0,1,-3,0,0,61.198732312868,73.198732312868,61.198732312868,1.198732312868,0.066804940782,2a33b0eec1ef797dfef2d5659b7d803a5afb00be12d76693fdcb55542e268860,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,8
13586,261,87,200,79,209,80.670428127,2.150481194,2,0,-3,0,-1,60.419313196773,74.419313196773,60.419313196773,0.419313196773,0.069982239697,380cebcaff1031ed2739dab280810637835a93bdc0e6e210985b58a3e75a4640,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,9
12994,260,87,203,77,210,81.413403600,1.407505721,1,0,0,-2,0,60.389474153935,72.389474153935,60.389474153935,0.389474153935,0.077081678701,58e7ccae63750cbb99f2520265a88c0ca923094531d8244137410e280a16ecf7,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,10
2854,258,87,203,77,210,81.174461245,1.646448076,-1,0,0,-2,0,60.294837741602,72.294837741602,60.294837741602,0.294837741602,0.077663852248,72a1bdba98d1b59395619e5df57adf7cb8cf3007cf66777fd8759b6499710c8d,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,11
11894,258,89,201,79,210,82.006701976,0.814207345,-1,2,-2,0,0,60.483661663998,72.483661663998,60.483661663998,0.483661663998,0.078154143325,8f62462ad50d05346da062cae8a32911edba9e3a68450170d697d144c303e29b,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,12
6774,258,87,199,79,209,81.035604179,1.785305142,-1,0,-4,0,-1,61.060440019454,75.060440019454,61.060440019454,1.060440019454,0.080563664072,9f798c2fa01161bac772050f2fda874ef2ba0287657cdc7ca8b2dcba30fd5ec2,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,13
1926,257,88,200,78,209,82.346631288,0.474278033,-2,1,-3,-1,-1,60.696803328442,74.696803328442,60.696803328442,0.696803328442,0.082687380745,b45bb8696f4b47a77ffc861ca95855f5a402a7c94ef6eac36fbea9dd7fee9577,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,14
2458,263,87,202,78,212,81.304301619,1.516607702,4,0,-1,-1,2,62.764693086329,70.764693086329,62.764693086329,2.764693086329,0.083422293134,4f4c8e7d18fe6477a8ba63d1c80de03feb35ce68fb6a4ecfc0c62dd6ce57f70c,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,15
12938,263,88,202,79,212,80.605507940,2.215401381,4,1,-1,0,2,61.906997091998,69.906997091998,61.906997091998,1.906997091998,0.083789089333,c48ebb255544b7eda0f48b1834476f5e9e2b9f7646b328ba47930abd28758be8,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,16
6034,261,89,201,79,211,82.229414284,0.591495037,2,2,-2,0,1,61.582179336172,71.582179336172,61.582179336172,1.582179336172,0.084258765522,92b7816068a3c50b93ae2b225f5a4c3ce0a29229d8b879742f9d2b8a79b8a33d,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,17
14310,257,88,200,78,211,81.117656082,1.703253239,-2,1,-3,-1,1,62.177419243505,72.177419243505,62.177419243505,2.177419243505,0.084661618188,7ff2b620666c100e64cf480f11fa0f760b9826b9411a0a95eb04f1d2de4548cf,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,18
4710,257,89,202,79,212,82.467454970,0.353454351,-2,2,-1,0,2,62.193544899154,70.193544899154,62.193544899154,2.193544899154,0.085105599446,2826c0a740556bd584d04514e69b5d8c826dda934e43b8256f433917bbeae121,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,19
4314,263,88,201,80,210,81.875959933,0.944949388,4,1,-2,1,0,60.855908147661,72.855908147661,60.855908147661,0.855908147661,0.085588971534,3ed900557867d51bf26f5c8a2a5188191d3c6e0970d821822760448b5f7997ff,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,20
2810,262,87,203,80,213,80.395419001,2.425490320,3,0,0,1,3,62.748852731302,68.748852731302,62.748852731302,2.748852731302,0.087111411328,4ac84fe9eb4a36b1c431bd1041cfccf26ec5a007abb2d64c4d8020abc4478960,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,21
6422,259,87,199,78,210,80.097868144,2.723041177,0,0,-4,-1,0,61.775594222453,73.775594222453,61.775594222453,1.775594222453,0.088171066058,ce48a32d3da8b1dcc607cb20bdef6b0f5b4bc08f0059a024ec02bbb972244754,True,True,integrated_feasible_pool.csv; current inherited geometry-only pool; no optical metric,22
