wavelength_nm,ux_target,ux_reconstructed,abs_error,kx_over_k0
445,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
446,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
447,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
448,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
449,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
450,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
451,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
452,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
453,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
454,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
455,-0.48275862068965514,-0.48275862068965514,0.0,-0.48275862068965514
