mode,wavelength_nm,T_up,R_down,A_or_loss_proxy,T_norm
pol0_angle0,438.0,0.43503187298990487,0.5630722302391895,0.0018958967709056251,0.44312510417222084
pol0_angle0,438.46844919786093,0.4259105882164067,0.5714038230614408,0.002685588722152521,0.4338341291508696
pol0_angle0,438.93790149892936,0.4179601053884787,0.5793205428561238,0.0027193517553975033,0.4257357374005557
pol0_angle0,439.4083601286174,0.41152711852897317,0.5865054910917168,0.001967390379310041,0.4191830727586179
pol0_angle0,439.87982832618025,0.40685762859085234,0.5924338237214899,0.0007085476876578234,0.41442671272219145
pol0_angle0,440.35230934479057,0.40399502092908324,0.5965603874537805,-0.0005554083828637202,0.41151084977723645
pol0_angle0,440.8258064516129,0.4027544793564795,0.5985267167281728,-0.0012811960846522696,0.4102472294594609
pol0_angle0,441.30032292787945,0.4027886535595902,0.5983078370513631,-0.0010964906109532935,0.41028203943145064
pol0_angle0,441.7758620689655,0.40372553575469355,0.5962364210507528,3.804319455358307e-05,0.4112363511637129
pol0_angle0,442.252427184466,0.4053306642957086,0.5928846659399403,0.001784669764351099,0.412871341140559
pol0_angle0,442.7300215982721,0.4076331722297198,0.5888381470835383,0.0035286806867419473,0.4152166843934653
pol0_angle0,443.20864864864865,0.4109646197988019,0.5844407162616557,0.004594663939542332,0.41861010943367627
pol0_angle0,443.68831168831167,0.415889009472121,0.5796070468083507,0.004503943719528225,0.42362611130033667
pol0_angle0,444.16901408450707,0.42304237380268783,0.5737806307923394,0.003176995404972738,0.43091255514726334
pol0_angle0,444.6507592190889,0.43293678106054306,0.5660642633422162,0.000998955597240725,0.4409910356427861
pol0_angle0,445.1335504885994,0.44580266146991776,0.5554844781378524,-0.0012871396077701602,0.4540962698811146
pol0_angle0,445.61739130434773,0.4615363590601675,0.5412954361986985,-0.00283179525886601,0.47012267350017867
pol0_angle0,446.1022850924918,0.4797867698792476,0.5232042598669033,-0.0029910297461509527,0.48871261069215627
pol0_angle0,446.5882352941176,0.5001651623611059,0.5014210946330044,-0.0015862569941103022,0.5094701180198904
pol0_angle0,447.07524536532173,0.5225118807873219,0.4764994651913288,0.000988654021349289,0.5322325695673292
pol0_angle0,447.5633187772926,0.5471204137013318,0.4490157948815006,0.0038637914171675836,0.5572989138701044
pol0_angle0,448.0524590163934,0.574816823290539,0.4192112285676027,0.005971948141858363,0.5855105809832833
pol0_angle0,448.54266958424506,0.6068251790402699,0.38675439154751895,0.006420429412211159,0.6181144126945064
pol0_angle0,449.0339539978094,0.6444105045630028,0.35076213408155915,0.004827361355438098,0.6563989668195654
pol0_angle0,449.5263157894736,0.6883630488674095,0.3101376555948253,0.0014992955377651773,0.7011691939747983
pol0_angle0,450.01975850713495,0.7384495332376436,0.26417340903605263,-0.0026229422736962493,0.7521874755817078
pol0_angle0,450.5142857142857,0.7929880392672242,0.2132563402545398,-0.00624437952176396,0.8077406032172915
pol0_angle0,451.00990099009897,0.8486910619524829,0.15944479726075592,-0.00813585921323881,0.8644799119039578
pol0_angle0,451.5066079295154,0.900865920759667,0.10668859562797622,-0.007554516387643206,0.9176254195772332
pol0_angle0,452.00441014332966,0.9439760799054558,0.06054332394632856,-0.004519403851784405,0.9615375900374469
pol0_angle0,452.50331125827813,0.9724734378075819,0.02736829780545609,0.00015826438696202316,0.9905651061185633
pol0_angle0,453.003314917127,0.9817360129089627,0.013154643860763711,0.0051093432302735595,1.0
pol0_angle0,453.5044247787611,0.968909181543588,0.02225667274355981,0.00883414571285223,0.9869345412649498
