mode,polarization_angle_deg,status,runtime_seconds,case_fsp,case_fsp_bytes
pol0_angle0,0.0,reused,0.13469860004261136,D:\project\blue_apcd_microled_metasurface\outputs\stage_rcled_mdc_blue_oujizi_2d_plane_wave_spectrum\rcled_mdc_blue_oujizi_2d_plane_wave_spectrum_pol0_angle0.fsp,1479136
pol90_angle90,90.0,reused,0.15978859993629158,D:\project\blue_apcd_microled_metasurface\outputs\stage_rcled_mdc_blue_oujizi_2d_plane_wave_spectrum\rcled_mdc_blue_oujizi_2d_plane_wave_spectrum_pol90_angle90.fsp,1479136
