order_index,object_name,material,z_min_nm,z_max_nm,thickness_nm,role
-1,GaN_continuous_region,GaN_450nm_n2p56_custom,-1200.0,0.0,1200.0,source_side_medium
0,DBR_00_sio222,sio222,0.0,100.0,100.0,MDC_blue_oujizi_DBR
1,DBR_00_tio22,tio22,100.0,152.0,52.0,MDC_blue_oujizi_DBR
2,DBR_01_sio222,sio222,152.0,252.0,100.0,MDC_blue_oujizi_DBR
3,DBR_01_tio22,tio22,252.0,304.0,52.0,MDC_blue_oujizi_DBR
4,DBR_02_sio222,sio222,304.0,404.0,100.0,MDC_blue_oujizi_DBR
5,DBR_02_tio22,tio22,404.0,456.0,52.0,MDC_blue_oujizi_DBR
6,DBR_03_sio222,sio222,456.0,556.0,100.0,MDC_blue_oujizi_DBR
7,DBR_03_tio22,tio22,556.0,608.0,52.0,MDC_blue_oujizi_DBR
8,DBR_04_sio222,sio222,608.0,708.0,100.0,MDC_blue_oujizi_DBR
9,DBR_04_tio22,tio22,708.0,760.0,52.0,MDC_blue_oujizi_DBR
10,DBR_05_sio222,sio222,760.0,860.0,100.0,MDC_blue_oujizi_DBR
11,DBR_05_tio22,tio22,860.0,912.0,52.0,MDC_blue_oujizi_DBR
12,DBR_06_sio222,sio222,912.0,1012.0,100.0,MDC_blue_oujizi_DBR
13,DBR_06_tio22,tio22,1012.0,1064.0,52.0,MDC_blue_oujizi_DBR
14,DBR_07_sio222,sio222,1064.0,1164.0,100.0,MDC_blue_oujizi_DBR
15,DBR_07_tio22,tio22,1164.0,1216.0,52.0,MDC_blue_oujizi_DBR
16,DBR_08_sio222_terminal,sio222,1216.0,1316.0,100.0,MDC_blue_oujizi_DBR
999,air_output_region,air,1316.0,2400.0,1084.0,output_side_medium
