metric,wavelength_nm,source_position,value,note
verified_center_only_window_nm,420-480,center,420-480,20 deg incoherent L_out dominance verified over sampled center-only no-DBR PSI99 range
center_total_power_max_20deg,424,center,1.129805e-10,maximum total cone power at 20 deg
center_usable_L_power_max_20deg,422,center,9.180541e-11,maximum usable L_out power at 20 deg
center_cp_selectivity_max_20deg,420,center,0.817724,maximum L_fraction at 20 deg
offcenter_usable_L_power_max_20deg,480.0,x_plus_q,5.159875e-11,maximum off-center usable L_out power at 20 deg
offcenter_best_min_retention_20deg,480.0,x_minus_q/x_plus_q,0.69386,best worst-position retention relative to center
offcenter_worst_L_fraction_20deg,420.0,x_plus_q,0.6928,all off-center rows remain L_out dominant; this is the closest-to-threshold row
