case_id,wavelength_nm,T_total,R_signed_monitor,R_total,closure,signed_closure_residual,sourcepower_W,raw_transmitted_power_W,raw_reflected_power_W,normalization_path,transmitted_order_sum,transmitted_order_sum_mismatch,eta_plus1,eta_0,eta_minus1,non_target_efficiency,directionality,eta_plus1_over_minus1,plus1_transmitted_fraction,plus1_air_side_angle_deg,transmitted_order_count,raw_power_origin,transmission_power_normalization_mismatch,reflection_power_normalization_mismatch,source_case_id,frequency_hz,geometry_id,geometry_hash,polarization,generator_id,interface_stack_id,quality_gate_pass,training_label,provisional_hf_label,diagnostic_only,pilot_scope_only,bulk_mdc_compatible,candidate_performance_label
RUN3C_P_PILOT_HF_V1,445,0.7714685754729051,-0.2274249850221656,0.2274249850221656,0.9988935604950707,0.001106439504929252,9.406179484425252e-16,7.256571887492013e-16,-2.139200228361214e-16,monitor_T_and_order_sum,0.7714685754729053,1.1102230246251565e-16,0.6718526258097849,0.05551371459157115,0.0004979075063314866,0.09961594966312026,0.9992594525003561,1349.3522737986052,0.8708749094516827,14.817860402183731,7,direct_getdata_power,-1.1102230246251565e-16,2.7755575615628914e-17,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,673690916853932.5,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,446,0.7683377425907277,-0.23090959487893675,0.23090959487893675,0.9992473374696644,0.0007526625303355128,9.406820787279247e-16,7.227615448653667e-16,-2.1721251770894115e-16,monitor_T_and_order_sum,0.7683377425907277,0.0,0.6656996021966244,0.0545606080036974,0.0006319729582451568,0.10263814039410335,0.9990515638432739,1053.3672264160143,0.866415334423086,14.85192444636312,7,direct_getdata_power,-1.1102230246251565e-16,2.7755575615628914e-17,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,672180399103139.0,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,447,0.7640762197468066,-0.2345670185918354,0.2345670185918354,0.998643238338642,0.0013567616613579803,9.407457805215036e-16,7.188014797236296e-16,-2.2066793298977824e-16,monitor_T_and_order_sum,0.7640762197468066,0.0,0.6647124616768313,0.049179713859199996,0.0007048431604870594,0.09936375806997533,0.9989407501798299,943.0643566399976,0.8699556987876135,14.885993861861795,7,direct_getdata_power,1.1102230246251565e-16,0.0,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,670676639821029.0,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,448,0.5017703282746444,-0.4937159041124496,0.4937159041124496,0.995486232387094,0.004513767612906006,9.408090576289273e-16,4.720700696902257e-16,-4.644923944844475e-16,monitor_T_and_order_sum,0.5017703282746444,0.0,0.4369482676175689,0.0259399392707764,0.0024840249074800126,0.06482206065707552,0.994347195347874,175.90333587308635,0.8708132844762493,14.92006866327333,7,direct_getdata_power,1.1102230246251565e-16,0.0,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,669179593750000.0,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,449,0.6616737715478084,-0.33701386585977394,0.33701386585977394,0.9986876374075824,0.0013123625924176818,9.408719138137385e-16,6.225502677565408e-16,-3.17086880953252e-16,monitor_T_and_order_sum,0.6616737715478085,1.1102230246251565e-16,0.5178569668483581,0.04611304287971799,0.0013932232793238324,0.14381680469945024,0.9973168555239601,371.69703846729266,0.782646961563809,14.95414886521045,7,direct_getdata_power,0.0,5.551115123125783e-17,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,667689216035634.8,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,450,0.7381864216043362,-0.26091204471616586,0.26091204471616586,0.999098466320502,0.0009015336794979123,9.409343527979162e-16,6.945849628564859e-16,-2.455011059321865e-16,monitor_T_and_order_sum,0.7381864216043362,0.0,0.6201621630612836,0.05223277541798286,0.002896089500717282,0.11802425854305265,0.9953518158393558,214.13777540634928,0.8401159177561884,14.988234482305128,7,direct_getdata_power,0.0,0.0,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,666205462222222.1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,451,0.7464590563065906,-0.25286568086009514,0.25286568086009514,0.9993247371666858,0.0006752628333142607,9.409963782624261e-16,7.024152685056901e-16,-2.3794568987621203e-16,monitor_T_and_order_sum,0.7464590563065906,0.0,0.6326530886533821,0.04895231969460795,0.0037148946668496244,0.1138059676532085,0.9941623482572658,170.30175695126684,0.8475389015757814,15.022325529208606,7,direct_getdata_power,0.0,0.0,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,664728288248337.0,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,452,0.7514025843662324,-0.24808230779419996,0.24808230779419996,0.9994848921604323,0.0005151078395676245,9.410579938477605e-16,7.071134086157093e-16,-2.3345983888193243e-16,monitor_T_and_order_sum,0.7514025843662324,0.0,0.6405808746985518,0.045599230067421274,0.004565687213575243,0.11082170966768057,0.9929230232584002,140.30327631597294,0.8525135367199292,15.056422020591514,7,direct_getdata_power,0.0,2.7755575615628914e-17,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,663257650442477.9,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,453,0.756196141605645,-0.24315185168817957,0.24315185168817957,0.9993479932938245,0.000652006706175462,9.411192031544697e-16,7.116707102163892e-16,-2.2883487690631336e-16,monitor_T_and_order_sum,0.7561961416056451,1.1102230246251565e-16,0.6480755827737456,0.04256971249720822,0.005510902883068261,0.10812055883189942,0.9915682116995884,117.5988030500225,0.8570204833334311,15.0905239711439,7,direct_getdata_power,1.1102230246251565e-16,-2.7755575615628914e-17,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,661793505518763.8,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
RUN3C_P_PILOT_HF_V1,454,0.7612681935716138,-0.23830572552627832,0.23830572552627832,0.9995739190978921,0.00042608090210788374,9.411800097436879e-16,7.164904058432911e-16,-2.2428858507279924e-16,monitor_T_and_order_sum,0.761268193571614,2.220446049250313e-16,0.6550053479399345,0.04008171793136197,0.006594206636631321,0.10626284563167931,0.9900329336816864,99.33042502813451,0.8604133910637592,15.124631395575323,7,direct_getdata_power,-1.1102230246251565e-16,2.7755575615628914e-17,RUN3C_P_PILOT_HF_SIMTIME_3PS_CONTROL_V1,660335810572687.2,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p,NP_K6_PILOT_FDTD_GENERATOR_FIXED_GRID_3PS_V2,NP_K6_INDEPENDENT_STACK_PILOT_V1,true,true,false,false,true,false,true
