case_id,quality_gate_pass,training_label,provisional_hf_label,diagnostic_only,pilot_scope_only,bulk_mdc_compatible
RUN3C_P_PILOT_HF_V1,true,true,false,false,true,false
RUN3C_S_PILOT_HF_V2,true,true,false,false,true,false
RUN3A_P_PILOT_HF_V1,true,true,false,false,true,false
RUN3A_S_PILOT_HF_V1,true,true,false,false,true,false
RUN3B_P_PILOT_HF_V1,true,true,false,false,true,false
RUN3B_S_PILOT_HF_V1,true,true,false,false,true,false
