wavelength_nm,order_n,u_x,angle_deg,transmitted_fraction,absolute_efficiency,case_id,geometry_id,geometry_hash,polarization
448,-3,-0.7724137931034484,-50.57114294660536,0.006549737508044375,0.0032864639395241775,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
448,-2,-0.5149425287356322,-30.993613604678192,0.02814405323323782,0.014121850829820808,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
448,-1,-0.2574712643678161,-14.92006866327333,0.0049505217178174386,0.0024840249074800126,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
448,0,0.0,0.0,0.05169683779423911,0.0259399392707764,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
448,1,0.2574712643678161,14.92006866327333,0.8708132844762493,0.4369482676175689,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
448,2,0.5149425287356322,30.993613604678192,0.03491401408406287,0.017518816308345782,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
448,3,0.7724137931034484,50.57114294660536,0.0029315511863490726,0.0014709654011282973,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
449,-3,-0.7741379310344828,-50.726939676851345,0.012612082647757825,0.00834508429261459,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
449,-2,-0.5160919540229885,-31.070470678185885,0.011556440490557103,0.007646593565054723,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
449,-1,-0.25804597701149423,-14.95414886521045,0.002105604512726506,0.0013932232793238324,RUN3C_P_PILOT_HF_V1,K6X_D130_D145_D155_D180_D195_D230,4591fc0d081506b1251fb74edd24b3b6fc950b99072ca0f3172b5d50f5951fc1,p
