candidate_id,role,family,cavity_validity_class,top_pair_count,bottom_pair_count,cavity_span_nm,termination,spectral_FWHM_nm_at_theta0_interpolated,angular_FWHM_deg_at_453_interpolated,peak_abs_angle_deg_at_453,normal_offaxis_ratio_at_453,top_mirror_extraction_risk,highres_pass_level,first_run_batch
R2_1_00227,best_true_or_weak_two_mirror,R2A_Taguchi2026_scaled_control,true_two_mirror_cavity,6,6,290,none,3.35,9.75,1.25,2.378815,low,Level A_highres,yes
R2_1_00223,best_Taguchi_style,R2A_Taguchi2026_scaled_control,true_two_mirror_cavity,6,6,280,none,3.05,9.5,1.25,2.374585,low,Level A_highres,yes
R2_1_04067,best_all_dielectric_highR_mediumR,R2D_all_dielectric_highR_mediumR_scan,true_two_mirror_cavity,8,4,290,none,4.1233,8.75,0.5,2.33607,medium,Level A_highres,yes
R2_1_00359,top_filter_control,R2A_Taguchi2026_scaled_control,top_filter_only,8,0,320,none,5.0301,10.75,1.5,2.88609,medium,Control,no_control_only
R2_1_02653,C2_fallback_control,R2C_C2_medium_bottomR_upgrade,true_two_mirror_cavity,6,8,210,TiO2_25nm,4.1725,29.25,0.5,1.322987,low,Fail_highres,no_control_only
