wavelength_nm,pair_DoLP,pair_DoLP__IAR4,pair_DoLP__IAR4_OC1,pair_DoLP__sign,C_source,C_source__IAR4,C_source__IAR4_OC1,C_source__sign,C_angular,C_angular__IAR4,C_angular__IAR4_OC1,C_angular__sign,full_angle_DoLP,full_angle_DoLP__IAR4,full_angle_DoLP__IAR4_OC1,full_angle_DoLP__sign,upward_source_normalized_power,upward_source_normalized_power__IAR4,upward_source_normalized_power__IAR4_OC1,upward_source_normalized_power__sign,useful_LP,useful_LP__IAR4,useful_LP__IAR4_OC1,useful_LP__sign,P_LP_over_S0,P_LP_over_S0__IAR4,P_LP_over_S0__IAR4_OC1,P_LP_over_S0__sign,cone_5deg_DoLP,cone_5deg_DoLP__IAR4,cone_5deg_DoLP__IAR4_OC1,cone_5deg_DoLP__sign,cone_10deg_DoLP,cone_10deg_DoLP__IAR4,cone_10deg_DoLP__IAR4_OC1,cone_10deg_DoLP__sign,cone_20deg_DoLP,cone_20deg_DoLP__IAR4,cone_20deg_DoLP__IAR4_OC1,cone_20deg_DoLP__sign
400.0,-0.000729222681192826,0.06780419886061406,0.06707497617942124,-,-0.0019993587023226234,0.13418361635675607,0.13218425765443345,-,0.003003945581967399,0.16957056629390388,0.17257451187587128,+,0.0016696064405888195,0.09637937417765642,0.09804898061824524,+,-2.7426515351825116e-05,0.006305102547883622,0.006277676032531797,-,-0.0055015073874573606,1.4782747139038594,1.472773206516402,-,-0.0003646113405963991,0.533902099430307,0.5335374880897106,-,-0.03687896392819022,0.07758098230460604,0.04070201837641582,-,-0.015586349612374147,0.03465267144814711,0.019066321835772965,-,-0.0005394290844178279,0.10922491100436185,0.10868548191994402,-
401.0,-0.0033473121825502994,0.04916157569874554,0.04581426351619524,-,-0.006957088794261157,0.09854636832086551,0.09158927952660435,-,-0.0016142103023923382,0.127665564507956,0.12605135420556365,-,-0.0011046103823429687,0.07195111513350964,0.07084650475116668,-,-1.5241041206996188e-05,0.006874490683257874,0.006859249642050878,-,-0.006504033160370959,1.5765405279452152,1.5700364947848442,-,-0.001673656091275122,0.5245807878493728,0.5229071317580977,-,-0.02282358496115673,0.1305879950643888,0.10776441010323208,-,-0.014606854477814762,0.08115874108739456,0.0665518866095798,-,-0.004749177836548268,0.0843357543227569,0.07958657648620864,-
402.0,-0.003243726218863402,0.030323877050929607,0.027080150832066205,-,-0.007618229287972178,0.071642017563493,0.06402378827552083,-,-0.002120525189122202,0.099315216555496,0.09719469136637379,-,-0.0013686617855449904,0.055979794012264286,0.054611132226719296,-,-1.1003180094279648e-05,0.007346466988680263,0.007335463808585983,-,-0.0069744251883328,1.6525322462305838,1.645557821042251,-,-0.001621863109431687,0.5151619385254648,0.5135400754160331,-,-0.015039189280129317,0.2927007530551882,0.2776615637750589,-,-0.005266266197997749,0.16863085162229807,0.16336458542430032,-,-0.009999587646553756,0.02689941044430148,0.016899822797747724,-
403.0,0.003061202365392939,0.00336338151268037,0.006424583878073309,+,0.008501087518214073,0.009314231057177522,0.017815318575391596,+,-0.0044152965236314845,0.04999503746804596,0.04557974094441448,-,-0.0024965376394466623,0.027427891404073,0.024931353764626338,-,-7.302841789460016e-06,0.007171399409294472,0.007164096567505012,-,0.0006582175179090655,1.6012423730147523,1.6019005905326613,+,0.0015306011826964339,0.5016816907563402,0.5032122919390366,+,0.00459001736299125,0.3554469197374366,0.36003693710042783,+,-0.009166408713092516,0.21347152321855756,0.20430511450546504,-,-0.005751941138149551,0.06689700701681844,0.06114506587866889,-
404.0,0.001876849656735442,0.01420865970055397,0.01608550935728941,+,0.005209971784517722,0.039571677116605294,0.04478164890112302,+,-0.0039564180783045085,0.026623567183633904,0.022667149105329396,-,-0.0021728411783586057,0.014466268763979061,0.012293427585620456,-,1.8410474435064106e-07,0.007072939711509629,0.00707312381625398,+,0.0004007019513450061,1.6354382198044835,1.6358389217558285,+,0.000938424828367701,0.507104329850277,0.5080427546786447,+,0.0018161897270949079,0.3035193174266037,0.3053355071536986,+,-0.013319065076496356,0.23057721944681778,0.21725815437032142,-,-0.012716221875167605,0.08548537331768831,0.0727691514425207,-
405.0,-0.0008540538045325712,0.007373778045734113,0.0065197242412015416,-,-0.002141337443945516,0.018229331069929074,0.01608799362598356,-,0.0013048009177971526,0.032493884986481134,0.033798685904278286,+,0.0006542946865195146,0.017659220723620615,0.01831351541014013,+,1.1395908646696928e-05,0.006807887008499698,0.006819282917146395,+,-0.0009052463615564221,1.5800980691656124,1.579192822804056,-,-0.0004270269022662587,0.5036868890228671,0.5032598621206008,-,-0.01782439797810184,0.09812066189645302,0.08029626391835118,-,-0.0185054921567738,0.24576044831418586,0.22725495615741206,-,-0.016240956571259207,0.09407100841678831,0.0778300518455291,-
406.0,-0.001637772735855754,0.01115720674741257,0.009519434011556816,-,-0.004175451723806973,0.02709908596613022,0.022923634242323247,-,0.003987100506811018,0.004805021618007817,0.008792122124818835,+,0.0022171808975278325,0.0026928599432080227,0.004910040840735855,+,1.9485124435633314e-05,0.006816883580756331,0.0068363687051919645,+,-0.00012695447104915658,1.590277955130926,1.590151000659877,-,-0.000818886367927929,0.5055786033737063,0.5047597170057784,-,-0.0018027142237509938,0.05848541655145874,0.056682702327707744,-,-0.01048743492714399,0.29531827367890573,0.28483083875176174,-,-0.008272004617790596,0.11695532902655167,0.10868332440876108,-
407.0,0.00046858577744639945,0.05481595771934642,0.05528454349679282,+,4.217162687328302e-05,0.1428379205709651,0.14288009219783837,+,0.00020751633482882226,0.0720319326742411,0.07223944900906992,+,7.916835682945933e-05,0.041442846203164525,0.041522014559993985,+,2.227014686690624e-05,0.006925689664057354,0.00694795981092426,+,0.007026713713105259,1.7122948651740544,1.7193215788871596,+,0.00023429288872323095,0.5274079788596732,0.5276422717483964,+,-0.006327897790819187,0.12243593032759341,0.11610803253677422,-,-0.005974528469525786,0.3361540459147115,0.3301795174451857,-,-0.005334482227919574,0.17335243023172558,0.168017948003806,-
408.0,0.00010559952635595671,0.07946769891919246,0.07957329844554842,+,-0.0008958667000887877,0.21246686018866476,0.21157099348857597,-,0.001473805094801356,0.1152034509400581,0.11667725603485946,+,0.0008426253510453174,0.06815622907274947,0.06899885442379479,+,2.7104932400545678e-05,0.007092629532019142,0.0071197344644196876,+,0.01022840305688355,1.814463875916302,1.8246922789731856,+,5.279976317795754e-05,0.5397338494595962,0.5397866492227742,+,-0.0027991258626062776,0.15010296782433075,0.14730384196172447,-,0.0003994720194509527,0.35770927888361076,0.3581087509030617,+,-0.0002907039633726072,0.21921773478601794,0.21892703082264534,-
409.0,-0.0013942723555681186,0.07481241950088127,0.07341814714531315,-,-0.0047496774885777415,0.20541366391915702,0.20066398643057928,-,-0.000811911692832179,0.10800875965446177,0.1071968479616296,-,-0.000515717936258514,0.06564116100611131,0.0651254430698528,-,1.635969615502303e-05,0.007152954950090808,0.007169314646245831,+,0.005657815436833857,1.8381027466926307,1.8437605621294646,+,-0.0006971361777839968,0.5374062097504406,0.5367090735726566,-,-0.006124004706830499,0.21007863315781328,0.20395462845098278,-,-0.0009313102962688613,0.3883716095568661,0.38744029926059725,-,0.0017436717524768053,0.25111842413122365,0.25286209588370046,+
