wavelength_nm,order_n,u_x_3ps,angle_deg_3ps,absolute_efficiency_1ps,absolute_efficiency_2ps,absolute_efficiency_3ps,delta_2ps_minus_1ps,delta_3ps_minus_2ps
445,-3,-0.767241379310345,-50.10680930186621,0.000392813851514428,0.000397731349425686,0.0003925521484420911,4.917497911258021e-06,-5.179200983594905e-06
445,-2,-0.5114942528735632,-30.76341252641582,0.008115987178344039,0.008013189376028568,0.008020982360645945,-0.00010279780231547096,7.792984617376736e-06
445,-1,-0.2557471264367816,-14.817860402183731,0.0004743938480255028,0.0004985699011389438,0.0004979075063314866,2.4176053113440993e-05,-6.623948074571413e-07
445,0,0.0,0.0,0.05471794094590285,0.055678518332987446,0.05551371459157115,0.0009605773870845977,-0.0001648037414162945
445,1,0.2557471264367816,14.817860402183731,0.6730290419079564,0.6715695664768114,0.6718526258097849,-0.0014594754311449964,0.00028305933297345653
445,2,0.5114942528735632,30.76341252641582,0.03232738024466644,0.03335254613978017,0.033117610578081116,0.0010251658951137277,-0.00023493556169905394
445,3,0.767241379310345,50.10680930186621,0.0020484623673992204,0.0021097565545031955,0.002073182478048572,6.129418710397504e-05,-3.65740764546236e-05
446,-3,-0.7689655172413793,-50.26108387570818,0.0006593553643901189,0.0006688726246560425,0.0006629106516976734,9.517260265923624e-06,-5.961972958369111e-06
446,-2,-0.5126436781609195,-30.840084814858216,0.008122651270548897,0.008245160557271322,0.008254275054543358,0.00012250928672242513,9.114497272035352e-06
446,-1,-0.25632183908045975,-14.85192444636312,0.0006686351642131356,0.0006361350789674859,0.0006319729582451568,-3.250008524564971e-05,-4.162120722329098e-06
446,0,0.0,0.0,0.05569346654025978,0.05473669516195086,0.0545606080036974,-0.000956771378308921,-0.00017608715825345733
446,1,0.25632183908045975,14.85192444636312,0.6637057075593017,0.6651850013025734,0.6656996021966244,0.0014792937432717146,0.0005146008940509761
446,2,0.5126436781609195,30.840084814858216,0.03710460796294497,0.03613782105112526,0.035869551260428637,-0.0009667869118197142,-0.0002682697906966208
446,3,0.7689655172413793,50.26108387570818,0.002694272247190581,0.0026933816592429843,0.0026588224654910753,-8.905879475967771e-07,-3.4559193751909027e-05
447,-3,-0.7706896551724137,-50.415859737580426,0.0012568026549750072,0.0012394889574292996,0.0012258618107251719,-1.731369754570753e-05,-1.3627146704127792e-05
447,-2,-0.5137931034482758,-30.916818412522304,0.009034145227384436,0.008761520090241504,0.008784183154472831,-0.0002726251371429327,2.2663064231327745e-05
447,-1,-0.2568965517241379,-14.885993861861795,0.0006427525489363727,0.000721058680121604,0.0007048431604870594,7.830613118523129e-05,-1.6215519634544574e-05
447,0,0.0,0.0,0.047185257299809054,0.049764323457776205,0.049179713859199996,0.002579066157967151,-0.0005846095985762093
447,1,0.2568965517241379,14.885993861861795,0.6687399367770693,0.6643895766367183,0.6647124616768313,-0.004350360140351062,0.000322885040113019
447,2,0.5137931034482758,30.916818412522304,0.03375522693990216,0.03659194117301304,0.03596067443219455,0.002836714233110875,-0.0006312667408184883
447,3,0.7706896551724137,50.415859737580426,0.0034716339045031204,0.003606176347639405,0.003508481652895788,0.0001345424431362847,-9.769469474361697e-05
448,-3,-0.7724137931034484,-50.57114294660536,0.002923291590995542,0.0032109899846403753,0.0032864639395241775,0.00028769839364483317,7.547395488380218e-05
448,-2,-0.5149425287356322,-30.993613604678192,0.013134625995552679,0.014083712445431447,0.014121850829820808,0.000949086449878768,3.813838438936068e-05
448,-1,-0.2574712643678161,-14.92006866327333,0.0014723085086091562,0.002217680199700987,0.0024840249074800126,0.000745371691091831,0.00026634470777902545
448,0,0.0,0.0,0.023553904877423516,0.024687621873255263,0.0259399392707764,0.0011337169958317468,0.0012523173975211369
448,1,0.2574712643678161,14.92006866327333,0.47112650058245953,0.44235867507686044,0.4369482676175689,-0.028767825505599087,-0.005410407459291555
448,2,0.5149425287356322,30.993613604678192,0.019289486792956747,0.01754925159475417,0.017518816308345782,-0.0017402351982025756,-3.0435286408388856e-05
448,3,0.7724137931034484,50.57114294660536,0.0005699608573981655,0.0012377855125891178,0.0014709654011282973,0.0006678246551909523,0.00023317988853917954
449,-3,-0.7741379310344828,-50.726939676851345,0.00976850763965638,0.008886016556865889,0.00834508429261459,-0.0008824910827904906,-0.0005409322642512988
449,-2,-0.5160919540229885,-31.070470678185885,0.009000304721298306,0.007490866235157139,0.007646593565054723,-0.0015094384861411674,0.00015572732989758368
449,-1,-0.25804597701149423,-14.95414886521045,0.0009816373111542894,0.0015178224490125715,0.0013932232793238324,0.0005361851378582821,-0.00012459916968873917
449,0,0.0,0.0,0.04329828201208959,0.045699967115403986,0.04611304287971799,0.0024016851033143993,0.0004130757643140068
449,1,0.25804597701149423,14.95414886521045,0.48056199545696504,0.5201808368440247,0.5178569668483581,0.03961884138705968,-0.002323869995666583
449,2,0.5160919540229885,31.070470678185885,0.08482466333222621,0.07735857142414725,0.07699611306303933,-0.007466091908078967,-0.0003624583611079174
449,3,0.7741379310344828,50.726939676851345,0.004221943949025449,0.003331257256683403,0.003322747619699864,-0.000890686692342046,-8.509636983539126e-06
450,-3,-0.7758620689655172,-50.883256220421394,0.0022590919527680346,0.0024668237445248254,0.002436594921666591,0.00020773179175679083,-3.022882285823444e-05
450,-2,-0.5172413793103449,-31.14738992150898,0.0058069585131419734,0.005938183667503128,0.0059919248382462155,0.0001312251543611545,5.374117074308758e-05
450,-1,-0.25862068965517243,-14.988234482305128,0.00309099671157125,0.0029133828557477625,0.002896089500717282,-0.00017761385582348767,-1.729335503048053e-05
450,0,0.0,0.0,0.05281083597706896,0.05220383934188648,0.05223277541798286,-0.0006069966351824815,2.8936076096379437e-05
450,1,0.25862068965517243,14.988234482305128,0.6314101273720275,0.6216787417275325,0.6201621630612836,-0.00973138564449505,-0.00151657866624888
450,2,0.5172413793103449,31.14738992150898,0.05062647301672263,0.0518888445601104,0.05196034373083367,0.0012623715433877705,7.14991707232715e-05
450,3,0.7758620689655172,50.883256220421394,0.0024636350418587726,0.0024821512924107806,0.0025065301336060176,1.8516250552008066e-05,2.4378841195236978e-05
451,-3,-0.7775862068965518,-51.040098990649035,0.0024194060680395356,0.002384078624011029,0.002339656899039826,-3.53274440285066e-05,-4.442172497120308e-05
451,-2,-0.5183908045977011,-31.224371624728384,0.005962143327755069,0.005801911624154774,0.005822963958599825,-0.00016023170360029548,2.1052334445051217e-05
451,-1,-0.2591954022988506,-15.022325529208606,0.003581071236459551,0.0036812166344265067,0.0037148946668496244,0.00010014539796695567,3.367803242311767e-05
451,0,0.0,0.0,0.04848944888086615,0.04884986725363966,0.04895231969460795,0.0003604183727735147,0.0001024524409682856
451,1,0.2591954022988506,15.022325529208606,0.6256757156186853,0.6331743055899215,0.6326530886533821,0.0074985899712362025,-0.0005212169365393926
451,2,0.5183908045977011,31.224371624728384,0.05021484181126417,0.05000029739979335,0.04982788946059958,-0.00021454441147081976,-0.0001724079391937708
451,3,0.7775862068965518,51.040098990649035,0.0031493266553919625,0.003157092181290952,0.003148242973511714,7.765525898989576e-06,-8.849207779238269e-06
452,-3,-0.7793103448275862,-51.197474525406115,0.002504840868754801,0.002560825033223156,0.0025316894581071028,5.5984164468354976e-05,-2.9135575116053317e-05
452,-2,-0.5195402298850574,-31.301416079556272,0.005419493312837755,0.005522401774793041,0.005539702246179626,0.00010290846195528617,1.7300471386584755e-05
452,-1,-0.2597701149425287,-15.056422020591514,0.004658825904649719,0.004541210013397167,0.004565687213575243,-0.0001176158912525524,2.447720017807655e-05
452,0,0.0,0.0,0.0460338302203836,0.04556799103572265,0.045599230067421274,-0.00046583918466094887,3.123903169862524e-05
452,1,0.2597701149425287,15.056422020591514,0.6455340122493332,0.6408670232828975,0.6405808746985518,-0.004666988966435692,-0.0002861485843456135
452,2,0.5195402298850574,31.301416079556272,0.04892892425667866,0.04899921192537825,0.04885169960876264,7.028766869958403e-05,-0.0001475123166156042
452,3,0.7793103448275862,51.197474525406115,0.0037438190483637126,0.0037361567362491784,0.003733701073634713,-7.662312114534164e-06,-2.4556626144651983e-06
453,-3,-0.7810344827586206,-51.35538949052732,0.002749134253811895,0.002764007921576952,0.0027572604523684015,1.4873667765057108e-05,-6.747469208550575e-06
453,-2,-0.5206896551724137,-31.3785235793501,0.005294374520974237,0.005195341765082468,0.005190416193266332,-9.903275589176908e-05,-4.925571816135482e-06
453,-1,-0.26034482758620686,-15.0905239711439,0.0054651036211315965,0.005505001504392862,0.005510902883068261,3.9897883261265886e-05,5.901378675398326e-06
453,0,0.0,0.0,0.042182984501779035,0.042627536757659006,0.04256971249720822,0.0004445522558799708,-5.7824260450783926e-05
453,1,0.26034482758620686,15.0905239711439,0.6447139753302689,0.6479121564691263,0.6480755827737456,0.003198181138857392,0.0001634263046192963
453,2,0.5206896551724137,31.3785235793501,0.04747895405562338,0.048020957762512,0.04780365306093932,0.0005420037068886233,-0.0002173047015726834
453,3,0.7810344827586206,51.35538949052732,0.004275779064153503,0.004319586934147995,0.004288613745048993,4.380786999449212e-05,-3.0973189099002194e-05
454,-3,-0.7827586206896551,-51.51385068335645,0.002982198976950823,0.0029514434456848963,0.0029506623243812885,-3.075553126592658e-05,-7.811213036078291e-07
454,-2,-0.52183908045977,-31.45569441912687,0.004770068368360273,0.00485937100795353,0.004849552069965643,8.930263959325627e-05,-9.818937987886994e-06
454,-1,-0.260919540229885,-15.124631395575323,0.006598447418704275,0.006574216634297308,0.006594206636631321,-2.423078440696655e-05,1.9990002334012436e-05
454,0,0.0,0.0,0.04041580374703781,0.0401026117776966,0.04008171793136197,-0.00031319196934120885,-2.0893846334628374e-05
454,1,0.260919540229885,15.124631395575323,0.6569120338295694,0.6546642175820175,0.6550053479399345,-0.0022478162475518815,0.00034113035791694113
454,2,0.52183908045977,31.45569441912687,0.047297787747897564,0.04697330247359243,0.04685063953974842,-0.0003244852743051335,-0.0001226629338440116
454,3,0.7827586206896551,51.51385068335645,0.004948640925869911,0.004950349389574863,0.004936067129590781,1.7084637049524787e-06,-1.4282259984082016e-05
455,-3,-0.7844827586206898,-51.67286503641983,0.003092515442498277,0.003116501822542605,0.0031326287844404485,2.3986380044328185e-05,1.6126961897843482e-05
455,-2,-0.5229885057471265,-31.532928895577506,0.004576617524340706,0.0045325967781994075,0.004523985239318145,-4.402074614129857e-05,-8.611538881262912e-06
455,-1,-0.26149425287356326,-15.158744308614912,0.007763490493690542,0.007751068240204091,0.007739094989874803,-1.2422253486451228e-05,-1.1973250329287873e-05
455,0,0.0,0.0,0.03770941493661429,0.038028350721442804,0.03797530512104224,0.00031893578482851404,-5.3045600400564163e-05
455,1,0.26149425287356326,15.158744308614912,0.6608645273021589,0.6610281457193352,0.661378979364011,0.00016361841717627001,0.0003508336446758076
455,2,0.5229885057471265,31.532928895577506,0.045479972754113224,0.04591126647741582,0.04591867958868547,0.00043129372330259763,7.413111269650996e-06
455,3,0.7844827586206898,51.67286503641983,0.005642353560312882,0.005654786007347923,0.005650513648071129,1.243244703504065e-05,-4.2723592767936885e-06
