case_id,candidate_id,branch_stage,wavelength_nm,polarization,material_reference_id,material_model_type,constant_index_value,runner_name,runner_version,simulation_status,runtime_seconds,source_output,source_commit,is_historical,notes
B2E:LPML1B2D_B2D_0283_A02:451:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A02:452.5:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A02:452:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A02:453.5:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A02:453:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A02:454:JonesXY,LPML1B2D_B2D_0283_A02,LP-ML1B2E,454.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:450.5:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:450:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,450.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:451.5:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,451.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:451:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:452.5:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:452:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:453.5:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:453:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A03:454:JonesXY,LPML1B2D_B2D_0283_A03,LP-ML1B2E,454.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:450.5:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:450:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,450.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:451.5:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,451.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:451:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:452.5:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:452:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:453.5:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:453:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A04:454:JonesXY,LPML1B2D_B2D_0283_A04,LP-ML1B2E,454.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:450.5:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:450:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,450.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:451.5:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,451.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:451:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:452.5:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:452:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:453.5:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:453:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_A05:454:JonesXY,LPML1B2D_B2D_0283_A05,LP-ML1B2E,454.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:450.5:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:450:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,450.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:451.5:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,451.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:451:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:452.5:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:452:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:453.5:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:453:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_B01:454:JonesXY,LPML1B2D_B2D_0283_B01,LP-ML1B2E,454.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:450.5:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,450.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:450:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,450.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:451.5:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,451.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:451:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,451.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:452.5:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,452.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:452:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,452.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:453.5:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,453.5,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
B2E:LPML1B2D_B2D_0283_C02:453:JonesXY,LPML1B2D_B2D_0283_C02,LP-ML1B2E,453.0,JonesXY,,legacy_constant_index,2.6,lp_ml1b1_fdtd_smoke_test.py,d9617c5,ok,,D:/project/worktrees/blue_apcd_lp_stage11_4/outputs/lp_ml1b2e_0283_local_refinement/scout_01/lp_ml1b2e_scout01_results.csv,d9617c5,1,base runner add_rect hard-codes Object defined dielectric index=2.6
