material_reference_id,canonical_name,source_name,material_role,source_fsp_path,source_commit,native_lambda_min_nm,native_lambda_max_nm,native_sample_count,is_dispersive,is_lossy,interpolation_axis,extrapolation_allowed,status
APCD_SIO2_NATIVE_M1,SiO2_native,sio222,low_index_DBR_and_defect,F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,a272b10,199.97450000000003,1033.2015000000001,101,1,0,frequency_hz,0,active_default
APCD_TIO2_NATIVE_M1,TiO2_native,tio22,high_index_metasurface_and_DBR,F:\wc_312\MDC_blue_oujizi_m\m_1.fsp,a272b10,199.97450000000003,1033.2015000000001,101,1,0,frequency_hz,0,active_default
