parent_uid,pair,tied_uid,decoupled_uid,delta_phi_decoupling_deg,delta_projector_error_trajectory,delta_Txx_trajectory,delta_throughput_trajectory,tied_worst_projector_error,decoupled_worst_projector_error,delta_projector_error,delta_Txx_mean,delta_throughput_mean
H1C1B_V2_010,PLUS,H1E3C_A_TIED_PLUS_H1C1B_V2_010,H1E3C_A_DECOUPLED_PLUS_H1C1B_V2_010,"[-0.416471378482413, -1.6869988644496061, -1.3952866471404377, -1.0488333147360436, -1.8473112110491456, -1.2347709303931538, -4.152065700728315, 1.3036968016061223, -3.8124022389082484]","[0.0039472280380955516, -0.0019409978829636465, -0.0034152552391208957, 0.0018472113581290417, -0.0017523656443146907, -0.004270782737515022, 0.0037767592341189093, -0.001661360093302422, 0.0005980619233004747]","[0.002424151570756483, -0.015264268970709982, 0.01524773501314669, -0.0018453550960517706, 0.003129414406156328, 0.01825335402424122, -0.16145928521401365, 0.11559705534257858, -0.09908190662555394]","[0.003799998478287825, -0.009845078597803703, 0.006373060697140498, 7.192810336120736e-05, 0.000675757380973252, 0.007249506518550608, -0.08132231431338754, 0.058609805109961, -0.049871982489028854]",0.13938748348981234,0.1433347115279079,0.0039472280380955516,-0.013666567283272226,-0.007139924345771746
H1C1B_V2_010,MINUS,H1E3C_A_TIED_MINUS_H1C1B_V2_010,H1E3C_A_DECOUPLED_MINUS_H1C1B_V2_010,"[-0.41512524565206377, 0.28649841177701774, -0.11772208939532902, -0.6774294025944982, 4.065234567287575, -7.672585594531142, -1.967490040532141, -3.131605680582652, -3.3700816836657737]","[0.0015286802704088664, 0.005746839012502725, 0.007153545247146065, 0.002155874645711875, -0.0010185565026060717, -0.002032885115105687, 0.006029766497286149, 0.007598765263532314, 0.008864503586787587]","[0.011064387445240742, 0.0034789789346721944, -0.02180676314233443, 0.013466469771272083, 0.07856953795375554, 0.043971380319405395, -0.035845743188095636, -0.062478025386692226, -0.043411842846066584]","[0.0074821658924683065, 0.005840967067627489, -0.007674210668154879, 0.008725326367237884, 0.04276389544502829, 0.022397734402148428, -0.016107351207029608, -0.029550835768021977, -0.020375151359476595]",0.14368357887650862,0.1452122591469175,0.0015286802704088664,-0.0014435133487603242,0.0015002822413141487
