report_order,geometry_uid,source_weighted_DoLP,source_weighted_useful_LP_power,source_weighted_target_x_fidelity,source_weighted_leakage_fraction,MDC_FWHM_DoLP,MDC_FWHM_state_flip_detected,gate_a_prime,selection
1,H1C1B_V2_009,0.36999675577550056,0.3811697288724078,0.6849505481810916,0.31504945181890825,0.4258386185715674,True,FAIL,NOT_FROZEN
2,H1C1B_V2_015,0.31700121951197613,0.4418973165513354,0.6584777032284771,0.34152229677152324,0.4177868538530601,True,FAIL,NOT_FROZEN
3,H1C1B_V2_010,0.37772811055512595,0.3972754829592868,0.6886024765656105,0.31139752343438987,0.4651752129571084,True,FAIL,NOT_FROZEN
