geometry_uid,wavelength_nm,source_weight,S0,S1,S2,S3,DoLP,target_x_fraction,useful_LP_power,leakage_power,leakage_fraction
H1C1B_V2_009,435.0,0.026674876750638583,0.7021939244602136,0.21985076040682766,0.004003600744577511,0.0012810424743263291,0.3131431412154967,0.6565456156401739,0.46102234243352064,0.24117158202669298,0.3434543843598262
H1C1B_V2_009,436.0,0.028141679832695367,0.6924812727037719,0.1885603786340384,0.007538756139192087,0.0007951807693801408,0.2725142583295413,0.6361483595778772,0.44052082566890516,0.25196044703486675,0.36385164042212276
H1C1B_V2_009,437.0,0.029762283879956924,0.6945354312156947,0.1901390695446935,0.006505860940432282,0.0018454426000581994,0.2739246002069411,0.6368821956367867,0.4423372503801941,0.2521981808355006,0.3631178043632133
H1C1B_V2_009,438.0,0.03153789778090923,0.636728376275068,0.13071354739464652,0.005122083446515841,0.002636442010393293,0.20544689011217773,0.602644669426652,0.3837209618348572,0.2530074144402107,0.39735533057334793
H1C1B_V2_009,439.0,0.033459407314529684,0.5642170388137966,0.06782768887041055,0.014594604505711383,-0.0035874474047444187,0.1229670361155578,0.5601077991308192,0.3160223638421036,0.24819467497169304,0.4398922008691809
H1C1B_V2_009,440.0,0.0355364781691666,0.32633750540246553,-0.1621739972643658,-0.0030671699144171165,-0.01940143365879521,0.49704062948283395,0.25152412061194157,0.08208175406904988,0.24425575133341568,0.7484758793880585
H1C1B_V2_009,441.0,0.03780173895798326,0.305054638079645,-0.1594229221358745,-0.05243291024556986,-0.019490212970937504,0.5501439054113261,0.23869775732724371,0.07281585797188526,0.23223878010775975,0.7613022426727564
H1C1B_V2_009,442.0,0.04027033334207435,0.5255294681689984,0.07422565424895441,-0.03304540174469729,-0.013785671512967267,0.1546046225681793,0.5706198783748175,0.2998775612089764,0.225651906960022,0.4293801216251825
H1C1B_V2_009,443.0,0.042916648889133,0.6200425934836613,0.19634926022804056,-0.030228112448717592,-0.014824931413163262,0.3204013021892474,0.658335300100004,0.40819592685585093,0.21184666662781038,0.34166469989999604
H1C1B_V2_009,444.0,0.0457088105930039,0.6561853692128474,0.24826812523475228,-0.011959448042959448,-0.00722922939304433,0.37878932122111847,0.6891752977764286,0.45222674722379985,0.20395862198904757,0.31082470222357145
H1C1B_V2_009,445.0,0.048604598525670936,0.653481127182657,0.28773892347809465,-0.02351760374153868,-0.012355570021342532,0.44178536657196954,0.7201585566201574,0.4706100253303758,0.18287110185228117,0.2798414433798425
H1C1B_V2_009,446.0,0.05138838513501595,0.660473134672212,0.3096040762709208,-0.002987852859164204,-0.004746447304768493,0.4687828723211581,0.734380522096917,0.4850386054715664,0.1754345292006456,0.265619477903083
H1C1B_V2_009,447.0,0.05345812262098926,0.614987065114418,0.36849621115479836,-0.03475185250243299,-0.013614736772692421,0.6018521038806034,0.7995967167913034,0.4917416381346082,0.12324542697980981,0.20040328320869652
H1C1B_V2_009,448.0,0.053894065745725785,0.6589656718617818,0.31236696645268225,-0.03461908294115218,-0.02520982684409556,0.4769284820988975,0.7370130795813301,0.485666319157232,0.17329935270454974,0.2629869204186699
H1C1B_V2_009,449.0,0.051960082026737915,0.6969730643484062,0.32741543728518213,-0.021216121146528426,-0.02060062226524117,0.4707529220340239,0.7348838527865347,0.5121942508167941,0.18477881353161202,0.2651161472134652
H1C1B_V2_009,450.0,0.04768294294952848,0.5900920256446341,0.33774196533566425,0.008806414670324407,-0.028601258650685222,0.5725492670241654,0.7861773678153885,0.4639169954901492,0.12617503015448492,0.21382263218461145
