case_id,candidate_id,family_id,source_x_um,source_y_nm,dipole_orientation,theta_readback_deg,phi_readback_deg,wavelength_nm,top_pair_count,bottom_pair_count,mdc_m,mdc_sio2_nm,mdc_tio2_nm,cavity_nm,top_termination_nm,bottom_termination_nm,top_layer_count,bottom_layer_count,monitor_y_um,monitor_y_above_top_structure_um,monitor_y_to_top_pml_um,source_inside_cavity,result_fsp,setup_status,status,runtime_s,extraction_mode,signed_peak_angle_deg,peak_abs_angle_deg,angular_fwhm_deg,eta_5deg,eta_10deg,eta_20deg,eta_30deg,normal_offaxis_ratio,offaxis_20_60_fraction,offaxis_30_40_fraction,offaxis_45_55_fraction,offaxis_40_60_fraction,normal_10_fraction,thirty_forty_lobe_flag,fortyfive_fiftyfive_lobe_flag,broad_forty_sixty_lobe_flag
F0_0204_xm0p7_xdipole_453,F0_0204,high_top_DBR_RCLED,-0.7,115.0,x,90.0,0.0,453.0,9,10,n/a,n/a,n/a,230.0,0.0,0.0,18,20,1.6701356649999997,0.34999999999999987,0.4500000000000002,True,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4f2_f0_0204_tri_point_xdipole_fdtd_guard\runtime_solve_fsp\F0_0204_xm0p7_xdipole_453.fsp,ok,ok,12.956,farfield2d_farfieldangle,-66.62949928935345,66.62949928935345,144.505795317202,0.08039962102859137,0.15323022815119727,0.2839706187971104,0.3427580608889929,0.23985870653122823,0.6388353809089168,0.25236737911752394,0.161770598800009,0.8345707119212661,0.15323022815119727,False,False,True
F0_0204_x0p0_xdipole_453,F0_0204,high_top_DBR_RCLED,0.0,115.0,x,90.0,0.0,453.0,9,10,n/a,n/a,n/a,230.0,0.0,0.0,18,20,1.6701356649999997,0.34999999999999987,0.4500000000000002,True,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4f2_f0_0204_tri_point_xdipole_fdtd_guard\runtime_solve_fsp\F0_0204_x0p0_xdipole_453.fsp,ok,ok,12.101,farfield2d_farfieldangle,46.875072062153805,46.875072062153805,147.88330071115092,0.0019996406039930613,0.006584932314920233,0.08378011260450265,0.257431372357649,0.007392604407475582,0.8907459336335364,0.6719512219112258,0.750959426325592,0.5149924991808107,0.006584932314920233,False,True,True
F0_0204_xp0p7_xdipole_453,F0_0204,high_top_DBR_RCLED,0.7,115.0,x,90.0,0.0,453.0,9,10,n/a,n/a,n/a,230.0,0.0,0.0,18,20,1.6701356649999997,0.34999999999999987,0.4500000000000002,True,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_4f2_f0_0204_tri_point_xdipole_fdtd_guard\runtime_solve_fsp\F0_0204_xp0p7_xdipole_453.fsp,ok,ok,12.164,farfield2d_farfieldangle,66.62949928935348,66.62949928935348,144.50579531720197,0.08039963563162422,0.15323026674245666,0.28397070580661604,0.34275819698789317,0.2398587178572744,0.6388355116349569,0.2523675480264668,0.16177062352991517,0.8345704450445414,0.15323026674245666,False,False,True
