case_id,source_x_um,candidate_id,dipole_orientation,wavelength_nm
F0_0204_xm0p7_xdipole_453,-0.7,F0_0204,x,453.0
F0_0204_x0p0_xdipole_453,0.0,F0_0204,x,453.0
F0_0204_xp0p7_xdipole_453,0.7,F0_0204,x,453.0
