case_id,candidate_id,wavelength_nm,dipole_orientation,validity,invalid_reason,source_name,source_theta_deg,source_phi_deg,source_y_nm,source_inside_cavity_center,source_distance_to_bottom_interface_nm,source_distance_to_top_interface_nm,top_pair_count,bottom_pair_count,cavity_physical_spacer_nm,fdtd_dimension,fdtd_x_span_um,active_device_width_um,dbr_x_span_um,monitor_x_span_um,monitor_y_um,monitor_y_to_top_pml_um,monitor_y_above_top_structure_um,bottom_structure_to_pml_um,monitor_inside_pml,pml_not_too_close,no_zero_thickness_layers,no_overlapping_layers,no_solve_was_run,fsp_path,fsp_file_exists,fsp_file_size_bytes
R2_2C_R2_1_00223_453_center_x,R2_1_00223,453.0,x,VALID_SOLVE_CANDIDATE,,center_x_dipole,90.0,0.0,140.0,True,140.0,140.0,6,6,280.0,2D,20.0,3.0,8.0,16.0,1.8,0.40000000000000013,0.6080000000000001,0.4879999999999999,False,True,True,True,True,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_x_setup_only.fsp,True,496723
R2_2C_R2_1_00223_453_center_z_outofplane,R2_1_00223,453.0,z_outofplane,VALID_SOLVE_CANDIDATE,,center_z_outofplane_dipole,0.0,0.0,140.0,True,140.0,140.0,6,6,280.0,2D,20.0,3.0,8.0,16.0,1.8,0.40000000000000013,0.6080000000000001,0.4879999999999999,False,True,True,True,True,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_z_outofplane_setup_only.fsp,True,496734
R2_2C_R2_1_00223_453_center_y,R2_1_00223,453.0,y_invalid_cavity_normal,INVALID_DO_NOT_SOLVE,simulation_y is the vertical cavity-normal direction in this 2D x-y layout; MQW incoherent pair should be simulation_x + simulation_z_outofplane,center_y_dipole,90.0,90.0,140.0,True,140.0,140.0,6,6,280.0,2D,20.0,3.0,8.0,16.0,1.8,0.40000000000000013,0.6080000000000001,0.4879999999999999,False,True,True,True,True,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_y_setup_only.fsp,True,496723
