case_id,candidate_id,wavelength_nm,dipole_orientation,validity,invalid_reason,fsp_path,status,no_solve_was_run
R2_2C_R2_1_00223_453_center_x,R2_1_00223,453.0,x,VALID_SOLVE_CANDIDATE,,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_x_setup_only.fsp,setup_only_saved,True
R2_2C_R2_1_00223_453_center_z_outofplane,R2_1_00223,453.0,z_outofplane,VALID_SOLVE_CANDIDATE,,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_z_outofplane_setup_only.fsp,setup_only_saved,True
R2_2C_R2_1_00223_453_center_y,R2_1_00223,453.0,y_invalid_cavity_normal,INVALID_DO_NOT_SOLVE,simulation_y is the vertical cavity-normal direction in this 2D x-y layout; MQW incoherent pair should be simulation_x + simulation_z_outofplane,D:\project\worktrees\blue_apcd_rcled_mdc\outputs\r2_2c_rcled_fdtd_smoke_setup_only\runtime_fsp\R2_2C_R2_1_00223_453_center_y_setup_only.fsp,INVALID_DO_NOT_SOLVE,True
